sninamn,year,res_post
jrbk_serv,2003,
jrbk_serv,2004,
jrbk_serv,2005,
jrbk_serv,2006,
jrbk_serv,2007,
jrbk_serv,2008,8878
jrbk_serv,2009,5945
jrbk_serv,2010,10240
jrbk_serv,2011,10026
jrbk_serv,2012,8466
jrbk_serv,2013,7827
jrbk_serv,2014,10206
jrbk_serv,2015,10307
jrbk_serv,2016,10499
jrbk_serv,2017,12719
jrbk_serv,2018,9092
jrbk_serv,2019,12826
jrbk_serv,2020,12315
jrbk_serv,2021,14067
jrbk_serv,2022,14975
jrbk_serv,2023,
skgb,2003,
skgb,2004,
skgb,2005,
skgb,2006,
skgb,2007,
skgb,2008,12068
skgb,2009,6510
skgb,2010,7766
skgb,2011,9556
skgb,2012,13268
skgb,2013,7344
skgb,2014,8810
skgb,2015,8327
skgb,2016,6767
skgb,2017,8431
skgb,2018,11457
skgb,2019,16707
skgb,2020,16094
skgb,2021,15065
skgb,2022,11520
skgb,2023,
fsk_vatn,2003,
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,275
fsk_vatn,2009,322
fsk_vatn,2010,442
fsk_vatn,2011,549
fsk_vatn,2012,328
fsk_vatn,2013,340
fsk_vatn,2014,386
fsk_vatn,2015,505
fsk_vatn,2016,558
fsk_vatn,2017,563
fsk_vatn,2018,457
fsk_vatn,2019,500
fsk_vatn,2020,581
fsk_vatn,2021,949
fsk_vatn,2022,258
fsk_vatn,2023,
_mtl_serv,2003,
_mtl_serv,2004,
_mtl_serv,2005,
_mtl_serv,2006,
_mtl_serv,2007,
_mtl_serv,2008,9958
_mtl_serv,2009,1404
_mtl_serv,2010,16658
_mtl_serv,2011,15486
_mtl_serv,2012,11378
_mtl_serv,2013,4102
_mtl_serv,2014,3054
_mtl_serv,2015,-2035
_mtl_serv,2016,2286
_mtl_serv,2017,14978
_mtl_serv,2018,20357
_mtl_serv,2019,22716
_mtl_serv,2020,14590
_mtl_serv,2021,36668
_mtl_serv,2022,17393
_mtl_serv,2023,
livs,2003,
livs,2004,
livs,2005,
livs,2006,
livs,2007,
livs,2008,3159
livs,2009,3549
livs,2010,5812
livs,2011,408
livs,2012,2551
livs,2013,2740
livs,2014,4057
livs,2015,3333
livs,2016,3463
livs,2017,4631
livs,2018,6833
livs,2019,4256
livs,2020,4155
livs,2021,6152
livs,2022,4435
livs,2023,
drk_tbk,2003,
drk_tbk,2004,
drk_tbk,2005,
drk_tbk,2006,
drk_tbk,2007,
drk_tbk,2008,47039
drk_tbk,2009,7031
drk_tbk,2010,7086
drk_tbk,2011,4100
drk_tbk,2012,15693
drk_tbk,2013,2769
drk_tbk,2014,3574
drk_tbk,2015,-4913
drk_tbk,2016,4126
drk_tbk,2017,15501
drk_tbk,2018,6978
drk_tbk,2019,6844
drk_tbk,2020,6894
drk_tbk,2021,6525
drk_tbk,2022,-8219
drk_tbk,2023,
drk,2003,
drk,2004,
drk,2005,
drk,2006,
drk,2007,
drk,2008,
drk,2009,
drk,2010,
drk,2011,
drk,2012,
drk,2013,
drk,2014,
drk,2015,
drk,2016,
drk,2017,6408
drk,2018,4287
drk,2019,4304
drk,2020,1496
drk,2021,521
drk,2022,-12818
drk,2023,
tbk,2003,
tbk,2004,
tbk,2005,
tbk,2006,
tbk,2007,
tbk,2008,
tbk,2009,
tbk,2010,
tbk,2011,
tbk,2012,
tbk,2013,
tbk,2014,
tbk,2015,
tbk,2016,
tbk,2017,9093
tbk,2018,2691
tbk,2019,2540
tbk,2020,5398
tbk,2021,6004
tbk,2022,4599
tbk,2023,
txtl,2003,
txtl,2004,
txtl,2005,
txtl,2006,
txtl,2007,
txtl,2008,181
txtl,2009,3
txtl,2010,314
txtl,2011,278
txtl,2012,24
txtl,2013,217
txtl,2014,-88
txtl,2015,288
txtl,2016,490
txtl,2017,616
txtl,2018,592
txtl,2019,672
txtl,2020,472
txtl,2021,1212
txtl,2022,582
txtl,2023,
bekl_ind,2003,
bekl_ind,2004,
bekl_ind,2005,
bekl_ind,2006,
bekl_ind,2007,
bekl_ind,2008,-404
bekl_ind,2009,-158
bekl_ind,2010,182
bekl_ind,2011,149
bekl_ind,2012,465
bekl_ind,2013,240
bekl_ind,2014,181
bekl_ind,2015,210
bekl_ind,2016,196
bekl_ind,2017,405
bekl_ind,2018,160
bekl_ind,2019,153
bekl_ind,2020,77
bekl_ind,2021,128
bekl_ind,2022,22
bekl_ind,2023,
ind_ldr,2003,
ind_ldr,2004,
