sni_id,year,ant_for_noll
annan_indu,2015,326
annan_indu,2016,332
annan_indu,2017,334
annan_indu,2018,344
annan_indu,2019,337
annan_indu,2020,355
annan_indu,2021,351
annan_indu,2022,
annan_indu,2023,
andra_till,2000,
andra_till,2001,
andra_till,2002,
andra_till,2003,
andra_till,2004,
andra_till,2005,
andra_till,2006,3012
andra_till,2007,3075
andra_till,2008,2841
andra_till,2009,3361
andra_till,2010,3358
andra_till,2011,3301
andra_till,2012,3358
andra_till,2013,3335
andra_till,2014,3374
andra_till,2015,3352
andra_till,2016,3322
andra_till,2017,3323
andra_till,2018,3410
andra_till,2019,3479
andra_till,2020,3538
andra_till,2021,3531
andra_till,2022,
andra_till,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,545
andra_tran,2007,558
andra_tran,2008,496
andra_tran,2009,571
andra_tran,2010,560
andra_tran,2011,546
andra_tran,2012,547
andra_tran,2013,551
andra_tran,2014,560
andra_tran,2015,560
andra_tran,2016,551
andra_tran,2017,544
andra_tran,2018,581
andra_tran,2019,603
andra_tran,2020,589
andra_tran,2021,605
andra_tran,2022,
andra_tran,2023,
arbetsformedlingar_rekr,2000,
arbetsformedlingar_rekr,2001,
arbetsformedlingar_rekr,2002,
arbetsformedlingar_rekr,2003,
arbetsformedlingar_rekr,2004,
arbetsformedlingar_rekr,2005,
arbetsformedlingar_rekr,2006,1388
arbetsformedlingar_rekr,2007,1286
arbetsformedlingar_rekr,2008,1268
arbetsformedlingar_rekr,2009,1568
arbetsformedlingar_rekr,2010,1535
arbetsformedlingar_rekr,2011,1656
arbetsformedlingar_rekr,2012,1740
arbetsformedlingar_rekr,2013,1728
arbetsformedlingar_rekr,2014,1985
arbetsformedlingar_rekr,2015,2163
arbetsformedlingar_rekr,2016,2207
arbetsformedlingar_rekr,2017,2351
arbetsformedlingar_rekr,2018,3298
arbetsformedlingar_rekr,2019,3604
arbetsformedlingar_rekr,2020,3896
arbetsformedlingar_rekr,2021,4168
arbetsformedlingar_rekr,2022,
arbetsformedlingar_rekr,2023,
arkitekt,2000,
arkitekt,2001,
arkitekt,2002,
arkitekt,2003,
arkitekt,2004,
arkitekt,2005,
