sni_id,year,fordon_icke_farl
partihandel_med,2015,
partihandel_med,2016,3050
partihandel_med,2017,
partihandel_med,2018,3420
partihandel_med,2019,
partihandel_med,2020,1420
partihandel_med,2021,
partihandel_med,2022,2140
partihandel_med,2023,
stal_met_c,2000,
stal_met_c,2001,
stal_met_c,2002,
stal_met_c,2003,
stal_met_c,2004,
stal_met_c,2005,
stal_met_c,2006,
stal_met_c,2007,
stal_met_c,2008,
stal_met_c,2009,
stal_met_c,2010,
stal_met_c,2011,
stal_met_c,2012,
stal_met_c,2013,
stal_met_c,2014,0
stal_met_c,2015,
stal_met_c,2016,0
stal_met_c,2017,
stal_met_c,2018,0
stal_met_c,2019,
stal_met_c,2020,0
stal_met_c,2021,
stal_met_c,2022,0
stal_met_c,2023,
textil_bekl,2000,
textil_bekl,2001,
textil_bekl,2002,
textil_bekl,2003,
textil_bekl,2004,
textil_bekl,2005,
textil_bekl,2006,
textil_bekl,2007,
textil_bekl,2008,
textil_bekl,2009,
textil_bekl,2010,
textil_bekl,2011,
textil_bekl,2012,
textil_bekl,2013,
textil_bekl,2014,0
textil_bekl,2015,
textil_bekl,2016,0
textil_bekl,2017,
textil_bekl,2018,0
textil_bekl,2019,
textil_bekl,2020,0
textil_bekl,2021,
textil_bekl,2022,0
textil_bekl,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,
icke_met_andra,2007,
icke_met_andra,2008,
icke_met_andra,2009,
icke_met_andra,2010,
icke_met_andra,2011,
icke_met_andra,2012,
icke_met_andra,2013,
icke_met_andra,2014,0
icke_met_andra,2015,
icke_met_andra,2016,0
icke_met_andra,2017,
icke_met_andra,2018,0
icke_met_andra,2019,
icke_met_andra,2020,0
icke_met_andra,2021,
icke_met_andra,2022,0
icke_met_andra,2023,
tillv_el_mot,2000,
tillv_el_mot,2001,
tillv_el_mot,2002,
tillv_el_mot,2003,
tillv_el_mot,2004,
tillv_el_mot,2005,
