sni_id,year,and_syssel
el_gas,2000,5.43177301612609
el_gas,2001,5.18756851451063
el_gas,2002,5.27718035490451
el_gas,2003,5.89773819880042
el_gas,2004,6.08413961499327
el_gas,2005,5.95700813741639
el_gas,2006,5.98947943438337
el_gas,2007,5.98174533753144
el_gas,2008,6.19192167681763
el_gas,2009,6.41993539471954
el_gas,2010,6.38948997603136
el_gas,2011,6.14499716555844
el_gas,2012,6.11861040226415
el_gas,2013,6.2101972914663
el_gas,2014,6.20842608874256
el_gas,2015,6.11590944084691
el_gas,2016,6.01459487836054
el_gas,2017,5.98068956518903
el_gas,2018,5.8494582933557
el_gas,2019,5.97155696421178
el_gas,2020,6.30599659284497
el_gas,2021,6.39184495360214
el_gas,2022,6.30407271927266
el_gas,2023,
