sninamn,year,forb_fos
jrbk_serv,2003,
jrbk_serv,2004,
jrbk_serv,2005,
jrbk_serv,2006,
jrbk_serv,2007,
jrbk_serv,2008,16763
jrbk_serv,2009,15998
jrbk_serv,2010,17731
jrbk_serv,2011,17268
jrbk_serv,2012,16837
jrbk_serv,2013,16326
jrbk_serv,2014,15419
jrbk_serv,2015,15126
jrbk_serv,2016,14405
jrbk_serv,2017,13997
jrbk_serv,2018,12211
jrbk_serv,2019,12502
jrbk_serv,2020,11806
jrbk_serv,2021,11862
jrbk_serv,2022,10341
jrbk_serv,2023,
skgb,2003,
skgb,2004,
skgb,2005,
skgb,2006,
skgb,2007,
skgb,2008,14211
skgb,2009,13934
skgb,2010,14198
skgb,2011,14905
skgb,2012,14270
skgb,2013,13444
skgb,2014,13103
skgb,2015,12949
skgb,2016,11988
skgb,2017,11620
skgb,2018,10894
skgb,2019,11223
skgb,2020,10872
skgb,2021,10693
skgb,2022,9144
skgb,2023,
fsk_vatn,2003,
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,2182
fsk_vatn,2009,1992
fsk_vatn,2010,1849
fsk_vatn,2011,1694
fsk_vatn,2012,1671
fsk_vatn,2013,1639
fsk_vatn,2014,1590
fsk_vatn,2015,1539
fsk_vatn,2016,1465
fsk_vatn,2017,1367
fsk_vatn,2018,1288
fsk_vatn,2019,1222
fsk_vatn,2020,1170
fsk_vatn,2021,1187
fsk_vatn,2022,1177
fsk_vatn,2023,
utv_min,2003,
utv_min,2004,
utv_min,2005,
utv_min,2006,
utv_min,2007,
utv_min,2008,8419
utv_min,2009,7057
utv_min,2010,9427
utv_min,2011,9410
utv_min,2012,9713
utv_min,2013,9736
utv_min,2014,10241
utv_min,2015,10024
utv_min,2016,9771
utv_min,2017,9814
utv_min,2018,9511
utv_min,2019,9405
utv_min,2020,9621
utv_min,2021,9330
utv_min,2022,8644
utv_min,2023,
livs_dk,2003,
livs_dk,2004,
livs_dk,2005,
livs_dk,2006,
livs_dk,2007,
livs_dk,2008,9473
livs_dk,2009,9771
livs_dk,2010,9352
livs_dk,2011,9352
livs_dk,2012,8975
livs_dk,2013,8388
livs_dk,2014,7896
livs_dk,2015,6811
livs_dk,2016,7019
livs_dk,2017,6540
livs_dk,2018,6146
livs_dk,2019,5895
livs_dk,2020,5833
livs_dk,2021,4890
livs_dk,2022,4515
livs_dk,2023,
tilv_txtl,2003,
tilv_txtl,2004,
tilv_txtl,2005,
tilv_txtl,2006,
tilv_txtl,2007,
tilv_txtl,2008,784
tilv_txtl,2009,715
tilv_txtl,2010,728
tilv_txtl,2011,656
tilv_txtl,2012,600
tilv_txtl,2013,557
tilv_txtl,2014,497
tilv_txtl,2015,439
tilv_txtl,2016,418
tilv_txtl,2017,384
tilv_txtl,2018,301
tilv_txtl,2019,297
tilv_txtl,2020,269
tilv_txtl,2021,263
tilv_txtl,2022,285
tilv_txtl,2023,
ind_tra,2003,
ind_tra,2004,
ind_tra,2005,
ind_tra,2006,
ind_tra,2007,
ind_tra,2008,3025
ind_tra,2009,2927
ind_tra,2010,3052
ind_tra,2011,3008
ind_tra,2012,2746
ind_tra,2013,2527
ind_tra,2014,2388
ind_tra,2015,2448
ind_tra,2016,3454
ind_tra,2017,3575
ind_tra,2018,3771
ind_tra,2019,3757
ind_tra,2020,3689
ind_tra,2021,3755
ind_tra,2022,3569
ind_tra,2023,
msa_ppr,2003,
msa_ppr,2004,
msa_ppr,2005,
msa_ppr,2006,
msa_ppr,2007,
msa_ppr,2008,22639
msa_ppr,2009,18720
msa_ppr,2010,19627
msa_ppr,2011,17842
msa_ppr,2012,16348
msa_ppr,2013,13159
msa_ppr,2014,11306
msa_ppr,2015,10382
msa_ppr,2016,12496
msa_ppr,2017,12089
msa_ppr,2018,13066
msa_ppr,2019,12239
msa_ppr,2020,11382
msa_ppr,2021,11791
msa_ppr,2022,10714
msa_ppr,2023,
grf_rep,2003,
grf_rep,2004,
grf_rep,2005,
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,450
grf_rep,2009,398
grf_rep,2010,361
grf_rep,2011,350
grf_rep,2012,353
grf_rep,2013,281
grf_rep,2014,264
grf_rep,2015,250
grf_rep,2016,207
grf_rep,2017,210
grf_rep,2018,206
grf_rep,2019,211
grf_rep,2020,170
grf_rep,2021,162
grf_rep,2022,140
grf_rep,2023,
ind_stnkl,2003,
ind_stnkl,2004,
ind_stnkl,2005,
ind_stnkl,2006,
