sninamn,year,forv_tot
jrbk_serv,2003,1055
jrbk_serv,2004,1018
jrbk_serv,2005,1038
jrbk_serv,2006,1042
jrbk_serv,2007,1916
jrbk_serv,2008,1246
jrbk_serv,2009,1373
jrbk_serv,2010,1581
jrbk_serv,2011,1783
jrbk_serv,2012,1807
jrbk_serv,2013,1864
jrbk_serv,2014,1883
jrbk_serv,2015,2002
jrbk_serv,2016,2204
jrbk_serv,2017,2253
jrbk_serv,2018,2266
jrbk_serv,2019,2166
jrbk_serv,2020,2200
jrbk_serv,2021,2320
jrbk_serv,2022,
jrbk_serv,2023,
skgb,2003,3068
skgb,2004,3084
skgb,2005,3291
skgb,2006,3429
skgb,2007,3935
skgb,2008,4640
skgb,2009,4807
skgb,2010,5207
skgb,2011,4851
skgb,2012,4849
skgb,2013,4699
skgb,2014,5080
skgb,2015,5493
skgb,2016,6170
skgb,2017,5604
skgb,2018,5701
skgb,2019,6062
skgb,2020,5916
skgb,2021,5971
skgb,2022,
skgb,2023,
fsk_vatn,2003,2
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,
fsk_vatn,2009,
fsk_vatn,2010,
fsk_vatn,2011,
fsk_vatn,2012,
fsk_vatn,2013,
fsk_vatn,2014,
fsk_vatn,2015,
fsk_vatn,2016,
fsk_vatn,2017,
fsk_vatn,2018,
fsk_vatn,2019,
fsk_vatn,2020,
fsk_vatn,2021,
fsk_vatn,2022,
fsk_vatn,2023,
utv_min,2003,70
utv_min,2004,77
utv_min,2005,74
utv_min,2006,78
utv_min,2007,61
utv_min,2008,51
utv_min,2009,51
utv_min,2010,46
utv_min,2011,44
utv_min,2012,65
utv_min,2013,62
utv_min,2014,61
utv_min,2015,72
utv_min,2016,83
utv_min,2017,73
utv_min,2018,97
utv_min,2019,98
utv_min,2020,82
utv_min,2021,80
utv_min,2022,
utv_min,2023,
livs_dk,2003,56
livs_dk,2004,64
livs_dk,2005,87
livs_dk,2006,89
livs_dk,2007,96
livs_dk,2008,105
livs_dk,2009,129
livs_dk,2010,113
livs_dk,2011,134
livs_dk,2012,127
livs_dk,2013,122
livs_dk,2014,126
livs_dk,2015,155
livs_dk,2016,156
livs_dk,2017,128
livs_dk,2018,130
livs_dk,2019,112
livs_dk,2020,120
livs_dk,2021,114
livs_dk,2022,
livs_dk,2023,
tilv_txtl,2003,127
tilv_txtl,2004,124
tilv_txtl,2005,130
tilv_txtl,2006,120
tilv_txtl,2007,136
tilv_txtl,2008,140
tilv_txtl,2009,125
tilv_txtl,2010,141
tilv_txtl,2011,124
tilv_txtl,2012,115
tilv_txtl,2013,111
tilv_txtl,2014,114
tilv_txtl,2015,108
tilv_txtl,2016,102
tilv_txtl,2017,66
tilv_txtl,2018,67
tilv_txtl,2019,73
tilv_txtl,2020,72
tilv_txtl,2021,73
tilv_txtl,2022,
tilv_txtl,2023,
ind_tra,2003,1332
ind_tra,2004,1367
ind_tra,2005,814
ind_tra,2006,1554
ind_tra,2007,1598
ind_tra,2008,1614
ind_tra,2009,1575
ind_tra,2010,1584
ind_tra,2011,1534
ind_tra,2012,1417
ind_tra,2013,1454
ind_tra,2014,1402
ind_tra,2015,1416
ind_tra,2016,1435
ind_tra,2017,1442
ind_tra,2018,1463
ind_tra,2019,1511
ind_tra,2020,1440
ind_tra,2021,1462
ind_tra,2022,
ind_tra,2023,
msa_ppr,2003,625
msa_ppr,2004,636
msa_ppr,2005,642
msa_ppr,2006,624
msa_ppr,2007,624
msa_ppr,2008,598
msa_ppr,2009,459
msa_ppr,2010,435
msa_ppr,2011,426
msa_ppr,2012,452
msa_ppr,2013,413
msa_ppr,2014,344
msa_ppr,2015,344
msa_ppr,2016,348
msa_ppr,2017,317
msa_ppr,2018,313
msa_ppr,2019,296
msa_ppr,2020,293
msa_ppr,2021,271
msa_ppr,2022,
msa_ppr,2023,
grf_rep,2003,19
grf_rep,2004,20
grf_rep,2005,31
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,
grf_rep,2009,
grf_rep,2010,
grf_rep,2011,
grf_rep,2012,
grf_rep,2013,
grf_rep,2014,
grf_rep,2015,
grf_rep,2016,
grf_rep,2017,
grf_rep,2018,
grf_rep,2019,4
grf_rep,2020,3
grf_rep,2021,
grf_rep,2022,
grf_rep,2023,
tilv_sten,2003,608
tilv_sten,2004,613
tilv_sten,2005,612
tilv_sten,2006,646
tilv_sten,2007,698
tilv_sten,2008,803
tilv_sten,2009,740
tilv_sten,2010,784
tilv_sten,2011,826
tilv_sten,2012,793
tilv_sten,2013,797
tilv_sten,2014,755
tilv_sten,2015,752
tilv_sten,2016,786
tilv_sten,2017,779
tilv_sten,2018,794
tilv_sten,2019,861
tilv_sten,2020,833
tilv_sten,2021,877
tilv_sten,2022,
tilv_sten,2023,
gmi_pls,2003,943
gmi_pls,2004,931
gmi_pls,2005,888
gmi_pls,2006,939
gmi_pls,2007,951
gmi_pls,2008,745
gmi_pls,2009,664
gmi_pls,2010,738
gmi_pls,2011,747
gmi_pls,2012,702
gmi_pls,2013,692
gmi_pls,2014,708
gmi_pls,2015,719
gmi_pls,2016,667
gmi_pls,2017,687
gmi_pls,2018,594
gmi_pls,2019,620
gmi_pls,2020,580
gmi_pls,2021,582
gmi_pls,2022,
gmi_pls,2023,
ind_min,2003,636
ind_min,2004,641
ind_min,2005,327
ind_min,2006,683
ind_min,2007,723
ind_min,2008,745
ind_min,2009,634
ind_min,2010,647
ind_min,2011,648
ind_min,2012,630
ind_min,2013,525
ind_min,2014,545
ind_min,2015,555
ind_min,2016,575
ind_min,2017,586
ind_min,2018,612
ind_min,2019,587
ind_min,2020,620
ind_min,2021,633
ind_min,2022,
ind_min,2023,
stl_met,2003,470
stl_met,2004,487
stl_met,2005,512
stl_met,2006,550
stl_met,2007,573
stl_met,2008,644
stl_met,2009,359
stl_met,2010,567
stl_met,2011,499
stl_met,2012,564
stl_met,2013,580
stl_met,2014,580
stl_met,2015,590
stl_met,2016,543
stl_met,2017,535
stl_met,2018,595
stl_met,2019,550
stl_met,2020,534
stl_met,2021,564
stl_met,2022,
stl_met,2023,
ind_met_,2003,793
ind_met_,2004,772
ind_met_,2005,748
ind_met_,2006,856
ind_met_,2007,835
ind_met_,2008,688
ind_met_,2009,637
ind_met_,2010,580
ind_met_,2011,581
ind_met_,2012,693
ind_met_,2013,727
ind_met_,2014,694
ind_met_,2015,670
ind_met_,2016,649
ind_met_,2017,653
ind_met_,2018,640
ind_met_,2019,596
ind_met_,2020,515
ind_met_,2021,465
ind_met_,2022,
ind_met_,2023,
tilv_dat,2003,3253
tilv_dat,2004,3383
tilv_dat,2005,3323
tilv_dat,2006,3480
tilv_dat,2007,3642
tilv_dat,2008,3960
tilv_dat,2009,3761
tilv_dat,2010,2693
tilv_dat,2011,2271
tilv_dat,2012,2006
tilv_dat,2013,2146
tilv_dat,2014,2143
tilv_dat,2015,2013
tilv_dat,2016,2002
tilv_dat,2017,1702
tilv_dat,2018,1697
tilv_dat,2019,1517
tilv_dat,2020,1464
tilv_dat,2021,1731
tilv_dat,2022,
tilv_dat,2023,
elap,2003,5736
elap,2004,5950
elap,2005,5798
elap,2006,6309
elap,2007,6304
elap,2008,6611
elap,2009,5955
elap,2010,5318
elap,2011,5311
elap,2012,5127
elap,2013,4532
elap,2014,4451
elap,2015,4252
elap,2016,4150
elap,2017,4275
elap,2018,4444
elap,2019,4520
elap,2020,4684
elap,2021,5048
elap,2022,
elap,2023,
ind_mot_vag,2003,400
ind_mot_vag,2004,406
ind_mot_vag,2005,427
ind_mot_vag,2006,473
ind_mot_vag,2007,493
ind_mot_vag,2008,461
ind_mot_vag,2009,394
ind_mot_vag,2010,388
