sni_id,year,ant_for_fem_hundra
jur_andra,2000,
jur_andra,2001,
jur_andra,2002,
jur_andra,2003,
jur_andra,2004,
jur_andra,2005,
jur_andra,2006,3
jur_andra,2007,3
jur_andra,2008,2
jur_andra,2009,2
jur_andra,2010,2
jur_andra,2011,2
jur_andra,2012,2
jur_andra,2013,2
jur_andra,2014,2
jur_andra,2015,2
jur_andra,2016,2
jur_andra,2017,2
jur_andra,2018,3
jur_andra,2019,4
jur_andra,2020,4
jur_andra,2021,4
jur_andra,2022,
jur_andra,2023,
andra_kons,2000,
andra_kons,2001,
andra_kons,2002,
andra_kons,2003,
andra_kons,2004,
andra_kons,2005,
andra_kons,2006,3
andra_kons,2007,3
andra_kons,2008,3
andra_kons,2009,3
andra_kons,2010,4
andra_kons,2011,4
andra_kons,2012,4
andra_kons,2013,3
andra_kons,2014,2
andra_kons,2015,3
andra_kons,2016,3
andra_kons,2017,4
andra_kons,2018,4
andra_kons,2019,4
andra_kons,2020,4
andra_kons,2021,4
andra_kons,2022,
andra_kons,2023,
anlaggningar_for,2000,
anlaggningar_for,2001,
anlaggningar_for,2002,
anlaggningar_for,2003,
anlaggningar_for,2004,
anlaggningar_for,2005,
anlaggningar_for,2006,0
anlaggningar_for,2007,0
anlaggningar_for,2008,0
anlaggningar_for,2009,0
anlaggningar_for,2010,0
anlaggningar_for,2011,0
anlaggningar_for,2012,0
anlaggningar_for,2013,0
anlaggningar_for,2014,0
anlaggningar_for,2015,0
anlaggningar_for,2016,0
anlaggningar_for,2017,0
anlaggningar_for,2018,0
anlaggningar_for,2019,0
anlaggningar_for,2020,0
anlaggningar_for,2021,0
anlaggningar_for,2022,
anlaggningar_for,2023,
anlaggningsentreprenorer,2000,
anlaggningsentreprenorer,2001,
anlaggningsentreprenorer,2002,
anlaggningsentreprenorer,2003,
anlaggningsentreprenorer,2004,
anlaggningsentreprenorer,2005,
anlaggningsentreprenorer,2006,6
anlaggningsentreprenorer,2007,5
anlaggningsentreprenorer,2008,6
anlaggningsentreprenorer,2009,7
anlaggningsentreprenorer,2010,9
anlaggningsentreprenorer,2011,9
anlaggningsentreprenorer,2012,9
anlaggningsentreprenorer,2013,9
anlaggningsentreprenorer,2014,9
anlaggningsentreprenorer,2015,9
anlaggningsentreprenorer,2016,8
anlaggningsentreprenorer,2017,8
anlaggningsentreprenorer,2018,7
anlaggningsentreprenorer,2019,7
anlaggningsentreprenorer,2020,7
anlaggningsentreprenorer,2021,7
anlaggningsentreprenorer,2022,
anlaggningsentreprenorer,2023,
annan_indu,2000,
annan_indu,2001,
annan_indu,2002,
annan_indu,2003,
annan_indu,2004,
annan_indu,2005,
annan_indu,2006,0
annan_indu,2007,0
annan_indu,2008,0
annan_indu,2009,0
annan_indu,2010,0
annan_indu,2011,0
annan_indu,2012,0
annan_indu,2013,0
annan_indu,2014,0
annan_indu,2015,0
annan_indu,2016,0
annan_indu,2017,0
annan_indu,2018,0
annan_indu,2019,0
annan_indu,2020,0
annan_indu,2021,0
annan_indu,2022,
annan_indu,2023,
andra_till,2000,
andra_till,2001,
andra_till,2002,
andra_till,2003,
andra_till,2004,
andra_till,2005,
andra_till,2006,2
andra_till,2007,2
andra_till,2008,2
andra_till,2009,2
andra_till,2010,2
andra_till,2011,2
andra_till,2012,2
andra_till,2013,2
andra_till,2014,2
andra_till,2015,2
andra_till,2016,2
andra_till,2017,2
andra_till,2018,1
andra_till,2019,1
andra_till,2020,1
andra_till,2021,1
andra_till,2022,
andra_till,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,3
andra_tran,2007,3
andra_tran,2008,5
andra_tran,2009,5
andra_tran,2010,5
andra_tran,2011,5
andra_tran,2012,5
andra_tran,2013,5
andra_tran,2014,5
andra_tran,2015,5
andra_tran,2016,5
andra_tran,2017,5
andra_tran,2018,5
andra_tran,2019,5
andra_tran,2020,5
andra_tran,2021,5
andra_tran,2022,
andra_tran,2023,
arbetsformedlingar_rekr,2000,
arbetsformedlingar_rekr,2001,
arbetsformedlingar_rekr,2002,
arbetsformedlingar_rekr,2003,
arbetsformedlingar_rekr,2004,
arbetsformedlingar_rekr,2005,
arbetsformedlingar_rekr,2006,11
arbetsformedlingar_rekr,2007,14
arbetsformedlingar_rekr,2008,12
arbetsformedlingar_rekr,2009,15
arbetsformedlingar_rekr,2010,17
arbetsformedlingar_rekr,2011,15
arbetsformedlingar_rekr,2012,17
arbetsformedlingar_rekr,2013,20
arbetsformedlingar_rekr,2014,22
arbetsformedlingar_rekr,2015,23
arbetsformedlingar_rekr,2016,24
arbetsformedlingar_rekr,2017,24
arbetsformedlingar_rekr,2018,25
arbetsformedlingar_rekr,2019,32
arbetsformedlingar_rekr,2020,38
arbetsformedlingar_rekr,2021,38
arbetsformedlingar_rekr,2022,
arbetsformedlingar_rekr,2023,
arkitekt,2000,
arkitekt,2001,
arkitekt,2002,
arkitekt,2003,
arkitekt,2004,
arkitekt,2005,
arkitekt,2006,13
arkitekt,2007,15
arkitekt,2008,16
arkitekt,2009,18
arkitekt,2010,21
arkitekt,2011,21
arkitekt,2012,21
arkitekt,2013,22
arkitekt,2014,24
arkitekt,2015,26
arkitekt,2016,28
arkitekt,2017,29
arkitekt,2018,29
arkitekt,2019,23
arkitekt,2020,23
arkitekt,2021,23
arkitekt,2022,
arkitekt,2023,
avfallshantering_ater,2000,
avfallshantering_ater,2001,
avfallshantering_ater,2002,
avfallshantering_ater,2003,
