sni_id,year,ant_for_fem
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,94
avfallshantering_ater,2007,99
avfallshantering_ater,2008,100
avfallshantering_ater,2009,104
avfallshantering_ater,2010,102
avfallshantering_ater,2011,116
avfallshantering_ater,2012,90
avfallshantering_ater,2013,81
avfallshantering_ater,2014,92
avfallshantering_ater,2015,100
avfallshantering_ater,2016,94
avfallshantering_ater,2017,94
avfallshantering_ater,2018,85
avfallshantering_ater,2019,82
avfallshantering_ater,2020,83
avfallshantering_ater,2021,85
avfallshantering_ater,2022,
avfallshantering_ater,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,93
banker,2007,87
banker,2008,99
banker,2009,113
banker,2010,125
banker,2011,135
banker,2012,124
banker,2013,143
banker,2014,142
banker,2015,148
banker,2016,161
banker,2017,173
banker,2018,194
banker,2019,205
banker,2020,216
banker,2021,221
banker,2022,
banker,2023,
bekladnadsindustri,2000,
bekladnadsindustri,2001,
bekladnadsindustri,2002,
bekladnadsindustri,2003,
bekladnadsindustri,2004,
bekladnadsindustri,2005,
bekladnadsindustri,2006,30
bekladnadsindustri,2007,25
bekladnadsindustri,2008,26
bekladnadsindustri,2009,28
bekladnadsindustri,2010,26
bekladnadsindustri,2011,34
bekladnadsindustri,2012,31
bekladnadsindustri,2013,30
bekladnadsindustri,2014,29
bekladnadsindustri,2015,26
bekladnadsindustri,2016,30
bekladnadsindustri,2017,27
bekladnadsindustri,2018,25
bekladnadsindustri,2019,24
bekladnadsindustri,2020,24
bekladnadsindustri,2021,15
bekladnadsindustri,2022,
bekladnadsindustri,2023,
bibliotek_arki,2000,
bibliotek_arki,2001,
bibliotek_arki,2002,
bibliotek_arki,2003,
bibliotek_arki,2004,
bibliotek_arki,2005,
bibliotek_arki,2006,42
bibliotek_arki,2007,33
bibliotek_arki,2008,47
bibliotek_arki,2009,39
bibliotek_arki,2010,42
bibliotek_arki,2011,45
bibliotek_arki,2012,45
bibliotek_arki,2013,42
bibliotek_arki,2014,42
bibliotek_arki,2015,50
bibliotek_arki,2016,51
bibliotek_arki,2017,49
bibliotek_arki,2018,55
bibliotek_arki,2019,66
bibliotek_arki,2020,64
bibliotek_arki,2021,53
bibliotek_arki,2022,
bibliotek_arki,2023,
byggentreprenorer,2000,
byggentreprenorer,2001,
byggentreprenorer,2002,
byggentreprenorer,2003,
byggentreprenorer,2004,
byggentreprenorer,2005,
byggentreprenorer,2006,1078
byggentreprenorer,2007,1099
byggentreprenorer,2008,1166
byggentreprenorer,2009,1297
byggentreprenorer,2010,1329
byggentreprenorer,2011,1332
byggentreprenorer,2012,1421
byggentreprenorer,2013,1478
byggentreprenorer,2014,1541
byggentreprenorer,2015,1539
byggentreprenorer,2016,1579
byggentreprenorer,2017,1605
byggentreprenorer,2018,1566
byggentreprenorer,2019,1679
byggentreprenorer,2020,1750
byggentreprenorer,2021,1720
byggentreprenorer,2022,
byggentreprenorer,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,23
offentlig_forv,2007,28
offentlig_forv,2008,22
offentlig_forv,2009,28
offentlig_forv,2010,28
offentlig_forv,2011,26
offentlig_forv,2012,20
offentlig_forv,2013,22
offentlig_forv,2014,23
offentlig_forv,2015,23
offentlig_forv,2016,26
offentlig_forv,2017,19
offentlig_forv,2018,31
offentlig_forv,2019,23
offentlig_forv,2020,30
offentlig_forv,2021,26
offentlig_forv,2022,
offentlig_forv,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,
detaljhandel_ut_mot,2004,
detaljhandel_ut_mot,2005,
detaljhandel_ut_mot,2006,4764
detaljhandel_ut_mot,2007,4649
detaljhandel_ut_mot,2008,4630
detaljhandel_ut_mot,2009,4738
detaljhandel_ut_mot,2010,4664
detaljhandel_ut_mot,2011,4566
detaljhandel_ut_mot,2012,4418
detaljhandel_ut_mot,2013,4328
detaljhandel_ut_mot,2014,4242
detaljhandel_ut_mot,2015,4197
detaljhandel_ut_mot,2016,4062
detaljhandel_ut_mot,2017,3977
detaljhandel_ut_mot,2018,3991
detaljhandel_ut_mot,2019,4076
detaljhandel_ut_mot,2020,4150
detaljhandel_ut_mot,2021,4015
detaljhandel_ut_mot,2022,
detaljhandel_ut_mot,2023,
drycker,2000,
drycker,2001,
drycker,2002,
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,6
drycker,2007,11
drycker,2008,14
drycker,2009,10
drycker,2010,16
drycker,2011,16
drycker,2012,13
drycker,2013,19
drycker,2014,24
drycker,2015,28
drycker,2016,22
drycker,2017,25
drycker,2018,39
drycker,2019,31
drycker,2020,42
drycker,2021,50
drycker,2022,
drycker,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,51
el_gas,2007,60
el_gas,2008,62
el_gas,2009,64
el_gas,2010,64
el_gas,2011,67
el_gas,2012,67
el_gas,2013,63
el_gas,2014,70
el_gas,2015,54
el_gas,2016,56
el_gas,2017,55
el_gas,2018,53
el_gas,2019,63
el_gas,2020,58
el_gas,2021,56
el_gas,2022,
el_gas,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,
halso,2004,
halso,2005,
halso,2006,534
halso,2007,593
halso,2008,615
halso,2009,578
halso,2010,608
halso,2011,631
halso,2012,628
halso,2013,633
halso,2014,650
halso,2015,677
halso,2016,681
halso,2017,689
halso,2018,799
halso,2019,790
halso,2020,834
halso,2021,807
halso,2022,
halso,2023,
enheter_for_konst,2000,
enheter_for_konst,2001,
enheter_for_konst,2002,
enheter_for_konst,2003,
enheter_for_konst,2004,
enheter_for_konst,2005,
enheter_for_konst,2006,166
enheter_for_konst,2007,161
enheter_for_konst,2008,183
enheter_for_konst,2009,170
enheter_for_konst,2010,187
enheter_for_konst,2011,207
enheter_for_konst,2012,188
enheter_for_konst,2013,189
enheter_for_konst,2014,188
enheter_for_konst,2015,197
enheter_for_konst,2016,185
enheter_for_konst,2017,205
enheter_for_konst,2018,178
enheter_for_konst,2019,199
enheter_for_konst,2020,220
enheter_for_konst,2021,219
enheter_for_konst,2022,
enheter_for_konst,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,999
fastighetsbolag_g,2007,1010
fastighetsbolag_g,2008,1039
fastighetsbolag_g,2009,1099
fastighetsbolag_g,2010,1115
fastighetsbolag_g,2011,1086
fastighetsbolag_g,2012,1117
fastighetsbolag_g,2013,1171
fastighetsbolag_g,2014,1191
fastighetsbolag_g,2015,1222
fastighetsbolag_g,2016,1221
fastighetsbolag_g,2017,1275
fastighetsbolag_g,2018,1526
fastighetsbolag_g,2019,1505
fastighetsbolag_g,2020,1501
fastighetsbolag_g,2021,1463
fastighetsbolag_g,2022,
fastighetsbolag_g,2023,
film_vide,2000,
film_vide,2001,
film_vide,2002,
film_vide,2003,
film_vide,2004,
film_vide,2005,
film_vide,2006,149
film_vide,2007,133
film_vide,2008,150
film_vide,2009,167
film_vide,2010,169
film_vide,2011,166
film_vide,2012,165
film_vide,2013,160
film_vide,2014,167
film_vide,2015,181
film_vide,2016,165
film_vide,2017,170
film_vide,2018,160
film_vide,2019,179
film_vide,2020,192
film_vide,2021,181
film_vide,2022,
film_vide,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,18
fisk,2007,19
fisk,2008,27
fisk,2009,28
fisk,2010,28
fisk,2011,28
fisk,2012,24
fisk,2013,26
fisk,2014,22
fisk,2015,24
fisk,2016,24
fisk,2017,21
fisk,2018,17
fisk,2019,26
fisk,2020,26
fisk,2021,26
fisk,2022,
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,22
flygbolag,2007,24
flygbolag,2008,20
