sni_id,year,ant_for_tio
annan_indu,2019,23
annan_indu,2020,24
annan_indu,2021,21
annan_indu,2022,
annan_indu,2023,
andra_till,2000,
andra_till,2001,
andra_till,2002,
andra_till,2003,
andra_till,2004,
andra_till,2005,
andra_till,2006,77
andra_till,2007,79
andra_till,2008,82
andra_till,2009,78
andra_till,2010,70
andra_till,2011,77
andra_till,2012,75
andra_till,2013,76
andra_till,2014,79
andra_till,2015,85
andra_till,2016,86
andra_till,2017,87
andra_till,2018,78
andra_till,2019,69
andra_till,2020,69
andra_till,2021,72
andra_till,2022,
andra_till,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,28
andra_tran,2007,23
andra_tran,2008,24
andra_tran,2009,24
andra_tran,2010,20
andra_tran,2011,19
andra_tran,2012,23
andra_tran,2013,22
andra_tran,2014,23
andra_tran,2015,23
andra_tran,2016,28
andra_tran,2017,32
andra_tran,2018,25
andra_tran,2019,20
andra_tran,2020,31
andra_tran,2021,24
andra_tran,2022,
andra_tran,2023,
arbetsformedlingar_rekr,2000,
arbetsformedlingar_rekr,2001,
arbetsformedlingar_rekr,2002,
arbetsformedlingar_rekr,2003,
arbetsformedlingar_rekr,2004,
arbetsformedlingar_rekr,2005,
arbetsformedlingar_rekr,2006,153
arbetsformedlingar_rekr,2007,159
arbetsformedlingar_rekr,2008,155
arbetsformedlingar_rekr,2009,162
arbetsformedlingar_rekr,2010,189
arbetsformedlingar_rekr,2011,190
arbetsformedlingar_rekr,2012,206
arbetsformedlingar_rekr,2013,266
arbetsformedlingar_rekr,2014,258
arbetsformedlingar_rekr,2015,277
arbetsformedlingar_rekr,2016,318
arbetsformedlingar_rekr,2017,319
arbetsformedlingar_rekr,2018,343
arbetsformedlingar_rekr,2019,346
arbetsformedlingar_rekr,2020,381
arbetsformedlingar_rekr,2021,413
arbetsformedlingar_rekr,2022,
arbetsformedlingar_rekr,2023,
arkitekt,2000,
arkitekt,2001,
arkitekt,2002,
arkitekt,2003,
arkitekt,2004,
arkitekt,2005,
arkitekt,2006,523
arkitekt,2007,533
arkitekt,2008,525
arkitekt,2009,530
