sni_id,year,bnp_prod_fast
totalt_tota,2000,3060403
totalt_tota,2001,3101063
totalt_tota,2002,3170008
totalt_tota,2003,3231366
totalt_tota,2004,3377027
totalt_tota,2005,3465886
totalt_tota,2006,3635191
totalt_tota,2007,3751904
totalt_tota,2008,3715960
totalt_tota,2009,3546066
totalt_tota,2010,3755878
totalt_tota,2011,3892637
totalt_tota,2012,3877128
totalt_tota,2013,3919879
totalt_tota,2014,4011893
totalt_tota,2015,4184603
totalt_tota,2016,4268772
totalt_tota,2017,4351852
totalt_tota,2018,4437736
totalt_tota,2019,4559532
totalt_tota,2020,4452634
totalt_tota,2021,4727257
totalt_tota,2022,4806470
totalt_tota,2023,
el_gas_avl,2000,89681
el_gas_avl,2001,95028
el_gas_avl,2002,94063
el_gas_avl,2003,89509
el_gas_avl,2004,100126
el_gas_avl,2005,103006
el_gas_avl,2006,91987
el_gas_avl,2007,101394
el_gas_avl,2008,99169
el_gas_avl,2009,97098
el_gas_avl,2010,97168
el_gas_avl,2011,99743
el_gas_avl,2012,112904
el_gas_avl,2013,106370
el_gas_avl,2014,109449
el_gas_avl,2015,114452
el_gas_avl,2016,107125
el_gas_avl,2017,103251
el_gas_avl,2018,92269
el_gas_avl,2019,107208
el_gas_avl,2020,132578
el_gas_avl,2021,115732
el_gas_avl,2022,106364
el_gas_avl,2023,
el_gas,2000,71682
el_gas,2001,75885
el_gas,2002,72558
el_gas,2003,67978
el_gas,2004,77171
el_gas,2005,80756
el_gas,2006,69735
el_gas,2007,77088
el_gas,2008,75661
el_gas,2009,72239
el_gas,2010,75538
el_gas,2011,78619
el_gas,2012,89039
el_gas,2013,79968
el_gas,2014,83743
el_gas,2015,84719
el_gas,2016,79077
el_gas,2017,80557
el_gas,2018,69265
el_gas,2019,81915
el_gas,2020,105342
el_gas,2021,93941
el_gas,2022,82601
el_gas,2023,
