sni_id,is--sni_id,name,sni_grupp
hushallsproducenter_avd,TRUE,T98 Hushållsproducenter Av Diverse Varor För Eget Bruk ,t
halso,TRUE,Q86 Hälso- Och Sjukvård ,q
tillverkning_avd,TRUE,C26-C27 Industri För Datorer: Elektronikvaror: Optik Och Elapparatur ,c
industri_for_met,TRUE,C25 Industri För Metallvaror Utom Maskiner Och Apparater ,c
industri_for_mot,TRUE,C29 Industri För Motorfordon: Släpfordon Och Påhängsvagnar ,c
industri_for_sten,TRUE,C19 Industri För Stenkols- Och Raffinerade Petroleumprodukter ,c
rapetroleum,TRUE,B06 Industri För Utvinning Av Råpetroleum Och Naturgas ,b
industrianlaggningar_samt,TRUE,89 Industrianläggningar Samt Leveranser Till Fartyg: Flygplan Och Off Shore-Anläggningar Avseende Varor  Ur Kn-Kapitel 1-26 Och 28-97 Personliga Flyttsaker M.M. ,other
information_komm,TRUE,J58-J63 Information Och Kommunikation ,j
informationstjanstforetag,TRUE,J63 Informationstjänstföretag ,j
internationella_org,TRUE,U99 Internationella Organisationer: Utländska Ambassader O.D. ,u
intresseorganisationer,TRUE,S94 Intresseorganisationer Och Religiösa Samfund ,s
bransch_i_u,TRUE,ZZ I-U ,several
jord_skog,TRUE,A01-A03 Jord-: Skogsbruk Och Fiske ,a
jordbruksforetag_serv,TRUE,A01 Jordbruk och jakt samt service i anslutning härtill ,a
jordbruks,TRUE,SPIN01 Jordbruks- Och Jaktprodukter Och Tjänster I Anslutning Härtill ,other
juridisk_ek,TRUE,M69-M70 Juridisk- Och Ekonomisk Konsultverksamhet ,m
juridisk_ek_kons,TRUE,M69-M72 Juridisk Och Ekonomisk Konsultverksamhet: Huvudkontors- Och Konsulttjänster Till Företag: Arkitekt- Och Teknisk Konsultverksamhet Samt Fou ,m
juridiska_ek_byr,TRUE,M69 Juridiska Och Ekonomiska Konsultbyråer ,m
kemikalie_lake,TRUE,C20-C22 Kemikalie- Läkemedels- Gummi- Och Plastvarutillverkning ,c
kemikalier,TRUE,C20 Kemikalier Och Kemiska Produkter ,c
kemisk_indu,TRUE,C19-C21 Kemisk Industri: Petroleumprodukter Och Läkemedelsindustri ,c
kolgruvor,TRUE,B05 Kolutvinning ,b
kommunala_mynd,TRUE,Y016 Kommunala Myndigheter ,other
enheter_for_konst,TRUE,R90 Konstnärliga Och Kulturella Tjänster Samt Underhållningstjänster ,r
kontors,TRUE,N82 Kontors- Och Andra Företagstjänstföretag ,n
kultur_noje,TRUE,R90-R93 Kultur: Nöje Och Fritid ,r
landtransportforetag_rort,TRUE,H49 Landtransportföretag: Rörtransportföretag ,h
livsmedel,TRUE,C10 Livsmedel ,c
livsmedel_dryck_tob,TRUE,C10-C12 Livsmedel: Drycker Och Tobak ,c
livsmedel_dryck_klad,TRUE,C10-C15 Livsmedel: Drycker Och Tobak: Tillverkning Av Textilier: Kläder Och Läderprodukter ,c
industri_for_lad,TRUE,C15 Läder: Läder- Och Skinnvaror ,c
magasin,TRUE,H52 Magasin Och Serviceföretag Till Transport ,h
magasinering,TRUE,H52-H53 Magasinering Och Stödtjänster Till Transport: Post Och Kurirverksamhet ,h
marknadsproduktion_tjan,TRUE,G45-T98 Marknadsproduktion: Tjänster ,several
marknadsproduktion_varo,TRUE,A01-F43 Marknadsproduktion: Varor ,several
massa_papp,TRUE,C17 Massa-: Pappers- Och Pappersvaruindustri ,c
metallmalmer,TRUE,B07 Metallmalmer ,b
utvinning_malm,TRUE,B07-B09 Metallmalmer och service ,b
mobelindustri,TRUE,C31 Möbelindustri ,c
mobeltillverkning_anna,TRUE,C31-C33 Möbeltillverkning: Annan Tillverkning: Reparation Och Installation Av Maskiner Och Apparater ,c
nationell_tota_exk,TRUE,Nationell Total Exklusive Lulucf: Exklusive Internationella Transporter ,other
nationell_total,TRUE,Nationell Total Exklusive Lulucf: Inklusive Internationella Transporter ,other
nationell_tota_ink,TRUE,Nationell Total Inklusive Lulucf: Inklusive Internationella Transporter ,other
bransch_ospe,TRUE,0 Näringsgren Okänd ,other
offentl_mynd,TRUE,Ofmhio Offentl. Myndigh. Samt Hushållens Icke-Vinstdrivande Org. ,other
offentlig_forv,TRUE,O84 Offentlig Förvaltning och försvar ,o
offentlig_sekt,TRUE,Off Offentlig Sektor ,other
offentliga_mynd,TRUE,Y012 Offentliga Myndigheter ,other
massa_papp_graf,TRUE,C17-C18 Pappers- Och Pappersvarutillverkning: Grafisk Industri ,c
parti_prov,TRUE,G46 Parti - Och Provisionshandel Utom Med Motorfordon ,g
partihandel_med,TRUE,G46.77 Partihandel Med Avfallsprodukter Och Skrot ,g
kulturella,TRUE,R90-T98 Personliga Och Kulturella Tjänster ,several
radio,TRUE,J60 Planering och sändning av program ,j
post,TRUE,H53 Post- Och Kurirföretag ,h
primarkommunala_mynd,TRUE,Y0485 Primärkommunala Myndigheter Och Kommunalförbund ,other
privat_kons,TRUE,Privat Konsumtion,other
dataprogrammering_data,TRUE,J62-J63 Programmering Och Informationstjänster ,j
programvaruproducenter_data,TRUE,J62 Programvaruproducenter: Datakonsulter O.D. ,j
regionala_mynd,TRUE,Y0605 Regionala Myndigheter ,other
reklam_und,TRUE,M73-M75 Reklam Och Marknadsundersökning: Annan Verksamhet Inom Juridik: Ekonomi: Vetenskap: Teknik: Veterinärverksamhet ,m
reklam_mark,TRUE,M73 Reklam Och Marknadsundersökningar ,m
reparationsverkstader_for,TRUE,S95 Reparationsverkstäder För Datorer: Hushållsartiklar Och Personliga Artiklar ,s
reparationsverkstader,TRUE,C33 Reparationsverkstäder Och Installationsföretag För Maskiner Och Apparater ,c
resebyraer,TRUE,N79 Resebyråer Och Researrangörer: Turistbyråer ,n
restaurang_cate,TRUE,I56 Restaurang-: Catering Och Barverksamhet ,i
serviceforetag_fin,TRUE,K66 Serviceföretag Till Finans- Och Försäkringsverksamhet ,k
serviceforetag_utv,TRUE,B09 Serviceföretag Till Utvinning ,b
rederier,TRUE,H50 Sjötransport ,h
skogsbruksforetag,TRUE,A02 Skogsbruk ,a
skogsbruksprodukter,TRUE,SPIN02 Skogsbruksprodukter Och Tjänster I Anslutning Till Skogsbruk ,other
smahus_l,TRUE,L68A Småhus ,l
sociala_oppe,TRUE,Q88 Sociala Öppenvårdsenheter: Socialkontor ,q
specialiserade_bygg,TRUE,F43 Specialiserade Bygg- Och Anläggningsverksamhet ,f
spel,TRUE,R92 Spel- Och Vadhållningsföretag ,r
sport_frit,TRUE,R93 Sport-: Fritids- Och Nöjesanläggningar ,r
statliga_mynd,TRUE,Y0135 Statliga Myndigheter Och Sociala Trygghetsfonder ,other
metaller,TRUE,C24 Stål- och metallframställning ,c
stal_met_c,TRUE,C24-C25 Stål- Och Metallframställning: Metallvarutillverkning ,c
foretag_for_bev,TRUE,N80 Säkerhets- och bevakningsverksamhet ,n
telekommunikation_j,TRUE,J61 Telekommunikation ,j
textil_bekl,TRUE,C13-C15 Textil-: Beklädnads-: Läder - Och Lädervaruindustri ,c
textilindustri,TRUE,C13 Textilindustri ,c
andra_tran,TRUE,C30 Tillverkning av andra Transportmedel ,c
industri_for_bas,TRUE,C20-C21 Tillverkning Av Kemikalier Och Kemiska Produkter: Farmaceutiska Basprodukter Och Läkemedel ,c
bekladnadsindustri,TRUE,C14 Tillverkning av kläder ,c
transportmedelsindustri,TRUE,C29-C30 Tillverkning av motorfordon och andra transportmedel ,c
tillverkning_mob,TRUE,C31-C32 Tillverkning Av Möbler Och annan tillverkning ,c
tillv_el_mot,TRUE,C26-C30 Tillverkning: Datorer: Elektronik: Optik: Elapparatur: Övriga Maskiner: Motorfordon: Andra Transportmedel ,c
tillverkningsindustrin_c,TRUE,C10-C33 Tillverkningsindustri ,c
tobaksindustri,TRUE,C12 Tobaksindustri ,c
total_au,TRUE,A+U+US Total,other
totalt_tota,TRUE,Totalt,other
transport_mag,TRUE,H49-H53 Transport Och Magasinering ,h
transportforetag_g,TRUE,G06 Transportföretag ,g
transport_ind,TRUE,Transportindustri,other
industri_for_tra,TRUE,C16 Trä- Och Trävarutillverkning ,c
travaru_mass,TRUE,C16-C18 Trävaru-: Massa-: Pappers- Och Grafisk Industri ,c
utbildning,TRUE,P85 Utbildning  ,p
utbildning_halso,TRUE,P85-U99 Utbildning: Hälso- Och Sjukvård: Övriga Personliga Tjänster ,several
utbildning_halso_p,TRUE,P85-Q86 Utbildning: Hälso- Och Sjukvård ,several
uthyrning_avf,TRUE,N77-N82 Uthyrning Av Fastighetsservice: Resetjänster Och Andra Stödtjänster ,n
uthyrningsfirmor,TRUE,N77 Uthyrningsfirmor ,n
utvinning_min,TRUE,B05-B09 Utvinning Av Mineral ,b
tillverkning_utv,TRUE,B05-C33 Utvinning och Tillverkning ,several
tillverkning,TRUE,B05-E39 Utvinning: Tillverkning: el: gas värme och avlopp ,several
