lan,name
1,Stockholms län
2,Uppsala län
3,Södermanlands län
4,Östergötlands län
5,Jönköpings län
6,Kronobergs län
7,Kalmar län
8,Gotlands län
9,Blekinge län
10,Skåne län
11,Hallands län
12,Västra Götalands län
13,Värmlands län
14,Örebro län
15,Västmanlands län
16,Dalarnas län
17,Gävleborgs län
18,Västernorrlands län
19,Jämtlands län
20,Västerbottens län
21,Norrbottens län
22,Extra-region
23,Riket
