sni_id,year,reg_foradl_ber_lop
el_gas,2000,43614.0482689269
el_gas,2001,52937.1344886502
el_gas,2002,53864.2556336074
el_gas,2003,58616.6013706608
el_gas,2004,68455.4858160209
el_gas,2005,71497.505361284
el_gas,2006,74013.9385625409
el_gas,2007,73556.3931053352
el_gas,2008,92291.5472470037
el_gas,2009,90153.4205643064
el_gas,2010,101450.386563988
el_gas,2011,99042.8205719557
el_gas,2012,99415.3545082137
el_gas,2013,95623.412531579
el_gas,2014,96476.5054642919
el_gas,2015,89721.6445814208
el_gas,2016,89524.1922141119
el_gas,2017,93265.5849543811
el_gas,2018,92824.7771411908
el_gas,2019,108458.065893344
el_gas,2020,101114.113156029
el_gas,2021,125092.428337882
el_gas,2022,190253.022602489
el_gas,2023,
