sni_id,year,utsl_kilo_tonne
industri_for_sten,2008,3076.69069992065
industri_for_sten,2009,3075.57967890292
industri_for_sten,2010,2977.02436141773
industri_for_sten,2011,2840.43103158551
industri_for_sten,2012,3046.25895778403
industri_for_sten,2013,2597.74109308415
industri_for_sten,2014,2825.90477693526
industri_for_sten,2015,2840.33823063918
industri_for_sten,2016,2620.23471879786
industri_for_sten,2017,2757.94491025553
industri_for_sten,2018,2848.28520361408
industri_for_sten,2019,2213.9926104779
industri_for_sten,2020,
industri_for_sten,2021,
industri_for_sten,2022,
industri_for_sten,2023,
industri_for_bas,2000,
industri_for_bas,2001,
industri_for_bas,2002,
industri_for_bas,2003,
industri_for_bas,2004,
industri_for_bas,2005,
industri_for_bas,2006,
industri_for_bas,2007,
industri_for_bas,2008,1478.79137543994
industri_for_bas,2009,1314.70183806899
industri_for_bas,2010,1514.13579948831
industri_for_bas,2011,1256.62236477309
industri_for_bas,2012,1287.95247190239
industri_for_bas,2013,1313.8984237843
industri_for_bas,2014,1252.95504753672
industri_for_bas,2015,1262.89064627346
industri_for_bas,2016,1300.46082602325
industri_for_bas,2017,1287.00979068726
industri_for_bas,2018,1321.10032817126
industri_for_bas,2019,1300.08401215258
industri_for_bas,2020,
industri_for_bas,2021,
industri_for_bas,2022,
industri_for_bas,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,
gummi,2007,
gummi,2008,154.33457522366
gummi,2009,141.241697679996
gummi,2010,173.133861153227
gummi,2011,146.593229911514
gummi,2012,121.746901409986
gummi,2013,112.189085256893
gummi,2014,99.4951455170382
gummi,2015,101.049104201082
gummi,2016,101.985258019064
gummi,2017,91.6400516207644
gummi,2018,89.5663646051393
gummi,2019,87.7804530022963
gummi,2020,
gummi,2021,
gummi,2022,
gummi,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,
icke_met_andra,2007,
icke_met_andra,2008,2786.02748913419
icke_met_andra,2009,2373.57501889868
icke_met_andra,2010,2558.86218481776
icke_met_andra,2011,2574.66096134602
icke_met_andra,2012,2506.70422916373
icke_met_andra,2013,2204.84097195166
icke_met_andra,2014,2267.71854855738
icke_met_andra,2015,2322.19679830583
icke_met_andra,2016,2333.31850079953
icke_met_andra,2017,2378.9355742596
icke_met_andra,2018,2417.18804100279
icke_met_andra,2019,2106.04905199861
icke_met_andra,2020,
icke_met_andra,2021,
icke_met_andra,2022,
icke_met_andra,2023,
metaller,2000,
metaller,2001,
metaller,2002,
metaller,2003,
metaller,2004,
metaller,2005,
metaller,2006,
metaller,2007,
metaller,2008,5514.00320959673
metaller,2009,3050.49588391463
metaller,2010,5222.77442460595
metaller,2011,4915.08085390183
metaller,2012,4149.63051848355
metaller,2013,4180.60915615669
metaller,2014,4146.58620795625
metaller,2015,4330.70728309213
metaller,2016,4316.60127681125
metaller,2017,4347.83977851074
metaller,2018,4094.90790321226
metaller,2019,5191.18079761131
metaller,2020,
metaller,2021,
metaller,2022,
metaller,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,
industri_for_met,2007,
industri_for_met,2008,364.543981164755
industri_for_met,2009,268.70899715576
industri_for_met,2010,293.844037354184
industri_for_met,2011,270.978155930244
industri_for_met,2012,255.358789149088
industri_for_met,2013,261.937395078085
industri_for_met,2014,303.725273682478
industri_for_met,2015,287.366154936893
industri_for_met,2016,285.123653905979
industri_for_met,2017,298.592300767326
industri_for_met,2018,271.407708922543
industri_for_met,2019,304.367311360162
industri_for_met,2020,
industri_for_met,2021,
industri_for_met,2022,
industri_for_met,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,
datorer_elek,2007,
datorer_elek,2008,21.7525474546384
datorer_elek,2009,17.1131428881837
datorer_elek,2010,17.0899201467074
datorer_elek,2011,11.1940006940916
datorer_elek,2012,9.94196843367641
datorer_elek,2013,11.2842775550793
datorer_elek,2014,13.8416160420564
datorer_elek,2015,21.6889674300029
datorer_elek,2016,25.81423274569
datorer_elek,2017,21.9310096378841
datorer_elek,2018,23.6751601193568
datorer_elek,2019,26.5331510932897
datorer_elek,2020,
datorer_elek,2021,
datorer_elek,2022,
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,
elapparatur,2007,
elapparatur,2008,53.1052310076428
elapparatur,2009,59.0051464357658
elapparatur,2010,63.0783258143575
elapparatur,2011,40.423461042763
elapparatur,2012,36.0521501885671
elapparatur,2013,33.5396115857299
elapparatur,2014,28.7079546803654
elapparatur,2015,30.3643553733153
elapparatur,2016,31.3178992369697
elapparatur,2017,26.1390057115743
elapparatur,2018,25.7087147509462
elapparatur,2019,23.6461663061607
elapparatur,2020,
elapparatur,2021,
elapparatur,2022,
elapparatur,2023,
ovrig_mask,2000,
ovrig_mask,2001,
ovrig_mask,2002,
ovrig_mask,2003,
ovrig_mask,2004,
ovrig_mask,2005,
ovrig_mask,2006,
ovrig_mask,2007,
ovrig_mask,2008,226.026501751535
ovrig_mask,2009,175.472850090774
ovrig_mask,2010,194.858171638625
ovrig_mask,2011,165.580676757504
ovrig_mask,2012,159.505886768254
ovrig_mask,2013,149.65208442399
ovrig_mask,2014,158.822672791825
ovrig_mask,2015,160.950958871997
ovrig_mask,2016,148.583352496023
ovrig_mask,2017,139.911511818317
ovrig_mask,2018,136.956240669483
ovrig_mask,2019,111.358892971082
ovrig_mask,2020,
ovrig_mask,2021,
ovrig_mask,2022,
ovrig_mask,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,
industri_for_mot,2007,
industri_for_mot,2008,199.811747447954
industri_for_mot,2009,141.132727029571
industri_for_mot,2010,177.266618313954
industri_for_mot,2011,162.535747637903
industri_for_mot,2012,159.723643931101
industri_for_mot,2013,160.90092908185
industri_for_mot,2014,127.753746414151
industri_for_mot,2015,128.489262199585
industri_for_mot,2016,105.252603100047
industri_for_mot,2017,132.861801858459
industri_for_mot,2018,132.665667792411
industri_for_mot,2019,121.05253047351
industri_for_mot,2020,
industri_for_mot,2021,
industri_for_mot,2022,
industri_for_mot,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,
andra_tran,2007,
andra_tran,2008,75.0115005708358
andra_tran,2009,107.427266553524
andra_tran,2010,46.1483944187403
andra_tran,2011,32.7775423971306
andra_tran,2012,32.9159448413105
andra_tran,2013,12.0910314486931
andra_tran,2014,13.5428264718233
andra_tran,2015,11.4685750351763
andra_tran,2016,12.2213007049215
andra_tran,2017,10.3634874463367
andra_tran,2018,10.8136925296641
andra_tran,2019,11.5279085835396
andra_tran,2020,
andra_tran,2021,
andra_tran,2022,
andra_tran,2023,
tillverkning_mob,2000,
tillverkning_mob,2001,
tillverkning_mob,2002,
tillverkning_mob,2003,
tillverkning_mob,2004,
tillverkning_mob,2005,
tillverkning_mob,2006,
tillverkning_mob,2007,
tillverkning_mob,2008,73.6832457236741
tillverkning_mob,2009,61.5229755880869
tillverkning_mob,2010,70.8398459811432
tillverkning_mob,2011,68.2830239664662
tillverkning_mob,2012,61.1376384227837
tillverkning_mob,2013,59.42672985548
tillverkning_mob,2014,53.4696685767457
tillverkning_mob,2015,48.7055229238321
tillverkning_mob,2016,44.9145044301213
tillverkning_mob,2017,42.8301774000026
tillverkning_mob,2018,39.2849736943963
tillverkning_mob,2019,43.5553897469643
tillverkning_mob,2020,
tillverkning_mob,2021,
tillverkning_mob,2022,
tillverkning_mob,2023,
reparationsverkstader,2000,
reparationsverkstader,2001,
reparationsverkstader,2002,
reparationsverkstader,2003,
reparationsverkstader,2004,
reparationsverkstader,2005,
reparationsverkstader,2006,
reparationsverkstader,2007,
reparationsverkstader,2008,111.577199739535
reparationsverkstader,2009,113.435235366334
reparationsverkstader,2010,126.666853821295
reparationsverkstader,2011,131.22265975952
reparationsverkstader,2012,116.391524213134
reparationsverkstader,2013,124.818444198646
reparationsverkstader,2014,123.900725356855
reparationsverkstader,2015,184.550006423015
reparationsverkstader,2016,202.548795346949
reparationsverkstader,2017,169.877084000497
reparationsverkstader,2018,154.971016524226
reparationsverkstader,2019,161.843692071781
reparationsverkstader,2020,
reparationsverkstader,2021,
reparationsverkstader,2022,
reparationsverkstader,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,7421.06015332893
el_gas,2009,7404.28667337353
el_gas,2010,9815.0609044368
el_gas,2011,7683.57742982364
el_gas,2012,6880.56110504493
el_gas,2013,6877.89044818374
el_gas,2014,5834.1278598683
el_gas,2015,5274.60105041305
el_gas,2016,5361.26410743525
el_gas,2017,5079.79800377751
el_gas,2018,5243.62258123845
el_gas,2019,4437.64177705507
el_gas,2020,
el_gas,2021,
el_gas,2022,
el_gas,2023,
vattenforsorjning_avlo,2000,
vattenforsorjning_avlo,2001,
vattenforsorjning_avlo,2002,
vattenforsorjning_avlo,2003,
vattenforsorjning_avlo,2004,
vattenforsorjning_avlo,2005,
vattenforsorjning_avlo,2006,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,2788.87017240703
vattenforsorjning_avlo,2009,2792.38022815408
vattenforsorjning_avlo,2010,2857.92567541939
vattenforsorjning_avlo,2011,2685.99679808462
vattenforsorjning_avlo,2012,2614.07650406371
vattenforsorjning_avlo,2013,2183.68517214371
vattenforsorjning_avlo,2014,2180.51371947977
vattenforsorjning_avlo,2015,1986.31031381337
vattenforsorjning_avlo,2016,1851.53653598881
vattenforsorjning_avlo,2017,1940.23368288816
vattenforsorjning_avlo,2018,1739.82549507021
vattenforsorjning_avlo,2019,1616.72267185609
vattenforsorjning_avlo,2020,
vattenforsorjning_avlo,2021,
vattenforsorjning_avlo,2022,
vattenforsorjning_avlo,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,2370.20177253029
bygg,2009,2251.23629664305
bygg,2010,2431.72098637628
bygg,2011,2495.59331329992
bygg,2012,2577.81757685266
bygg,2013,2560.01349715531
bygg,2014,2332.37459399111
bygg,2015,3226.22678901488
bygg,2016,3378.182515962
bygg,2017,3039.24883987559
bygg,2018,3159.72099982424
bygg,2019,2872.95178361033
bygg,2020,
bygg,2021,
bygg,2022,
bygg,2023,
hand_g,2000,
hand_g,2001,
hand_g,2002,
hand_g,2003,
hand_g,2004,
hand_g,2005,
hand_g,2006,
hand_g,2007,
hand_g,2008,2360.04918286507
hand_g,2009,2165.25668000766
hand_g,2010,2261.32404771998
hand_g,2011,2241.83055364674
hand_g,2012,2062.28762526165
hand_g,2013,2084.7973297973
hand_g,2014,1962.58908929727
hand_g,2015,2690.91074616577
hand_g,2016,2641.97447531511
hand_g,2017,2597.08256369242
hand_g,2018,2610.15602785846
hand_g,2019,2589.70832516769
hand_g,2020,
hand_g,2021,
hand_g,2022,
hand_g,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,
landtransportforetag_rort,2004,
landtransportforetag_rort,2005,
landtransportforetag_rort,2006,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,3250.20024115711
landtransportforetag_rort,2009,2927.40579640997
landtransportforetag_rort,2010,3167.7175187113
landtransportforetag_rort,2011,3147.95838543537
landtransportforetag_rort,2012,2756.80973015133
landtransportforetag_rort,2013,2621.98915169839
landtransportforetag_rort,2014,2459.46982079598
landtransportforetag_rort,2015,2399.46994122095
landtransportforetag_rort,2016,2155.54593837834
landtransportforetag_rort,2017,2015.16638475201
landtransportforetag_rort,2018,1914.06811423551
landtransportforetag_rort,2019,1853.96955624747
landtransportforetag_rort,2020,
landtransportforetag_rort,2021,
landtransportforetag_rort,2022,
landtransportforetag_rort,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,
rederier,2004,
rederier,2005,
rederier,2006,
rederier,2007,
