sni_id,year,ant_forv_tot_reg
kulturella,2018,214640
kulturella,2019,230989
kulturella,2020,219692
kulturella,2021,228489
kulturella,2022,234350
kulturella,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,
offentlig_forv,2007,
offentlig_forv,2008,239555
offentlig_forv,2009,240410
offentlig_forv,2010,246125
offentlig_forv,2011,252282
offentlig_forv,2012,256390
offentlig_forv,2013,264245
offentlig_forv,2014,267784
offentlig_forv,2015,271747
offentlig_forv,2016,282302
offentlig_forv,2017,293087
offentlig_forv,2018,305145
offentlig_forv,2019,304473
offentlig_forv,2020,321152
offentlig_forv,2021,326858
offentlig_forv,2022,334805
offentlig_forv,2023,
bransch_ospe,2000,
bransch_ospe,2001,
bransch_ospe,2002,
bransch_ospe,2003,
bransch_ospe,2004,
bransch_ospe,2005,
bransch_ospe,2006,
bransch_ospe,2007,
bransch_ospe,2008,50674
bransch_ospe,2009,45895
bransch_ospe,2010,47591
bransch_ospe,2011,52541
bransch_ospe,2012,52932
bransch_ospe,2013,52917
bransch_ospe,2014,53728
bransch_ospe,2015,53067
bransch_ospe,2016,50073
bransch_ospe,2017,52831
bransch_ospe,2018,51171
bransch_ospe,2019,63337
bransch_ospe,2020,68834
bransch_ospe,2021,67567
bransch_ospe,2022,66918
bransch_ospe,2023,
tillverkning_utv,2000,
tillverkning_utv,2001,
tillverkning_utv,2002,
tillverkning_utv,2003,
tillverkning_utv,2004,
tillverkning_utv,2005,
tillverkning_utv,2006,
tillverkning_utv,2007,
tillverkning_utv,2008,664923
tillverkning_utv,2009,595211
tillverkning_utv,2010,595113
tillverkning_utv,2011,603069
tillverkning_utv,2012,590135
tillverkning_utv,2013,573345
tillverkning_utv,2014,564335
tillverkning_utv,2015,560475
tillverkning_utv,2016,548773
tillverkning_utv,2017,551353
tillverkning_utv,2018,559267
tillverkning_utv,2019,547779
tillverkning_utv,2020,538047
tillverkning_utv,2021,549523
tillverkning_utv,2022,559973
tillverkning_utv,2023,
total_au,2000,
total_au,2001,
total_au,2002,
total_au,2003,
total_au,2004,
total_au,2005,
total_au,2006,
total_au,2007,
total_au,2008,1054255
total_au,2009,1043367
total_au,2010,1077416
total_au,2011,1105934
total_au,2012,1134570
total_au,2013,1152701
total_au,2014,1171245
total_au,2015,1196958
total_au,2016,1225319
total_au,2017,1249775
total_au,2018,1265801
total_au,2019,1288750
total_au,2020,1272418
total_au,2021,1315862
total_au,2022,1359126
total_au,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,
totalt_tota,2004,
totalt_tota,2005,
totalt_tota,2006,
totalt_tota,2007,
totalt_tota,2008,3352534
totalt_tota,2009,3237376
totalt_tota,2010,3315304
totalt_tota,2011,3399666
totalt_tota,2012,3432930
totalt_tota,2013,3457503
totalt_tota,2014,3476069
totalt_tota,2015,3528387
totalt_tota,2016,3603006
totalt_tota,2017,3665118
totalt_tota,2018,3706118
totalt_tota,2019,3766143
totalt_tota,2020,3720887
totalt_tota,2021,3814445
totalt_tota,2022,3892693
totalt_tota,2023,
transport_mag,2000,
transport_mag,2001,
transport_mag,2002,
transport_mag,2003,
transport_mag,2004,
transport_mag,2005,
transport_mag,2006,
transport_mag,2007,
transport_mag,2008,227321
transport_mag,2009,218587
transport_mag,2010,222647
transport_mag,2011,226164
transport_mag,2012,225981
transport_mag,2013,226939
transport_mag,2014,224906
transport_mag,2015,224663
transport_mag,2016,226315
transport_mag,2017,229479
transport_mag,2018,233920
transport_mag,2019,236025
transport_mag,2020,225237
transport_mag,2021,230384
transport_mag,2022,229412
transport_mag,2023,
utbildning,2000,
utbildning,2001,
utbildning,2002,
utbildning,2003,
utbildning,2004,
utbildning,2005,
utbildning,2006,
utbildning,2007,
utbildning,2008,450755
utbildning,2009,445480
utbildning,2010,461495
utbildning,2011,466846
utbildning,2012,474232
utbildning,2013,481364
utbildning,2014,488041
utbildning,2015,498757
utbildning,2016,521063
utbildning,2017,534694
utbildning,2018,540718
utbildning,2019,552794
utbildning,2020,543869
utbildning,2021,548205
utbildning,2022,551465
utbildning,2023,
vard_om,2000,
vard_om,2001,
vard_om,2002,
vard_om,2003,
vard_om,2004,
vard_om,2005,
vard_om,2006,
vard_om,2007,
vard_om,2008,704889
vard_om,2009,700182
vard_om,2010,714597
vard_om,2011,719155
vard_om,2012,734689
vard_om,2013,748992
vard_om,2014,764071
vard_om,2015,786549
vard_om,2016,812045
vard_om,2017,812138
vard_om,2018,806629
vard_om,2019,814699
vard_om,2020,806496
vard_om,2021,819517
vard_om,2022,821806
vard_om,2023,
