sni_id,year,res_rakn
arkitekt,2013,
arkitekt,2014,12478
arkitekt,2015,18974
arkitekt,2016,24317
arkitekt,2017,23163
arkitekt,2018,20931
arkitekt,2019,20497
arkitekt,2020,13524
arkitekt,2021,7560
arkitekt,2022,7106
arkitekt,2023,
avfallshantering_ater,2000,
avfallshantering_ater,2001,
avfallshantering_ater,2002,
avfallshantering_ater,2003,
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,
avfallshantering_ater,2007,
avfallshantering_ater,2008,977
avfallshantering_ater,2009,1548
avfallshantering_ater,2010,1167
avfallshantering_ater,2011,1214
avfallshantering_ater,2012,777
avfallshantering_ater,2013,1107
avfallshantering_ater,2014,1004
avfallshantering_ater,2015,746
avfallshantering_ater,2016,1665
avfallshantering_ater,2017,867
avfallshantering_ater,2018,1529
avfallshantering_ater,2019,1126
avfallshantering_ater,2020,790
avfallshantering_ater,2021,811
avfallshantering_ater,2022,3314
avfallshantering_ater,2023,
bekladnadsindustri,2000,
bekladnadsindustri,2001,
bekladnadsindustri,2002,
bekladnadsindustri,2003,
bekladnadsindustri,2004,
bekladnadsindustri,2005,
bekladnadsindustri,2006,
bekladnadsindustri,2007,
bekladnadsindustri,2008,-404
bekladnadsindustri,2009,-158
bekladnadsindustri,2010,182
bekladnadsindustri,2011,149
bekladnadsindustri,2012,465
bekladnadsindustri,2013,240
bekladnadsindustri,2014,181
bekladnadsindustri,2015,210
bekladnadsindustri,2016,196
bekladnadsindustri,2017,405
bekladnadsindustri,2018,160
bekladnadsindustri,2019,153
bekladnadsindustri,2020,77
bekladnadsindustri,2021,128
bekladnadsindustri,2022,22
bekladnadsindustri,2023,
bibliotek_arki,2000,
bibliotek_arki,2001,
bibliotek_arki,2002,
bibliotek_arki,2003,
bibliotek_arki,2004,
bibliotek_arki,2005,
bibliotek_arki,2006,
bibliotek_arki,2007,
bibliotek_arki,2008,-2
bibliotek_arki,2009,-16
bibliotek_arki,2010,25
bibliotek_arki,2011,34
bibliotek_arki,2012,10
bibliotek_arki,2013,44
bibliotek_arki,2014,185
bibliotek_arki,2015,135
bibliotek_arki,2016,-46
bibliotek_arki,2017,170
bibliotek_arki,2018,46
bibliotek_arki,2019,86
bibliotek_arki,2020,-127
bibliotek_arki,2021,103
bibliotek_arki,2022,6
bibliotek_arki,2023,
byggentreprenorer,2000,
byggentreprenorer,2001,
byggentreprenorer,2002,
byggentreprenorer,2003,
byggentreprenorer,2004,
byggentreprenorer,2005,
byggentreprenorer,2006,
byggentreprenorer,2007,
byggentreprenorer,2008,11955
byggentreprenorer,2009,21509
byggentreprenorer,2010,19138
byggentreprenorer,2011,19135
byggentreprenorer,2012,15155
byggentreprenorer,2013,15098
byggentreprenorer,2014,16753
byggentreprenorer,2015,20961
byggentreprenorer,2016,28891
byggentreprenorer,2017,33173
byggentreprenorer,2018,31199
byggentreprenorer,2019,27661
byggentreprenorer,2020,29336
byggentreprenorer,2021,50536
byggentreprenorer,2022,19421
byggentreprenorer,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,
detaljhandel_ut_mot,2004,
detaljhandel_ut_mot,2005,
detaljhandel_ut_mot,2006,
detaljhandel_ut_mot,2007,
detaljhandel_ut_mot,2008,28295
detaljhandel_ut_mot,2009,28119
detaljhandel_ut_mot,2010,36152
detaljhandel_ut_mot,2011,34247
detaljhandel_ut_mot,2012,32737
detaljhandel_ut_mot,2013,39123
detaljhandel_ut_mot,2014,43263
detaljhandel_ut_mot,2015,47298
detaljhandel_ut_mot,2016,51168
detaljhandel_ut_mot,2017,31880
detaljhandel_ut_mot,2018,36257
detaljhandel_ut_mot,2019,35526
detaljhandel_ut_mot,2020,29708
detaljhandel_ut_mot,2021,42363
detaljhandel_ut_mot,2022,10653
detaljhandel_ut_mot,2023,
dryckesvaru,2000,
dryckesvaru,2001,
dryckesvaru,2002,
dryckesvaru,2003,
dryckesvaru,2004,
dryckesvaru,2005,
dryckesvaru,2006,
dryckesvaru,2007,
dryckesvaru,2008,47039
dryckesvaru,2009,7031
dryckesvaru,2010,7086
dryckesvaru,2011,4100
dryckesvaru,2012,15693
dryckesvaru,2013,2769
dryckesvaru,2014,3574
dryckesvaru,2015,-4913
dryckesvaru,2016,4126
dryckesvaru,2017,15501
dryckesvaru,2018,6978
dryckesvaru,2019,6844
dryckesvaru,2020,6894
dryckesvaru,2021,6525
dryckesvaru,2022,-8219
dryckesvaru,2023,
drycker,2000,
drycker,2001,
drycker,2002,
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,
drycker,2007,
drycker,2008,
drycker,2009,
drycker,2010,
drycker,2011,
drycker,2012,
drycker,2013,
drycker,2014,
drycker,2015,
drycker,2016,
drycker,2017,6408
drycker,2018,4287
drycker,2019,4304
drycker,2020,1496
drycker,2021,521
drycker,2022,-12818
drycker,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,102746
el_gas,2009,40320
el_gas,2010,42901
el_gas,2011,44430
el_gas,2012,14046
el_gas,2013,8637
el_gas,2014,7906
el_gas,2015,96371
el_gas,2016,-808
el_gas,2017,15075
el_gas,2018,13684
el_gas,2019,29734
el_gas,2020,14529
el_gas,2021,49545
el_gas,2022,-6570
el_gas,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,
halso,2004,
halso,2005,
halso,2006,
halso,2007,
halso,2008,4866
halso,2009,5846
halso,2010,9044
halso,2011,9649
halso,2012,4294
halso,2013,3678
halso,2014,7278
halso,2015,9181
halso,2016,8942
halso,2017,8785
halso,2018,8485
halso,2019,9671
halso,2020,10449
halso,2021,14880
halso,2022,7701
halso,2023,
enheter_for_konst,2000,
enheter_for_konst,2001,
enheter_for_konst,2002,
enheter_for_konst,2003,
enheter_for_konst,2004,
enheter_for_konst,2005,
enheter_for_konst,2006,
enheter_for_konst,2007,
enheter_for_konst,2008,2706
enheter_for_konst,2009,2698
enheter_for_konst,2010,4421
enheter_for_konst,2011,3234
enheter_for_konst,2012,3397
enheter_for_konst,2013,3594
enheter_for_konst,2014,3690
enheter_for_konst,2015,4164
enheter_for_konst,2016,4356
enheter_for_konst,2017,4679
enheter_for_konst,2018,5059
enheter_for_konst,2019,5175
enheter_for_konst,2020,4333
enheter_for_konst,2021,6467
enheter_for_konst,2022,5453
enheter_for_konst,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,15200
fastighetsbolag_g,2009,41464
fastighetsbolag_g,2010,67328
fastighetsbolag_g,2011,66205
fastighetsbolag_g,2012,62419
fastighetsbolag_g,2013,74498
fastighetsbolag_g,2014,87892
fastighetsbolag_g,2015,116160
fastighetsbolag_g,2016,130753
fastighetsbolag_g,2017,135012
fastighetsbolag_g,2018,143042
fastighetsbolag_g,2019,164435
fastighetsbolag_g,2020,161994
fastighetsbolag_g,2021,275824
fastighetsbolag_g,2022,50515
fastighetsbolag_g,2023,
film_vide,2000,
film_vide,2001,
film_vide,2002,
film_vide,2003,
film_vide,2004,
film_vide,2005,
film_vide,2006,
film_vide,2007,
film_vide,2008,853
film_vide,2009,2847
film_vide,2010,2097
film_vide,2011,2413
film_vide,2012,1321
film_vide,2013,289
film_vide,2014,1717
film_vide,2015,2725
film_vide,2016,-746
film_vide,2017,5019
film_vide,2018,590
film_vide,2019,5414
film_vide,2020,1960
film_vide,2021,5799
film_vide,2022,2764
film_vide,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,
fisk,2007,
fisk,2008,275
fisk,2009,322
fisk,2010,442
fisk,2011,549
fisk,2012,328
fisk,2013,340
fisk,2014,386
fisk,2015,505
fisk,2016,558
fisk,2017,563
fisk,2018,457
fisk,2019,500
fisk,2020,581
fisk,2021,949
fisk,2022,258
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,
flygbolag,2007,
flygbolag,2008,-7670
flygbolag,2009,-1676
flygbolag,2010,-1015
flygbolag,2011,-2085
flygbolag,2012,-2153
flygbolag,2013,-429
flygbolag,2014,50
flygbolag,2015,3431
flygbolag,2016,-1191
flygbolag,2017,580
flygbolag,2018,178
flygbolag,2019,-304
flygbolag,2020,-4615
flygbolag,2021,-3660
flygbolag,2022,-5525
flygbolag,2023,
forsknings,2000,
forsknings,2001,
forsknings,2002,
forsknings,2003,
forsknings,2004,
forsknings,2005,
forsknings,2006,
forsknings,2007,
forsknings,2008,
forsknings,2009,-8450
forsknings,2010,693
forsknings,2011,-6294
forsknings,2012,-8691
forsknings,2013,
forsknings,2014,-668
forsknings,2015,-124
forsknings,2016,-2985
forsknings,2017,-4015
forsknings,2018,-10872
forsknings,2019,4258
forsknings,2020,-3143
forsknings,2021,894
forsknings,2022,-10772
forsknings,2023,
foretag_for_bev,2000,
foretag_for_bev,2001,
foretag_for_bev,2002,
foretag_for_bev,2003,
foretag_for_bev,2004,
foretag_for_bev,2005,
foretag_for_bev,2006,
foretag_for_bev,2007,
foretag_for_bev,2008,7256
foretag_for_bev,2009,2050
foretag_for_bev,2010,2066
foretag_for_bev,2011,21077
foretag_for_bev,2012,2027
foretag_for_bev,2013,1762
foretag_for_bev,2014,1976
foretag_for_bev,2015,3323
foretag_for_bev,2016,5052
foretag_for_bev,2017,25210
foretag_for_bev,2018,7220
foretag_for_bev,2019,4344
foretag_for_bev,2020,29275
foretag_for_bev,2021,1334
foretag_for_bev,2022,1693
foretag_for_bev,2023,
foretag_for,2000,
foretag_for,2001,
foretag_for,2002,
foretag_for,2003,
foretag_for,2004,
foretag_for,2005,
foretag_for,2006,
foretag_for,2007,
foretag_for,2008,3174
foretag_for,2009,2126
foretag_for,2010,5944
foretag_for,2011,2860
foretag_for,2012,3410
foretag_for,2013,3749
foretag_for,2014,4662
foretag_for,2015,4457
foretag_for,2016,4827
foretag_for,2017,4897
foretag_for,2018,4636
foretag_for,2019,5723
foretag_for,2020,5599
foretag_for,2021,11708
foretag_for,2022,6469
foretag_for,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,
forlag,2007,
forlag,2008,11353
forlag,2009,2304
forlag,2010,3763
forlag,2011,1399
forlag,2012,4111
forlag,2013,4783
forlag,2014,21446
forlag,2015,6668
forlag,2016,10903
forlag,2017,7008
forlag,2018,4360
forlag,2019,3715
forlag,2020,15042
forlag,2021,12085
forlag,2022,15748
forlag,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,
grafisk,2007,
grafisk,2008,-120
grafisk,2009,269
grafisk,2010,1087
grafisk,2011,801
grafisk,2012,527
grafisk,2013,1050
grafisk,2014,3778
grafisk,2015,789
grafisk,2016,631
grafisk,2017,917
grafisk,2018,578
grafisk,2019,485
grafisk,2020,801
grafisk,2021,1265
grafisk,2022,1189
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,
gummi,2007,
gummi,2008,219
gummi,2009,1476
gummi,2010,4309
gummi,2011,4486
gummi,2012,1801
gummi,2013,727
gummi,2014,83
gummi,2015,5420
gummi,2016,10928
gummi,2017,4645
gummi,2018,7848
gummi,2019,6913
gummi,2020,4022
gummi,2021,12114
gummi,2022,9745
gummi,2023,
handel_med,2000,
handel_med,2001,
handel_med,2002,
handel_med,2003,
handel_med,2004,
handel_med,2005,
handel_med,2006,
handel_med,2007,
handel_med,2008,4402
handel_med,2009,6586
handel_med,2010,11806
handel_med,2011,10085
handel_med,2012,6433
handel_med,2013,6873
handel_med,2014,9440
handel_med,2015,28334
handel_med,2016,15175
handel_med,2017,14140
handel_med,2018,12316
handel_med,2019,14511
handel_med,2020,14726
handel_med,2021,23150
handel_med,2022,15570
handel_med,2023,
hotell_logi,2000,
hotell_logi,2001,
hotell_logi,2002,
hotell_logi,2003,
hotell_logi,2004,
hotell_logi,2005,
hotell_logi,2006,
hotell_logi,2007,
hotell_logi,2008,1419
hotell_logi,2009,320
hotell_logi,2010,1157
hotell_logi,2011,1528
hotell_logi,2012,666
hotell_logi,2013,105
hotell_logi,2014,1432
hotell_logi,2015,4780
hotell_logi,2016,4791
hotell_logi,2017,4188
hotell_logi,2018,4017
hotell_logi,2019,3047
