sni_id,gender,year,ant_forv_tot_reg
jord_skog,1,2005,
jord_skog,1,2006,
jord_skog,1,2007,
jord_skog,1,2008,14959
jord_skog,1,2009,15526
jord_skog,1,2010,16632
jord_skog,1,2011,22952
jord_skog,1,2012,23418
jord_skog,1,2013,24156
jord_skog,1,2014,24281
jord_skog,1,2015,24191
jord_skog,1,2016,22423
jord_skog,1,2017,23831
jord_skog,1,2018,22539
jord_skog,1,2019,24165
jord_skog,1,2020,24793
jord_skog,1,2021,24420
jord_skog,1,2022,24530
jord_skog,1,2023,
kulturella,1,2000,
kulturella,1,2001,
kulturella,1,2002,
kulturella,1,2003,
kulturella,1,2004,
kulturella,1,2005,
kulturella,1,2006,
kulturella,1,2007,
kulturella,1,2008,105720
kulturella,1,2009,106896
kulturella,1,2010,109801
kulturella,1,2011,112192
kulturella,1,2012,115984
kulturella,1,2013,118978
kulturella,1,2014,120081
kulturella,1,2015,121430
kulturella,1,2016,122775
kulturella,1,2017,123505
kulturella,1,2018,124403
kulturella,1,2019,135218
kulturella,1,2020,128256
kulturella,1,2021,133656
kulturella,1,2022,137008
kulturella,1,2023,
offentlig_forv,1,2000,
offentlig_forv,1,2001,
offentlig_forv,1,2002,
offentlig_forv,1,2003,
offentlig_forv,1,2004,
offentlig_forv,1,2005,
offentlig_forv,1,2006,
offentlig_forv,1,2007,
offentlig_forv,1,2008,133897
offentlig_forv,1,2009,134859
offentlig_forv,1,2010,138553
offentlig_forv,1,2011,141299
offentlig_forv,1,2012,144470
offentlig_forv,1,2013,148744
offentlig_forv,1,2014,151498
offentlig_forv,1,2015,155161
offentlig_forv,1,2016,162257
offentlig_forv,1,2017,169434
offentlig_forv,1,2018,177024
offentlig_forv,1,2019,179091
offentlig_forv,1,2020,189971
offentlig_forv,1,2021,193852
offentlig_forv,1,2022,199500
offentlig_forv,1,2023,
bransch_ospe,1,2000,
bransch_ospe,1,2001,
bransch_ospe,1,2002,
bransch_ospe,1,2003,
bransch_ospe,1,2004,
bransch_ospe,1,2005,
bransch_ospe,1,2006,
bransch_ospe,1,2007,
bransch_ospe,1,2008,28500
bransch_ospe,1,2009,25715
bransch_ospe,1,2010,27622
bransch_ospe,1,2011,31005
bransch_ospe,1,2012,30973
bransch_ospe,1,2013,31286
bransch_ospe,1,2014,31489
bransch_ospe,1,2015,31310
bransch_ospe,1,2016,29989
bransch_ospe,1,2017,31080
bransch_ospe,1,2018,29922
bransch_ospe,1,2019,37592
bransch_ospe,1,2020,35480
bransch_ospe,1,2021,34933
bransch_ospe,1,2022,34431
bransch_ospe,1,2023,
tillverkning_utv,1,2000,
tillverkning_utv,1,2001,
tillverkning_utv,1,2002,
tillverkning_utv,1,2003,
tillverkning_utv,1,2004,
tillverkning_utv,1,2005,
tillverkning_utv,1,2006,
tillverkning_utv,1,2007,
tillverkning_utv,1,2008,160018
tillverkning_utv,1,2009,142463
tillverkning_utv,1,2010,142087
tillverkning_utv,1,2011,143337
tillverkning_utv,1,2012,140923
tillverkning_utv,1,2013,136569
tillverkning_utv,1,2014,134320
tillverkning_utv,1,2015,133089
tillverkning_utv,1,2016,130713
tillverkning_utv,1,2017,131019
tillverkning_utv,1,2018,133996
tillverkning_utv,1,2019,133619
tillverkning_utv,1,2020,131913
tillverkning_utv,1,2021,137369
tillverkning_utv,1,2022,141716
tillverkning_utv,1,2023,
total_au,1,2000,
total_au,1,2001,
total_au,1,2002,
total_au,1,2003,
total_au,1,2004,
total_au,1,2005,
total_au,1,2006,
total_au,1,2007,
total_au,1,2008,507115
total_au,1,2009,503141
total_au,1,2010,520194
total_au,1,2011,530302
total_au,1,2012,545242
total_au,1,2013,553249
total_au,1,2014,562327
total_au,1,2015,575426
total_au,1,2016,590044
total_au,1,2017,599851
total_au,1,2018,607204
total_au,1,2019,624215
total_au,1,2020,613434
total_au,1,2021,635769
total_au,1,2022,657463
total_au,1,2023,
totalt_tota,1,2000,
totalt_tota,1,2001,
totalt_tota,1,2002,
totalt_tota,1,2003,
totalt_tota,1,2004,
totalt_tota,1,2005,
totalt_tota,1,2006,
totalt_tota,1,2007,
totalt_tota,1,2008,1599270
totalt_tota,1,2009,1555880
totalt_tota,1,2010,1593771
totalt_tota,1,2011,1617701
totalt_tota,1,2012,1643319
totalt_tota,1,2013,1657462
totalt_tota,1,2014,1668021
totalt_tota,1,2015,1695134
totalt_tota,1,2016,1732853
totalt_tota,1,2017,1756279
totalt_tota,1,2018,1770169
totalt_tota,1,2019,1816978
totalt_tota,1,2020,1787637
totalt_tota,1,2021,1834625
totalt_tota,1,2022,1874157
totalt_tota,1,2023,
transport_mag,1,2000,
transport_mag,1,2001,
transport_mag,1,2002,
transport_mag,1,2003,
transport_mag,1,2004,
transport_mag,1,2005,
transport_mag,1,2006,
transport_mag,1,2007,
transport_mag,1,2008,52354
transport_mag,1,2009,49360
transport_mag,1,2010,49721
transport_mag,1,2011,50326
transport_mag,1,2012,49799
transport_mag,1,2013,49537
transport_mag,1,2014,48748
transport_mag,1,2015,48275
transport_mag,1,2016,48389
transport_mag,1,2017,49042
transport_mag,1,2018,50354
transport_mag,1,2019,50809
transport_mag,1,2020,48164
transport_mag,1,2021,49412
transport_mag,1,2022,49543
transport_mag,1,2023,
utbildning,1,2000,
utbildning,1,2001,
utbildning,1,2002,
utbildning,1,2003,
utbildning,1,2004,
utbildning,1,2005,
utbildning,1,2006,
utbildning,1,2007,
utbildning,1,2008,338973
utbildning,1,2009,333986
utbildning,1,2010,343899
utbildning,1,2011,348300
utbildning,1,2012,352892
utbildning,1,2013,357186
utbildning,1,2014,361699
utbildning,1,2015,369359
utbildning,1,2016,384600
utbildning,1,2017,394770
utbildning,1,2018,399479
utbildning,1,2019,409508
utbildning,1,2020,402248
utbildning,1,2021,406835
utbildning,1,2022,410294
utbildning,1,2023,
vard_om,1,2000,
vard_om,1,2001,
vard_om,1,2002,
vard_om,1,2003,
vard_om,1,2004,
vard_om,1,2005,
vard_om,1,2006,
vard_om,1,2007,
vard_om,1,2008,586665
vard_om,1,2009,580225
vard_om,1,2010,591271
vard_om,1,2011,593109
vard_om,1,2012,603937
vard_om,1,2013,611986
vard_om,1,2014,621031
vard_om,1,2015,634257
vard_om,1,2016,648048
vard_om,1,2017,646250
vard_om,1,2018,640986
vard_om,1,2019,645103
vard_om,1,2020,634831
vard_om,1,2021,643187
vard_om,1,2022,643309
vard_om,1,2023,
bygg,2,2000,
bygg,2,2001,
bygg,2,2002,
bygg,2,2003,
bygg,2,2004,
bygg,2,2005,
bygg,2,2006,
bygg,2,2007,
bygg,2,2008,270627
bygg,2,2009,265795
bygg,2,2010,276407
bygg,2,2011,288364
bygg,2,2012,290823
bygg,2,2013,291344
bygg,2,2014,294733
bygg,2,2015,303933
bygg,2,2016,312829
bygg,2,2017,321710
bygg,2,2018,328787
bygg,2,2019,326968
bygg,2,2020,327839
bygg,2,2021,335080
bygg,2,2022,346093
bygg,2,2023,
el_gas_avl,2,2000,
el_gas_avl,2,2001,
el_gas_avl,2,2002,
el_gas_avl,2,2003,
el_gas_avl,2,2004,
el_gas_avl,2,2005,
el_gas_avl,2,2006,
