sni_id,lan,year,ant_kon
hotell_logi,2,2020,NA
hotell_logi,2,2021,NA
hotell_logi,2,2022,NA
hotell_logi,2,2023,NA
restaurang_cate,2,2009,14
restaurang_cate,2,2010,9
restaurang_cate,2,2011,17
restaurang_cate,2,2012,13
restaurang_cate,2,2013,17
restaurang_cate,2,2014,13
restaurang_cate,2,2015,13
restaurang_cate,2,2016,19
restaurang_cate,2,2017,21
restaurang_cate,2,2018,25
restaurang_cate,2,2019,15
restaurang_cate,2,2020,24
restaurang_cate,2,2021,15
restaurang_cate,2,2022,27
restaurang_cate,2,2023,40
information_komm,2,2009,5
information_komm,2,2010,9
information_komm,2,2011,4
information_komm,2,2012,7
information_komm,2,2013,9
information_komm,2,2014,6
information_komm,2,2015,11
information_komm,2,2016,4
information_komm,2,2017,6
information_komm,2,2018,10
information_komm,2,2019,16
information_komm,2,2020,18
information_komm,2,2021,14
information_komm,2,2022,8
information_komm,2,2023,16
finans_fast,2,2009,27
finans_fast,2,2010,27
finans_fast,2,2011,33
finans_fast,2,2012,49
finans_fast,2,2013,36
finans_fast,2,2014,32
finans_fast,2,2015,53
finans_fast,2,2016,35
finans_fast,2,2017,30
finans_fast,2,2018,33
finans_fast,2,2019,65
finans_fast,2,2020,45
finans_fast,2,2021,38
finans_fast,2,2022,41
finans_fast,2,2023,56
utbildning_halso,2,2009,9
utbildning_halso,2,2010,8
utbildning_halso,2,2011,11
utbildning_halso,2,2012,14
utbildning_halso,2,2013,17
utbildning_halso,2,2014,12
utbildning_halso,2,2015,13
utbildning_halso,2,2016,8
utbildning_halso,2,2017,13
utbildning_halso,2,2018,26
utbildning_halso,2,2019,27
utbildning_halso,2,2020,20
utbildning_halso,2,2021,22
utbildning_halso,2,2022,29
utbildning_halso,2,2023,31
bransch_ospe,2,2009,22
bransch_ospe,2,2010,30
bransch_ospe,2,2011,18
bransch_ospe,2,2012,20
bransch_ospe,2,2013,21
bransch_ospe,2,2014,14
bransch_ospe,2,2015,13
bransch_ospe,2,2016,10
bransch_ospe,2,2017,15
bransch_ospe,2,2018,30
bransch_ospe,2,2019,16
bransch_ospe,2,2020,9
bransch_ospe,2,2021,13
bransch_ospe,2,2022,14
bransch_ospe,2,2023,16
jord_skog,3,2009,NA
jord_skog,3,2010,NA
jord_skog,3,2011,4
jord_skog,3,2012,4
jord_skog,3,2013,NA
jord_skog,3,2014,NA
jord_skog,3,2015,NA
jord_skog,3,2016,NA
jord_skog,3,2017,3
jord_skog,3,2018,NA
jord_skog,3,2019,3
jord_skog,3,2020,NA
jord_skog,3,2021,3
jord_skog,3,2022,NA
jord_skog,3,2023,4
tillverkning,3,2009,24
tillverkning,3,2010,19
tillverkning,3,2011,10
tillverkning,3,2012,14
tillverkning,3,2013,15
tillverkning,3,2014,15
tillverkning,3,2015,10
tillverkning,3,2016,14
tillverkning,3,2017,9
tillverkning,3,2018,10
tillverkning,3,2019,13
tillverkning,3,2020,16
tillverkning,3,2021,17
tillverkning,3,2022,10
tillverkning,3,2023,17
bygg,3,2009,28
bygg,3,2010,41
bygg,3,2011,29
bygg,3,2012,26
bygg,3,2013,39
bygg,3,2014,32
bygg,3,2015,20
bygg,3,2016,28
bygg,3,2017,45
bygg,3,2018,38
bygg,3,2019,38
bygg,3,2020,31
bygg,3,2021,34
bygg,3,2022,38
bygg,3,2023,65
handel_med,3,2009,7
handel_med,3,2010,7
handel_med,3,2011,11
handel_med,3,2012,10
