sni_id,gender,year,forv_to
detaljhandel_ut_mot,1,2007,24
detaljhandel_ut_mot,1,2008,27
detaljhandel_ut_mot,1,2009,28
detaljhandel_ut_mot,1,2010,35
detaljhandel_ut_mot,1,2011,32
detaljhandel_ut_mot,1,2012,36
detaljhandel_ut_mot,1,2013,43
detaljhandel_ut_mot,1,2014,36
detaljhandel_ut_mot,1,2015,40
detaljhandel_ut_mot,1,2016,29
detaljhandel_ut_mot,1,2017,29
detaljhandel_ut_mot,1,2018,26
detaljhandel_ut_mot,1,2019,27
detaljhandel_ut_mot,1,2020,28
detaljhandel_ut_mot,1,2021,29
detaljhandel_ut_mot,1,2022,
detaljhandel_ut_mot,1,2023,
el_gas,1,2000,
el_gas,1,2001,
el_gas,1,2002,
el_gas,1,2003,1251
el_gas,1,2004,1519
el_gas,1,2005,1448
el_gas,1,2006,1497
el_gas,1,2007,1499
el_gas,1,2008,1571
el_gas,1,2009,1645
el_gas,1,2010,1605
el_gas,1,2011,2374
el_gas,1,2012,2923
el_gas,1,2013,2690
el_gas,1,2014,2901
el_gas,1,2015,2843
el_gas,1,2016,2952
el_gas,1,2017,3156
el_gas,1,2018,3004
el_gas,1,2019,3252
el_gas,1,2020,3332
el_gas,1,2021,3280
el_gas,1,2022,
el_gas,1,2023,
fastighetsbolag_g,1,2000,
fastighetsbolag_g,1,2001,
fastighetsbolag_g,1,2002,
fastighetsbolag_g,1,2003,89
fastighetsbolag_g,1,2004,93
fastighetsbolag_g,1,2005,78
fastighetsbolag_g,1,2006,32
fastighetsbolag_g,1,2007,10
fastighetsbolag_g,1,2008,8
fastighetsbolag_g,1,2009,8
fastighetsbolag_g,1,2010,8
fastighetsbolag_g,1,2011,18
fastighetsbolag_g,1,2012,16
fastighetsbolag_g,1,2013,14
fastighetsbolag_g,1,2014,18
fastighetsbolag_g,1,2015,19
fastighetsbolag_g,1,2016,23
fastighetsbolag_g,1,2017,19
fastighetsbolag_g,1,2018,23
fastighetsbolag_g,1,2019,21
fastighetsbolag_g,1,2020,9
fastighetsbolag_g,1,2021,13
fastighetsbolag_g,1,2022,
fastighetsbolag_g,1,2023,
