sni_id,lan,year,ant_ans_kon
bransch_ospe,1,2020,6
bransch_ospe,1,2021,1
bransch_ospe,1,2022,1
bransch_ospe,1,2023,0
jord_skog,2,2009,NA
jord_skog,2,2010,NA
jord_skog,2,2011,3
jord_skog,2,2012,NA
jord_skog,2,2013,NA
jord_skog,2,2014,NA
jord_skog,2,2015,NA
jord_skog,2,2016,NA
jord_skog,2,2017,11
jord_skog,2,2018,0
jord_skog,2,2019,NA
jord_skog,2,2020,NA
jord_skog,2,2021,1
jord_skog,2,2022,NA
jord_skog,2,2023,0
tillverkning,2,2009,40
tillverkning,2,2010,17
tillverkning,2,2011,49
tillverkning,2,2012,213
tillverkning,2,2013,81
tillverkning,2,2014,NA
tillverkning,2,2015,128
tillverkning,2,2016,26
tillverkning,2,2017,17
tillverkning,2,2018,11
tillverkning,2,2019,8
tillverkning,2,2020,31
tillverkning,2,2021,3
tillverkning,2,2022,14
tillverkning,2,2023,65
bygg,2,2009,92
bygg,2,2010,178
bygg,2,2011,50
bygg,2,2012,197
bygg,2,2013,126
bygg,2,2014,110
bygg,2,2015,41
bygg,2,2016,110
bygg,2,2017,124
bygg,2,2018,140
bygg,2,2019,67
bygg,2,2020,334
bygg,2,2021,96
bygg,2,2022,178
bygg,2,2023,181
handel_med,2,2009,31
handel_med,2,2010,6
handel_med,2,2011,4
handel_med,2,2012,5
handel_med,2,2013,20
handel_med,2,2014,2
handel_med,2,2015,15
handel_med,2,2016,16
handel_med,2,2017,31
handel_med,2,2018,18
handel_med,2,2019,11
handel_med,2,2020,7
handel_med,2,2021,10
handel_med,2,2022,13
handel_med,2,2023,10
parti_prov,2,2009,35
parti_prov,2,2010,11
parti_prov,2,2011,14
parti_prov,2,2012,56
parti_prov,2,2013,16
parti_prov,2,2014,13
parti_prov,2,2015,23
parti_prov,2,2016,14
parti_prov,2,2017,16
parti_prov,2,2018,5
parti_prov,2,2019,43
parti_prov,2,2020,32
parti_prov,2,2021,6
parti_prov,2,2022,18
parti_prov,2,2023,5
detaljhandel_ut_mot,2,2009,23
detaljhandel_ut_mot,2,2010,56
detaljhandel_ut_mot,2,2011,54
detaljhandel_ut_mot,2,2012,68
detaljhandel_ut_mot,2,2013,256
detaljhandel_ut_mot,2,2014,50
detaljhandel_ut_mot,2,2015,27
detaljhandel_ut_mot,2,2016,25
detaljhandel_ut_mot,2,2017,53
detaljhandel_ut_mot,2,2018,191
detaljhandel_ut_mot,2,2019,87
detaljhandel_ut_mot,2,2020,135
detaljhandel_ut_mot,2,2021,22
detaljhandel_ut_mot,2,2022,31
detaljhandel_ut_mot,2,2023,59
transport_mag,2,2009,40
transport_mag,2,2010,79
transport_mag,2,2011,21
transport_mag,2,2012,23
transport_mag,2,2013,40
transport_mag,2,2014,79
transport_mag,2,2015,11
transport_mag,2,2016,116
transport_mag,2,2017,8
transport_mag,2,2018,6
transport_mag,2,2019,20
transport_mag,2,2020,50
transport_mag,2,2021,17
transport_mag,2,2022,9
transport_mag,2,2023,27
hotell_logi,2,2009,NA
hotell_logi,2,2010,NA
hotell_logi,2,2011,NA
hotell_logi,2,2012,NA
hotell_logi,2,2013,NA
hotell_logi,2,2014,7
hotell_logi,2,2015,44
hotell_logi,2,2016,NA
hotell_logi,2,2017,NA
hotell_logi,2,2018,NA
hotell_logi,2,2019,NA
hotell_logi,2,2020,NA
hotell_logi,2,2021,NA
hotell_logi,2,2022,NA
hotell_logi,2,2023,NA
restaurang_cate,2,2009,74
restaurang_cate,2,2010,45
restaurang_cate,2,2011,89
restaurang_cate,2,2012,46
restaurang_cate,2,2013,67
restaurang_cate,2,2014,50
