sni_id,year,syss_bel_tot
industri_for_met,2012,74019
industri_for_met,2013,72436
industri_for_met,2014,71235
industri_for_met,2015,70197
industri_for_met,2016,69514
industri_for_met,2017,69953
industri_for_met,2018,70838
industri_for_met,2019,70009
industri_for_met,2020,67230
industri_for_met,2021,68155
industri_for_met,2022,68478
industri_for_met,2023,68871
tillv_el_and,2007,
tillv_el_and,2008,149803
tillv_el_and,2009,133583
tillv_el_and,2010,132945
tillv_el_and,2011,134847
tillv_el_and,2012,132671
tillv_el_and,2013,127507
tillv_el_and,2014,124407
tillv_el_and,2015,121293
tillv_el_and,2016,106821
tillv_el_and,2017,107188
tillv_el_and,2018,110012
tillv_el_and,2019,107843
tillv_el_and,2020,106477
tillv_el_and,2021,112500
tillv_el_and,2022,117836
tillv_el_and,2023,122685
transportmedelsindustri,2007,
transportmedelsindustri,2008,90624
transportmedelsindustri,2009,75261
transportmedelsindustri,2010,78063
transportmedelsindustri,2011,80026
transportmedelsindustri,2012,77811
transportmedelsindustri,2013,77122
transportmedelsindustri,2014,77030
transportmedelsindustri,2015,80781
transportmedelsindustri,2016,84087
transportmedelsindustri,2017,88597
transportmedelsindustri,2018,93275
transportmedelsindustri,2019,89299
transportmedelsindustri,2020,87108
transportmedelsindustri,2021,88559
transportmedelsindustri,2022,91713
transportmedelsindustri,2023,94092
tillverkning_mob,2007,
tillverkning_mob,2008,30728
tillverkning_mob,2009,29090
tillverkning_mob,2010,29151
tillverkning_mob,2011,29035
tillverkning_mob,2012,28011
tillverkning_mob,2013,27096
tillverkning_mob,2014,26539
tillverkning_mob,2015,25642
tillverkning_mob,2016,25658
tillverkning_mob,2017,25287
tillverkning_mob,2018,24833
tillverkning_mob,2019,24603
tillverkning_mob,2020,24091
tillverkning_mob,2021,24512
tillverkning_mob,2022,24392
tillverkning_mob,2023,23208
reparationsverkstader,2007,
reparationsverkstader,2008,22939
reparationsverkstader,2009,22005
reparationsverkstader,2010,20467
reparationsverkstader,2011,22018
reparationsverkstader,2012,22013
reparationsverkstader,2013,21742
reparationsverkstader,2014,20575
reparationsverkstader,2015,20702
reparationsverkstader,2016,20588
reparationsverkstader,2017,20309
reparationsverkstader,2018,20483
reparationsverkstader,2019,20549
reparationsverkstader,2020,20480
reparationsverkstader,2021,20526
reparationsverkstader,2022,20853
reparationsverkstader,2023,21553
el_gas,2007,
el_gas,2008,26603
el_gas,2009,26991
el_gas,2010,26542
el_gas,2011,26767
el_gas,2012,27158
el_gas,2013,27044
el_gas,2014,27306
el_gas,2015,27640
el_gas,2016,27632
el_gas,2017,27932
el_gas,2018,28282
el_gas,2019,28420
el_gas,2020,29619
el_gas,2021,30006
el_gas,2022,29091
el_gas,2023,31051
vatt_och_avl,2007,
vatt_och_avl,2008,4959
vatt_och_avl,2009,5082
vatt_och_avl,2010,5333
vatt_och_avl,2011,5341
vatt_och_avl,2012,5604
vatt_och_avl,2013,5963
vatt_och_avl,2014,6294
vatt_och_avl,2015,6354
vatt_och_avl,2016,6667
vatt_och_avl,2017,6871
vatt_och_avl,2018,7141
vatt_och_avl,2019,7046
vatt_och_avl,2020,7454
vatt_och_avl,2021,7859
vatt_och_avl,2022,8378
vatt_och_avl,2023,8608
avfall_aterv_san,2007,
avfall_aterv_san,2008,12844
avfall_aterv_san,2009,12702
avfall_aterv_san,2010,13239
avfall_aterv_san,2011,13673
avfall_aterv_san,2012,14449
avfall_aterv_san,2013,14581
avfall_aterv_san,2014,15084
avfall_aterv_san,2015,15317
avfall_aterv_san,2016,15315
avfall_aterv_san,2017,15587
avfall_aterv_san,2018,15851
