sni_id,year,kem_anv_tonne_msek
industri_for_sten,2004,
industri_for_sten,2005,
industri_for_sten,2006,
industri_for_sten,2007,
industri_for_sten,2008,
industri_for_sten,2009,
industri_for_sten,2010,
industri_for_sten,2011,
industri_for_sten,2012,
industri_for_sten,2013,
industri_for_sten,2014,
industri_for_sten,2015,12.0624163759278
industri_for_sten,2016,18.5807158006949
industri_for_sten,2017,16.3130161885674
industri_for_sten,2018,17.7017863275837
industri_for_sten,2019,13.3159354559932
industri_for_sten,2020,
industri_for_sten,2021,
industri_for_sten,2022,
industri_for_sten,2023,
industri_for_bas,2000,
industri_for_bas,2001,
industri_for_bas,2002,
industri_for_bas,2003,
industri_for_bas,2004,
industri_for_bas,2005,
industri_for_bas,2006,
industri_for_bas,2007,
industri_for_bas,2008,
industri_for_bas,2009,
industri_for_bas,2010,
industri_for_bas,2011,
industri_for_bas,2012,
industri_for_bas,2013,
industri_for_bas,2014,
industri_for_bas,2015,30.32771076668
industri_for_bas,2016,30.320092691882
industri_for_bas,2017,28.2528426330342
industri_for_bas,2018,26.7853178414766
industri_for_bas,2019,24.484654214467
industri_for_bas,2020,
industri_for_bas,2021,
industri_for_bas,2022,
industri_for_bas,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,
gummi,2007,
gummi,2008,
gummi,2009,
gummi,2010,
gummi,2011,
gummi,2012,
gummi,2013,
gummi,2014,
gummi,2015,17.2450747332455
gummi,2016,18.4686689213499
gummi,2017,15.8725152843872
gummi,2018,19.2556677714353
gummi,2019,20.1895722501005
gummi,2020,
gummi,2021,
gummi,2022,
gummi,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,
icke_met_andra,2007,
icke_met_andra,2008,
icke_met_andra,2009,
icke_met_andra,2010,
icke_met_andra,2011,
icke_met_andra,2012,
icke_met_andra,2013,
icke_met_andra,2014,
icke_met_andra,2015,150.671551572487
icke_met_andra,2016,174.082820663353
icke_met_andra,2017,145.472597391979
icke_met_andra,2018,134.832231679925
icke_met_andra,2019,122.35240165439
icke_met_andra,2020,
icke_met_andra,2021,
icke_met_andra,2022,
icke_met_andra,2023,
