sni_id,year,forv_kvn
el_gas,2006,1497
el_gas,2007,1499
el_gas,2008,1571
el_gas,2009,1645
el_gas,2010,1605
el_gas,2011,2374
el_gas,2012,2923
el_gas,2013,2690
el_gas,2014,2901
el_gas,2015,2843
el_gas,2016,2952
el_gas,2017,3156
el_gas,2018,3004
el_gas,2019,3252
el_gas,2020,3332
el_gas,2021,3280
el_gas,2022,
el_gas,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,89
fastighetsbolag_g,2004,93
fastighetsbolag_g,2005,78
fastighetsbolag_g,2006,32
fastighetsbolag_g,2007,10
fastighetsbolag_g,2008,8
fastighetsbolag_g,2009,8
fastighetsbolag_g,2010,8
fastighetsbolag_g,2011,18
fastighetsbolag_g,2012,16
fastighetsbolag_g,2013,14
fastighetsbolag_g,2014,18
fastighetsbolag_g,2015,19
fastighetsbolag_g,2016,23
fastighetsbolag_g,2017,19
fastighetsbolag_g,2018,23
fastighetsbolag_g,2019,21
fastighetsbolag_g,2020,9
fastighetsbolag_g,2021,13
fastighetsbolag_g,2022,
fastighetsbolag_g,2023,
film_vide_j,2000,
film_vide_j,2001,
film_vide_j,2002,
film_vide_j,2003,
film_vide_j,2004,
film_vide_j,2005,0
film_vide_j,2006,0
film_vide_j,2007,
film_vide_j,2008,
film_vide_j,2009,
film_vide_j,2010,
film_vide_j,2011,
film_vide_j,2012,
film_vide_j,2013,0
film_vide_j,2014,0
film_vide_j,2015,
film_vide_j,2016,
film_vide_j,2017,
film_vide_j,2018,
film_vide_j,2019,
film_vide_j,2020,
film_vide_j,2021,
film_vide_j,2022,
film_vide_j,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,0
fisk,2004,
fisk,2005,
fisk,2006,
fisk,2007,
fisk,2008,
fisk,2009,
fisk,2010,
fisk,2011,
fisk,2012,
fisk,2013,
fisk,2014,
fisk,2015,
fisk,2016,
fisk,2017,
fisk,2018,
fisk,2019,
fisk,2020,
fisk,2021,
fisk,2022,
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,0
flygbolag,2004,0
flygbolag,2005,0
flygbolag,2006,0
flygbolag,2007,0
flygbolag,2008,0
flygbolag,2009,0
flygbolag,2010,0
flygbolag,2011,0
flygbolag,2012,0
flygbolag,2013,0
flygbolag,2014,0
flygbolag,2015,0
flygbolag,2016,0
flygbolag,2017,0
flygbolag,2018,0
flygbolag,2019,0
flygbolag,2020,0
flygbolag,2021,0
flygbolag,2022,
flygbolag,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,13
forlag,2004,17
forlag,2005,22
forlag,2006,30
forlag,2007,34
forlag,2008,42
forlag,2009,37
forlag,2010,37
forlag,2011,22
forlag,2012,24
forlag,2013,24
forlag,2014,31
forlag,2015,33
forlag,2016,27
forlag,2017,22
forlag,2018,17
forlag,2019,21
forlag,2020,18
forlag,2021,24
forlag,2022,
forlag,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,4
grafisk,2004,5
grafisk,2005,6
grafisk,2006,
grafisk,2007,
grafisk,2008,
grafisk,2009,
grafisk,2010,
grafisk,2011,
grafisk,2012,
grafisk,2013,
grafisk,2014,
grafisk,2015,
grafisk,2016,
grafisk,2017,
grafisk,2018,
grafisk,2019,1
grafisk,2020,1
grafisk,2021,
grafisk,2022,
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,172
gummi,2004,175
gummi,2005,160
gummi,2006,154
gummi,2007,157
gummi,2008,131
gummi,2009,114
gummi,2010,132
gummi,2011,129
gummi,2012,127
gummi,2013,120
gummi,2014,126
gummi,2015,127
gummi,2016,122
gummi,2017,120
gummi,2018,113
gummi,2019,108
gummi,2020,109
gummi,2021,109
gummi,2022,
gummi,2023,
handel_med,2000,
handel_med,2001,
handel_med,2002,
handel_med,2003,28
handel_med,2004,24
handel_med,2005,22
handel_med,2006,20
handel_med,2007,21
handel_med,2008,11
handel_med,2009,12
handel_med,2010,16
handel_med,2011,16
handel_med,2012,21
handel_med,2013,22
handel_med,2014,22
handel_med,2015,24
handel_med,2016,28
handel_med,2017,31
handel_med,2018,31
handel_med,2019,30
handel_med,2020,20
handel_med,2021,22
handel_med,2022,
handel_med,2023,
hotell_rest_i,2000,
hotell_rest_i,2001,
hotell_rest_i,2002,
hotell_rest_i,2003,135
hotell_rest_i,2004,209
hotell_rest_i,2005,233
hotell_rest_i,2006,279
hotell_rest_i,2007,311
hotell_rest_i,2008,341
hotell_rest_i,2009,349
hotell_rest_i,2010,329
hotell_rest_i,2011,360
hotell_rest_i,2012,392
hotell_rest_i,2013,397
hotell_rest_i,2014,371
hotell_rest_i,2015,406
hotell_rest_i,2016,427
hotell_rest_i,2017,439
hotell_rest_i,2018,432
hotell_rest_i,2019,408
hotell_rest_i,2020,391
hotell_rest_i,2021,390
hotell_rest_i,2022,
hotell_rest_i,2023,
hushall,2000,
hushall,2001,
hushall,2002,
hushall,2003,
hushall,2004,
hushall,2005,
hushall,2006,
hushall,2007,
hushall,2008,326
hushall,2009,356
hushall,2010,308
hushall,2011,328
hushall,2012,348
hushall,2013,376
hushall,2014,397
hushall,2015,405
hushall,2016,394
hushall,2017,404
hushall,2018,401
hushall,2019,461
hushall,2020,465
hushall,2021,495
hushall,2022,
hushall,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,1
halso,2004,1
halso,2005,5
halso,2006,2
halso,2007,5
halso,2008,5
halso,2009,7
halso,2010,6
halso,2011,6
halso,2012,6
halso,2013,4
halso,2014,1
halso,2015,1
halso,2016,
halso,2017,
halso,2018,
halso,2019,
halso,2020,
halso,2021,
halso,2022,
halso,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,117
icke_met_andra,2004,112
icke_met_andra,2005,53
icke_met_andra,2006,120
icke_met_andra,2007,127
icke_met_andra,2008,124
icke_met_andra,2009,102
icke_met_andra,2010,102
icke_met_andra,2011,102
icke_met_andra,2012,101
icke_met_andra,2013,84
icke_met_andra,2014,88
icke_met_andra,2015,92
icke_met_andra,2016,93
icke_met_andra,2017,90
icke_met_andra,2018,102
icke_met_andra,2019,97
icke_met_andra,2020,102
icke_met_andra,2021,107
icke_met_andra,2022,
icke_met_andra,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,81
industri_for_met,2004,83
industri_for_met,2005,74
industri_for_met,2006,83
industri_for_met,2007,82
industri_for_met,2008,82
industri_for_met,2009,81
industri_for_met,2010,73
industri_for_met,2011,75
industri_for_met,2012,78
industri_for_met,2013,90
industri_for_met,2014,80
industri_for_met,2015,75
industri_for_met,2016,68
industri_for_met,2017,68
industri_for_met,2018,70
industri_for_met,2019,69
industri_for_met,2020,69
industri_for_met,2021,71
industri_for_met,2022,
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,46
industri_for_mot,2004,43
industri_for_mot,2005,41
industri_for_mot,2006,44
industri_for_mot,2007,47
industri_for_mot,2008,45
industri_for_mot,2009,43
industri_for_mot,2010,39
industri_for_mot,2011,42
industri_for_mot,2012,62
industri_for_mot,2013,109
industri_for_mot,2014,133
industri_for_mot,2015,119
industri_for_mot,2016,52
industri_for_mot,2017,62
industri_for_mot,2018,58
industri_for_mot,2019,60
industri_for_mot,2020,51
industri_for_mot,2021,55
industri_for_mot,2022,
industri_for_mot,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,172
industri_for_tra,2004,174
industri_for_tra,2005,118
industri_for_tra,2006,212
industri_for_tra,2007,226
industri_for_tra,2008,240
industri_for_tra,2009,217
industri_for_tra,2010,219
industri_for_tra,2011,223
industri_for_tra,2012,200
industri_for_tra,2013,208
industri_for_tra,2014,202
industri_for_tra,2015,197
industri_for_tra,2016,198
industri_for_tra,2017,200
industri_for_tra,2018,214
industri_for_tra,2019,232
industri_for_tra,2020,238
industri_for_tra,2021,240
industri_for_tra,2022,
industri_for_tra,2023,
jordbruksforetag_serv,2000,
jordbruksforetag_serv,2001,
jordbruksforetag_serv,2002,
jordbruksforetag_serv,2003,265
jordbruksforetag_serv,2004,217
jordbruksforetag_serv,2005,223
jordbruksforetag_serv,2006,229
jordbruksforetag_serv,2007,957
jordbruksforetag_serv,2008,279
jordbruksforetag_serv,2009,313
jordbruksforetag_serv,2010,368
jordbruksforetag_serv,2011,418
jordbruksforetag_serv,2012,434
jordbruksforetag_serv,2013,453
jordbruksforetag_serv,2014,462
jordbruksforetag_serv,2015,497
jordbruksforetag_serv,2016,548
jordbruksforetag_serv,2017,570
jordbruksforetag_serv,2018,581
jordbruksforetag_serv,2019,567
jordbruksforetag_serv,2020,597
jordbruksforetag_serv,2021,644
jordbruksforetag_serv,2022,
jordbruksforetag_serv,2023,
juridisk_ek,2000,
juridisk_ek,2001,
juridisk_ek,2002,
juridisk_ek,2003,132
juridisk_ek,2004,135
juridisk_ek,2005,123
juridisk_ek,2006,119
juridisk_ek,2007,131
juridisk_ek,2008,138
juridisk_ek,2009,126
juridisk_ek,2010,143
juridisk_ek,2011,138
juridisk_ek,2012,150
juridisk_ek,2013,141
juridisk_ek,2014,149
juridisk_ek,2015,163
juridisk_ek,2016,197
juridisk_ek,2017,204
juridisk_ek,2018,162
juridisk_ek,2019,172
juridisk_ek,2020,154
juridisk_ek,2021,155
juridisk_ek,2022,
juridisk_ek,2023,
kultur_noje,2000,
kultur_noje,2001,
kultur_noje,2002,
kultur_noje,2003,100
kultur_noje,2004,96
kultur_noje,2005,106
kultur_noje,2006,121
kultur_noje,2007,147
kultur_noje,2008,176
kultur_noje,2009,181
kultur_noje,2010,179
kultur_noje,2011,161
kultur_noje,2012,156
kultur_noje,2013,208
kultur_noje,2014,175
kultur_noje,2015,174
kultur_noje,2016,204
kultur_noje,2017,222
kultur_noje,2018,206
kultur_noje,2019,194
kultur_noje,2020,179
kultur_noje,2021,230
kultur_noje,2022,
kultur_noje,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,123
landtransportforetag_rort,2004,137
landtransportforetag_rort,2005,135
landtransportforetag_rort,2006,182
landtransportforetag_rort,2007,193
landtransportforetag_rort,2008,185
landtransportforetag_rort,2009,169
landtransportforetag_rort,2010,185
landtransportforetag_rort,2011,202
landtransportforetag_rort,2012,178
landtransportforetag_rort,2013,163
landtransportforetag_rort,2014,109
landtransportforetag_rort,2015,113
landtransportforetag_rort,2016,130
landtransportforetag_rort,2017,135
landtransportforetag_rort,2018,127
landtransportforetag_rort,2019,118
landtransportforetag_rort,2020,103
landtransportforetag_rort,2021,119
landtransportforetag_rort,2022,
landtransportforetag_rort,2023,
livsmedel_dryck_tob,2000,
livsmedel_dryck_tob,2001,
livsmedel_dryck_tob,2002,
livsmedel_dryck_tob,2003,27
livsmedel_dryck_tob,2004,28
livsmedel_dryck_tob,2005,35
livsmedel_dryck_tob,2006,36
livsmedel_dryck_tob,2007,40
