sni_id,year,ant_for_tjugo
jur_andra,2000,
jur_andra,2001,
jur_andra,2002,
jur_andra,2003,
jur_andra,2004,
jur_andra,2005,
jur_andra,2006,83
jur_andra,2007,73
jur_andra,2008,68
jur_andra,2009,70
jur_andra,2010,72
jur_andra,2011,78
jur_andra,2012,78
jur_andra,2013,91
jur_andra,2014,85
jur_andra,2015,91
jur_andra,2016,99
jur_andra,2017,103
jur_andra,2018,101
jur_andra,2019,101
jur_andra,2020,108
jur_andra,2021,114
jur_andra,2022,
jur_andra,2023,
andra_kons,2000,
andra_kons,2001,
andra_kons,2002,
andra_kons,2003,
andra_kons,2004,
andra_kons,2005,
andra_kons,2006,46
andra_kons,2007,54
andra_kons,2008,49
andra_kons,2009,60
andra_kons,2010,67
andra_kons,2011,83
andra_kons,2012,74
andra_kons,2013,87
andra_kons,2014,90
andra_kons,2015,85
andra_kons,2016,86
andra_kons,2017,87
andra_kons,2018,86
andra_kons,2019,86
andra_kons,2020,95
andra_kons,2021,79
andra_kons,2022,
andra_kons,2023,
anlaggningar_for,2000,
anlaggningar_for,2001,
anlaggningar_for,2002,
anlaggningar_for,2003,
anlaggningar_for,2004,
anlaggningar_for,2005,
anlaggningar_for,2006,2
anlaggningar_for,2007,2
anlaggningar_for,2008,2
anlaggningar_for,2009,2
anlaggningar_for,2010,4
anlaggningar_for,2011,2
anlaggningar_for,2012,3
anlaggningar_for,2013,2
anlaggningar_for,2014,4
anlaggningar_for,2015,3
anlaggningar_for,2016,5
anlaggningar_for,2017,4
anlaggningar_for,2018,7
anlaggningar_for,2019,6
anlaggningar_for,2020,7
anlaggningar_for,2021,6
anlaggningar_for,2022,
anlaggningar_for,2023,
anlaggningsentreprenorer,2000,
anlaggningsentreprenorer,2001,
anlaggningsentreprenorer,2002,
anlaggningsentreprenorer,2003,
anlaggningsentreprenorer,2004,
anlaggningsentreprenorer,2005,
anlaggningsentreprenorer,2006,57
anlaggningsentreprenorer,2007,52
anlaggningsentreprenorer,2008,46
anlaggningsentreprenorer,2009,54
anlaggningsentreprenorer,2010,53
anlaggningsentreprenorer,2011,59
anlaggningsentreprenorer,2012,64
anlaggningsentreprenorer,2013,67
anlaggningsentreprenorer,2014,72
anlaggningsentreprenorer,2015,86
anlaggningsentreprenorer,2016,83
anlaggningsentreprenorer,2017,75
anlaggningsentreprenorer,2018,86
anlaggningsentreprenorer,2019,103
anlaggningsentreprenorer,2020,116
anlaggningsentreprenorer,2021,109
anlaggningsentreprenorer,2022,
anlaggningsentreprenorer,2023,
annan_indu,2000,
annan_indu,2001,
annan_indu,2002,
annan_indu,2003,
annan_indu,2004,
annan_indu,2005,
annan_indu,2006,17
annan_indu,2007,20
annan_indu,2008,20
annan_indu,2009,19
annan_indu,2010,21
annan_indu,2011,18
annan_indu,2012,16
annan_indu,2013,16
annan_indu,2014,17
annan_indu,2015,17
annan_indu,2016,18
annan_indu,2017,16
annan_indu,2018,18
