sni_id,year,utv_verk
elapparatur,2017,3396
elapparatur,2019,
elapparatur,2021,2568
elapparatur,2023,3539
ovrig_mask,2007,
ovrig_mask,2009,
ovrig_mask,2011,
ovrig_mask,2013,5730
ovrig_mask,2015,5450
ovrig_mask,2017,7698
ovrig_mask,2019,7134
ovrig_mask,2021,7579
ovrig_mask,2023,14297
transportmedelsindustri,2007,
transportmedelsindustri,2009,
transportmedelsindustri,2011,
transportmedelsindustri,2013,16359
transportmedelsindustri,2015,17457
transportmedelsindustri,2017,24036
transportmedelsindustri,2019,23676
transportmedelsindustri,2021,22147
transportmedelsindustri,2023,30804
tillverkning_mob,2007,
tillverkning_mob,2009,
tillverkning_mob,2011,
tillverkning_mob,2013,1155
tillverkning_mob,2015,
tillverkning_mob,2017,879
tillverkning_mob,2019,791
tillverkning_mob,2021,661
tillverkning_mob,2023,841
reparationsverkstader,2007,
reparationsverkstader,2009,
reparationsverkstader,2011,
reparationsverkstader,2013,
reparationsverkstader,2015,
reparationsverkstader,2017,
reparationsverkstader,2019,51
reparationsverkstader,2021,9
reparationsverkstader,2023,25
el_gas_avl,2007,
el_gas_avl,2009,
el_gas_avl,2011,
el_gas_avl,2013,162
el_gas_avl,2015,544
el_gas_avl,2017,600
el_gas_avl,2019,574
el_gas_avl,2021,624
el_gas_avl,2023,831
bygg,2007,
bygg,2009,
bygg,2011,
bygg,2013,214
bygg,2015,275
bygg,2017,251
bygg,2019,177
bygg,2021,178
bygg,2023,338
marknadsproduktion_tjan,2007,
marknadsproduktion_tjan,2009,
marknadsproduktion_tjan,2011,
marknadsproduktion_tjan,2013,19604
marknadsproduktion_tjan,2015,21792
marknadsproduktion_tjan,2017,37999
marknadsproduktion_tjan,2019,46962
marknadsproduktion_tjan,2021,51081
marknadsproduktion_tjan,2023,54070
service_motor_hotell,2007,
service_motor_hotell,2009,
service_motor_hotell,2011,
service_motor_hotell,2013,3818
service_motor_hotell,2015,3503
service_motor_hotell,2017,4653
service_motor_hotell,2019,5841
service_motor_hotell,2021,
service_motor_hotell,2023,3648
detaljhandel_ut_mot,2007,
detaljhandel_ut_mot,2009,
detaljhandel_ut_mot,2011,
detaljhandel_ut_mot,2013,218
detaljhandel_ut_mot,2015,86
detaljhandel_ut_mot,2017,44
detaljhandel_ut_mot,2019,48
detaljhandel_ut_mot,2021,22
detaljhandel_ut_mot,2023,19
transport_mag,2007,
transport_mag,2009,
transport_mag,2011,
transport_mag,2013,264
transport_mag,2015,243
transport_mag,2017,209
transport_mag,2019,39
transport_mag,2021,70
transport_mag,2023,169
forlagsverksamhet_film,2007,
forlagsverksamhet_film,2009,
forlagsverksamhet_film,2011,
forlagsverksamhet_film,2013,885
forlagsverksamhet_film,2015,1897
forlagsverksamhet_film,2017,1798
forlagsverksamhet_film,2019,1904
forlagsverksamhet_film,2021,2474
forlagsverksamhet_film,2023,2166
information_komm,2007,
information_komm,2009,
information_komm,2011,
information_komm,2013,4138
information_komm,2015,5822
information_komm,2017,20707
information_komm,2019,28460
information_komm,2021,31269
information_komm,2023,33360
finans,2007,
finans,2009,
finans,2011,
finans,2013,849
finans,2015,1072
finans,2017,1116
finans,2019,1710
finans,2021,
finans,2023,2556
fast_uthyr_rese,2007,
fast_uthyr_rese,2009,
fast_uthyr_rese,2011,
fast_uthyr_rese,2013,394
fast_uthyr_rese,2015,281
fast_uthyr_rese,2017,426
fast_uthyr_rese,2019,405
fast_uthyr_rese,2021,
fast_uthyr_rese,2023,194
juridisk_ek,2007,
juridisk_ek,2009,
juridisk_ek,2011,
juridisk_ek,2013,713
juridisk_ek,2015,913
juridisk_ek,2017,777
juridisk_ek,2019,249
juridisk_ek,2021,
juridisk_ek,2023,541
arkitekt,2007,
arkitekt,2009,
arkitekt,2011,
arkitekt,2013,1493
arkitekt,2015,1593
arkitekt,2017,2257
arkitekt,2019,3079
arkitekt,2021,1798
arkitekt,2023,2653
forsknings,2007,
forsknings,2009,
forsknings,2011,
forsknings,2013,6615
forsknings,2015,6992
forsknings,2017,6068
forsknings,2019,6350
forsknings,2021,7830
forsknings,2023,10228
rek_vet_civ_int,2007,
rek_vet_civ_int,2009,
rek_vet_civ_int,2011,
rek_vet_civ_int,2013,1321
rek_vet_civ_int,2015,1372
rek_vet_civ_int,2017,1786
rek_vet_civ_int,2019,829
rek_vet_civ_int,2021,2027
rek_vet_civ_int,2023,720
