sni_id,year,ant_forv_man_reg
kulturella,2018,90237
kulturella,2019,95771
kulturella,2020,91436
kulturella,2021,94833
kulturella,2022,97342
kulturella,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,
offentlig_forv,2007,
offentlig_forv,2008,105658
offentlig_forv,2009,105551
offentlig_forv,2010,107572
offentlig_forv,2011,110983
offentlig_forv,2012,111920
offentlig_forv,2013,115501
offentlig_forv,2014,116286
offentlig_forv,2015,116586
offentlig_forv,2016,120045
offentlig_forv,2017,123653
offentlig_forv,2018,128121
offentlig_forv,2019,125382
offentlig_forv,2020,131181
offentlig_forv,2021,133006
offentlig_forv,2022,135305
offentlig_forv,2023,
bransch_ospe,2000,
bransch_ospe,2001,
bransch_ospe,2002,
bransch_ospe,2003,
bransch_ospe,2004,
bransch_ospe,2005,
bransch_ospe,2006,
bransch_ospe,2007,
bransch_ospe,2008,22174
bransch_ospe,2009,20180
bransch_ospe,2010,19969
bransch_ospe,2011,21536
bransch_ospe,2012,21959
bransch_ospe,2013,21631
bransch_ospe,2014,22239
bransch_ospe,2015,21757
bransch_ospe,2016,20084
bransch_ospe,2017,21751
bransch_ospe,2018,21249
bransch_ospe,2019,25745
bransch_ospe,2020,33354
bransch_ospe,2021,32634
bransch_ospe,2022,32487
bransch_ospe,2023,
tillverkning_utv,2000,
tillverkning_utv,2001,
tillverkning_utv,2002,
tillverkning_utv,2003,
tillverkning_utv,2004,
tillverkning_utv,2005,
tillverkning_utv,2006,
tillverkning_utv,2007,
tillverkning_utv,2008,504905
tillverkning_utv,2009,452748
tillverkning_utv,2010,453026
tillverkning_utv,2011,459732
tillverkning_utv,2012,449212
tillverkning_utv,2013,436776
tillverkning_utv,2014,430015
tillverkning_utv,2015,427386
tillverkning_utv,2016,418060
tillverkning_utv,2017,420334
tillverkning_utv,2018,425271
tillverkning_utv,2019,414160
tillverkning_utv,2020,406134
tillverkning_utv,2021,412154
tillverkning_utv,2022,418257
tillverkning_utv,2023,
total_au,2000,
total_au,2001,
total_au,2002,
total_au,2003,
total_au,2004,
total_au,2005,
total_au,2006,
total_au,2007,
total_au,2008,547140
total_au,2009,540226
total_au,2010,557222
total_au,2011,575632
total_au,2012,589328
total_au,2013,599452
total_au,2014,608918
total_au,2015,621532
total_au,2016,635275
total_au,2017,649924
total_au,2018,658597
total_au,2019,664535
total_au,2020,658984
total_au,2021,680093
total_au,2022,701663
total_au,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,
totalt_tota,2004,
totalt_tota,2005,
totalt_tota,2006,
totalt_tota,2007,
totalt_tota,2008,1753264
totalt_tota,2009,1681496
totalt_tota,2010,1721533
totalt_tota,2011,1781965
totalt_tota,2012,1789611
totalt_tota,2013,1800041
totalt_tota,2014,1808048
totalt_tota,2015,1833253
totalt_tota,2016,1870153
totalt_tota,2017,1908839
totalt_tota,2018,1935949
totalt_tota,2019,1949165
totalt_tota,2020,1933250
totalt_tota,2021,1979820
totalt_tota,2022,2018536
totalt_tota,2023,
transport_mag,2000,
transport_mag,2001,
transport_mag,2002,
transport_mag,2003,
transport_mag,2004,
transport_mag,2005,
transport_mag,2006,
transport_mag,2007,
transport_mag,2008,174967
transport_mag,2009,169227
transport_mag,2010,172926
transport_mag,2011,175838
transport_mag,2012,176182
transport_mag,2013,177402
transport_mag,2014,176158
transport_mag,2015,176388
transport_mag,2016,177926
transport_mag,2017,180437
transport_mag,2018,183566
transport_mag,2019,185216
transport_mag,2020,177073
transport_mag,2021,180972
transport_mag,2022,179869
transport_mag,2023,
utbildning,2000,
utbildning,2001,
utbildning,2002,
utbildning,2003,
utbildning,2004,
utbildning,2005,
utbildning,2006,
utbildning,2007,
utbildning,2008,111782
utbildning,2009,111494
utbildning,2010,117596
utbildning,2011,118546
utbildning,2012,121340
utbildning,2013,124178
utbildning,2014,126342
utbildning,2015,129398
utbildning,2016,136463
utbildning,2017,139924
utbildning,2018,141239
utbildning,2019,143286
utbildning,2020,141621
utbildning,2021,141370
utbildning,2022,141171
utbildning,2023,
vard_om,2000,
vard_om,2001,
vard_om,2002,
vard_om,2003,
vard_om,2004,
vard_om,2005,
vard_om,2006,
vard_om,2007,
vard_om,2008,118224
vard_om,2009,119957
vard_om,2010,123326
vard_om,2011,126046
vard_om,2012,130752
vard_om,2013,137006
vard_om,2014,143040
vard_om,2015,152292
vard_om,2016,163997
vard_om,2017,165888
vard_om,2018,165643
vard_om,2019,169596
vard_om,2020,171665
vard_om,2021,176330
vard_om,2022,178497
vard_om,2023,
