sni_id,year,foradl
fastighetsbolag_g,2013,239
fastighetsbolag_g,2014,301
fastighetsbolag_g,2015,323
fastighetsbolag_g,2016,318
fastighetsbolag_g,2017,305
fastighetsbolag_g,2018,221
fastighetsbolag_g,2019,225
fastighetsbolag_g,2020,142
fastighetsbolag_g,2021,227
fastighetsbolag_g,2022,
fastighetsbolag_g,2023,
film_vide_j,2000,
film_vide_j,2001,
film_vide_j,2002,
film_vide_j,2003,
film_vide_j,2004,
film_vide_j,2005,0
film_vide_j,2006,0
film_vide_j,2007,
film_vide_j,2008,
film_vide_j,2009,
film_vide_j,2010,
film_vide_j,2011,
film_vide_j,2012,
film_vide_j,2013,0
film_vide_j,2014,0
film_vide_j,2015,
film_vide_j,2016,
film_vide_j,2017,
film_vide_j,2018,
film_vide_j,2019,
film_vide_j,2020,
film_vide_j,2021,
film_vide_j,2022,
film_vide_j,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,0
fisk,2004,
fisk,2005,
fisk,2006,
fisk,2007,
fisk,2008,
fisk,2009,
fisk,2010,
fisk,2011,
fisk,2012,
fisk,2013,
fisk,2014,
fisk,2015,
fisk,2016,
fisk,2017,
fisk,2018,
fisk,2019,
fisk,2020,
fisk,2021,
fisk,2022,
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,0
flygbolag,2004,0
flygbolag,2005,0
flygbolag,2006,0
flygbolag,2007,0
flygbolag,2008,0
flygbolag,2009,0
flygbolag,2010,0
flygbolag,2011,0
flygbolag,2012,0
flygbolag,2013,0
flygbolag,2014,0
flygbolag,2015,0
flygbolag,2016,0
flygbolag,2017,0
flygbolag,2018,0
flygbolag,2019,0
flygbolag,2020,0
flygbolag,2021,0
flygbolag,2022,
flygbolag,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,39
forlag,2004,43
forlag,2005,52
forlag,2006,65
forlag,2007,77
forlag,2008,116
forlag,2009,141
forlag,2010,170
forlag,2011,170
forlag,2012,147
forlag,2013,158
forlag,2014,169
forlag,2015,231
forlag,2016,168
forlag,2017,141
forlag,2018,151
forlag,2019,144
forlag,2020,119
forlag,2021,118
forlag,2022,
forlag,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,11
grafisk,2004,14
grafisk,2005,17
grafisk,2006,
grafisk,2007,
grafisk,2008,
