sni_id,year,inv_egen_fou
marknadsproduktion_varo,2007,2779
marknadsproduktion_varo,2009,2776
marknadsproduktion_varo,2011,2614
marknadsproduktion_varo,2013,2026
marknadsproduktion_varo,2015,3104
marknadsproduktion_varo,2017,3413
marknadsproduktion_varo,2019,5689
marknadsproduktion_varo,2021,6494
marknadsproduktion_varo,2023,7963
skog_gruv,2007,
skog_gruv,2009,7
skog_gruv,2011,12
skog_gruv,2013,98
skog_gruv,2015,23
skog_gruv,2017,
skog_gruv,2019,28
skog_gruv,2021,15
skog_gruv,2023,44
tillverkningsindustrin_c,2007,2755
tillverkningsindustrin_c,2009,2749
tillverkningsindustrin_c,2011,2598
tillverkningsindustrin_c,2013,1898
tillverkningsindustrin_c,2015,2970
tillverkningsindustrin_c,2017,3249
tillverkningsindustrin_c,2019,5563
tillverkningsindustrin_c,2021,6370
tillverkningsindustrin_c,2023,7788
livsmedel_dryck_tob,2007,55
livsmedel_dryck_tob,2009,65
livsmedel_dryck_tob,2011,4
livsmedel_dryck_tob,2013,46
livsmedel_dryck_tob,2015,41
livsmedel_dryck_tob,2017,
livsmedel_dryck_tob,2019,62
livsmedel_dryck_tob,2021,35
livsmedel_dryck_tob,2023,77
tex_tra_graf,2007,
tex_tra_graf,2009,12
tex_tra_graf,2011,
tex_tra_graf,2013,37
tex_tra_graf,2015,55
tex_tra_graf,2017,133
tex_tra_graf,2019,
tex_tra_graf,2021,5
tex_tra_graf,2023,16
industri_for_tra,2007,
industri_for_tra,2009,6
industri_for_tra,2011,
industri_for_tra,2013,0
industri_for_tra,2015,50
industri_for_tra,2017,124
industri_for_tra,2019,
industri_for_tra,2021,2
industri_for_tra,2023,16
massa_papp,2007,23
massa_papp,2009,
massa_papp,2011,48
massa_papp,2013,53
massa_papp,2015,
massa_papp,2017,27
massa_papp,2019,47
massa_papp,2021,68
massa_papp,2023,56
kol_pet_kem,2007,85
kol_pet_kem,2009,81
kol_pet_kem,2011,117
kol_pet_kem,2013,78
kol_pet_kem,2015,134
