sni_id,year,uppd_egen_fou
datorer_elek,2010,
datorer_elek,2011,
datorer_elek,2012,
datorer_elek,2013,
datorer_elek,2014,
datorer_elek,2015,
datorer_elek,2016,
datorer_elek,2017,658
datorer_elek,2018,
datorer_elek,2019,547
datorer_elek,2020,
datorer_elek,2021,1277
datorer_elek,2022,
datorer_elek,2023,1455
elapparatur,2007,
elapparatur,2008,
elapparatur,2009,
elapparatur,2010,
elapparatur,2011,
elapparatur,2012,
elapparatur,2013,
elapparatur,2014,
elapparatur,2015,
elapparatur,2016,
elapparatur,2017,
elapparatur,2018,
elapparatur,2019,
elapparatur,2020,
elapparatur,2021,
elapparatur,2022,
elapparatur,2023,187
ovrig_mask,2007,
ovrig_mask,2008,
ovrig_mask,2009,
ovrig_mask,2010,
ovrig_mask,2011,
ovrig_mask,2012,
ovrig_mask,2013,
ovrig_mask,2014,
ovrig_mask,2015,
ovrig_mask,2016,
ovrig_mask,2017,
ovrig_mask,2018,
ovrig_mask,2019,
ovrig_mask,2020,
ovrig_mask,2021,
ovrig_mask,2022,
ovrig_mask,2023,2657
transportmedelsindustri,2007,
transportmedelsindustri,2008,
transportmedelsindustri,2009,
transportmedelsindustri,2010,
transportmedelsindustri,2011,
transportmedelsindustri,2012,
transportmedelsindustri,2013,
transportmedelsindustri,2014,
transportmedelsindustri,2015,
transportmedelsindustri,2016,
transportmedelsindustri,2017,6336
transportmedelsindustri,2018,
transportmedelsindustri,2019,7229
transportmedelsindustri,2020,
transportmedelsindustri,2021,2074
transportmedelsindustri,2022,
transportmedelsindustri,2023,8533
tillverkning_mob,2007,
tillverkning_mob,2008,
tillverkning_mob,2009,
tillverkning_mob,2010,
tillverkning_mob,2011,
tillverkning_mob,2012,
tillverkning_mob,2013,
tillverkning_mob,2014,
tillverkning_mob,2015,
tillverkning_mob,2016,
tillverkning_mob,2017,
tillverkning_mob,2018,
tillverkning_mob,2019,18
tillverkning_mob,2020,
tillverkning_mob,2021,
tillverkning_mob,2022,
tillverkning_mob,2023,26
reparationsverkstader,2007,
reparationsverkstader,2008,
reparationsverkstader,2009,
reparationsverkstader,2010,
reparationsverkstader,2011,
reparationsverkstader,2012,
reparationsverkstader,2013,
reparationsverkstader,2014,
reparationsverkstader,2015,
reparationsverkstader,2016,
reparationsverkstader,2017,
reparationsverkstader,2018,
reparationsverkstader,2019,
reparationsverkstader,2020,
reparationsverkstader,2021,0
reparationsverkstader,2022,
reparationsverkstader,2023,0
el_gas_avl,2007,
el_gas_avl,2008,
el_gas_avl,2009,
el_gas_avl,2010,
el_gas_avl,2011,
el_gas_avl,2012,
el_gas_avl,2013,
el_gas_avl,2014,
el_gas_avl,2015,
el_gas_avl,2016,
el_gas_avl,2017,
el_gas_avl,2018,
el_gas_avl,2019,
el_gas_avl,2020,
el_gas_avl,2021,
el_gas_avl,2022,
el_gas_avl,2023,215
bygg,2007,
bygg,2008,
bygg,2009,
bygg,2010,
bygg,2011,
bygg,2012,
bygg,2013,
bygg,2014,
bygg,2015,
bygg,2016,
bygg,2017,
bygg,2018,
bygg,2019,
bygg,2020,
bygg,2021,
bygg,2022,
bygg,2023,0
service_motor_hotell,2007,
service_motor_hotell,2008,
service_motor_hotell,2009,
service_motor_hotell,2010,
service_motor_hotell,2011,
service_motor_hotell,2012,
service_motor_hotell,2013,
service_motor_hotell,2014,
service_motor_hotell,2015,
service_motor_hotell,2016,
service_motor_hotell,2017,3008
service_motor_hotell,2018,
service_motor_hotell,2019,981
service_motor_hotell,2020,
service_motor_hotell,2021,
service_motor_hotell,2022,
service_motor_hotell,2023,1559
detaljhandel_ut_mot,2007,
detaljhandel_ut_mot,2008,
detaljhandel_ut_mot,2009,
detaljhandel_ut_mot,2010,
detaljhandel_ut_mot,2011,
detaljhandel_ut_mot,2012,
detaljhandel_ut_mot,2013,
detaljhandel_ut_mot,2014,
detaljhandel_ut_mot,2015,
detaljhandel_ut_mot,2016,
detaljhandel_ut_mot,2017,0
detaljhandel_ut_mot,2018,
detaljhandel_ut_mot,2019,0
detaljhandel_ut_mot,2020,
detaljhandel_ut_mot,2021,0
detaljhandel_ut_mot,2022,
detaljhandel_ut_mot,2023,0
transport_mag,2007,
transport_mag,2008,
transport_mag,2009,
transport_mag,2010,
transport_mag,2011,
transport_mag,2012,
transport_mag,2013,
transport_mag,2014,
transport_mag,2015,
transport_mag,2016,
transport_mag,2017,
transport_mag,2018,
transport_mag,2019,
transport_mag,2020,
transport_mag,2021,1
transport_mag,2022,
transport_mag,2023,17
forlagsverksamhet_film,2007,
forlagsverksamhet_film,2008,
forlagsverksamhet_film,2009,
forlagsverksamhet_film,2010,
forlagsverksamhet_film,2011,
forlagsverksamhet_film,2012,
forlagsverksamhet_film,2013,
forlagsverksamhet_film,2014,
forlagsverksamhet_film,2015,
forlagsverksamhet_film,2016,
forlagsverksamhet_film,2017,
forlagsverksamhet_film,2018,
forlagsverksamhet_film,2019,595
forlagsverksamhet_film,2020,
forlagsverksamhet_film,2021,1315
forlagsverksamhet_film,2022,
forlagsverksamhet_film,2023,1156
information_komm,2007,
information_komm,2008,
information_komm,2009,
information_komm,2010,
information_komm,2011,
information_komm,2012,
information_komm,2013,
information_komm,2014,
information_komm,2015,
information_komm,2016,
information_komm,2017,471
information_komm,2018,
information_komm,2019,2543
information_komm,2020,
information_komm,2021,5113
information_komm,2022,
information_komm,2023,2865
finans,2007,
finans,2008,
finans,2009,
finans,2010,
finans,2011,
finans,2012,
finans,2013,
finans,2014,
finans,2015,
finans,2016,
finans,2017,
finans,2018,
finans,2019,
finans,2020,
finans,2021,0
finans,2022,
finans,2023,5
fast_uthyr_rese,2007,
fast_uthyr_rese,2008,
fast_uthyr_rese,2009,
fast_uthyr_rese,2010,
fast_uthyr_rese,2011,
fast_uthyr_rese,2012,
fast_uthyr_rese,2013,
fast_uthyr_rese,2014,
fast_uthyr_rese,2015,
fast_uthyr_rese,2016,
fast_uthyr_rese,2017,
fast_uthyr_rese,2018,
fast_uthyr_rese,2019,319
fast_uthyr_rese,2020,
fast_uthyr_rese,2021,
fast_uthyr_rese,2022,
fast_uthyr_rese,2023,2
juridisk_ek,2007,
juridisk_ek,2008,
juridisk_ek,2009,
juridisk_ek,2010,
juridisk_ek,2011,
juridisk_ek,2012,
juridisk_ek,2013,
juridisk_ek,2014,
juridisk_ek,2015,
juridisk_ek,2016,
juridisk_ek,2017,
juridisk_ek,2018,
juridisk_ek,2019,136
juridisk_ek,2020,
juridisk_ek,2021,260
juridisk_ek,2022,
juridisk_ek,2023,182
arkitekt,2007,
arkitekt,2008,
arkitekt,2009,
arkitekt,2010,
arkitekt,2011,
arkitekt,2012,
arkitekt,2013,
arkitekt,2014,
arkitekt,2015,
arkitekt,2016,
arkitekt,2017,1245
arkitekt,2018,
arkitekt,2019,1586
arkitekt,2020,
arkitekt,2021,754
arkitekt,2022,
arkitekt,2023,904
forsknings,2007,
forsknings,2008,
forsknings,2009,
forsknings,2010,
forsknings,2011,
forsknings,2012,
forsknings,2013,
forsknings,2014,
forsknings,2015,
forsknings,2016,
forsknings,2017,3314
forsknings,2018,
forsknings,2019,2791
forsknings,2020,
forsknings,2021,5263
forsknings,2022,
forsknings,2023,7216
rek_vet_civ_int,2007,
rek_vet_civ_int,2008,
rek_vet_civ_int,2009,
rek_vet_civ_int,2010,
rek_vet_civ_int,2011,
rek_vet_civ_int,2012,
rek_vet_civ_int,2013,
rek_vet_civ_int,2014,
rek_vet_civ_int,2015,
rek_vet_civ_int,2016,
rek_vet_civ_int,2017,95
rek_vet_civ_int,2018,
rek_vet_civ_int,2019,179
rek_vet_civ_int,2020,
rek_vet_civ_int,2021,
rek_vet_civ_int,2022,
rek_vet_civ_int,2023,66
