sni_id,year,tot_egen_fou
service_motor_hotell,2009,2266
service_motor_hotell,2011,4798
service_motor_hotell,2013,5276
service_motor_hotell,2015,5752
service_motor_hotell,2017,7060
service_motor_hotell,2019,7578
service_motor_hotell,2021,7405
service_motor_hotell,2023,6947
detaljhandel_ut_mot,2007,34
detaljhandel_ut_mot,2009,19
detaljhandel_ut_mot,2011,19
detaljhandel_ut_mot,2013,228
detaljhandel_ut_mot,2015,90
detaljhandel_ut_mot,2017,48
detaljhandel_ut_mot,2019,
detaljhandel_ut_mot,2021,26
detaljhandel_ut_mot,2023,104
transport_mag,2007,
transport_mag,2009,130
transport_mag,2011,148
transport_mag,2013,323
transport_mag,2015,332
transport_mag,2017,268
transport_mag,2019,59
transport_mag,2021,138
transport_mag,2023,247
forlagsverksamhet_film,2007,1086
forlagsverksamhet_film,2009,757
forlagsverksamhet_film,2011,709
forlagsverksamhet_film,2013,1121
forlagsverksamhet_film,2015,1997
forlagsverksamhet_film,2017,1847
forlagsverksamhet_film,2019,2286
forlagsverksamhet_film,2021,3962
forlagsverksamhet_film,2023,3100
information_komm,2007,5861
information_komm,2009,4565
information_komm,2011,3364
information_komm,2013,4522
information_komm,2015,6246
information_komm,2017,21862
information_komm,2019,30455
information_komm,2021,34163
information_komm,2023,36374
finans,2007,798
finans,2009,626
finans,2011,812
finans,2013,877
finans,2015,1172
finans,2017,1248
finans,2019,1937
finans,2021,3096
finans,2023,2703
fast_uthyr_rese,2007,
fast_uthyr_rese,2009,24
fast_uthyr_rese,2011,87
fast_uthyr_rese,2013,407
fast_uthyr_rese,2015,393
fast_uthyr_rese,2017,442
fast_uthyr_rese,2019,581
fast_uthyr_rese,2021,571
fast_uthyr_rese,2023,349
juridisk_ek,2007,
juridisk_ek,2009,161
juridisk_ek,2011,223
juridisk_ek,2013,785
juridisk_ek,2015,976
juridisk_ek,2017,841
juridisk_ek,2019,426
juridisk_ek,2021,678
juridisk_ek,2023,578
arkitekt,2007,1298
arkitekt,2009,1062
arkitekt,2011,1572
arkitekt,2013,1918
arkitekt,2015,2267
