sni_id,year,ant_for_hundra
avfallshantering_ater,2005,
avfallshantering_ater,2006,9
avfallshantering_ater,2007,6
avfallshantering_ater,2008,8
avfallshantering_ater,2009,8
avfallshantering_ater,2010,11
avfallshantering_ater,2011,13
avfallshantering_ater,2012,14
avfallshantering_ater,2013,15
avfallshantering_ater,2014,14
avfallshantering_ater,2015,13
avfallshantering_ater,2016,11
avfallshantering_ater,2017,14
avfallshantering_ater,2018,16
avfallshantering_ater,2019,18
avfallshantering_ater,2020,18
avfallshantering_ater,2021,23
avfallshantering_ater,2022,
avfallshantering_ater,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,28
banker,2007,28
banker,2008,24
banker,2009,22
banker,2010,26
banker,2011,25
banker,2012,24
banker,2013,25
banker,2014,26
banker,2015,24
banker,2016,24
banker,2017,26
banker,2018,26
banker,2019,28
banker,2020,33
banker,2021,33
banker,2022,
banker,2023,
bekladnadsindustri,2000,
bekladnadsindustri,2001,
bekladnadsindustri,2002,
bekladnadsindustri,2003,
bekladnadsindustri,2004,
bekladnadsindustri,2005,
bekladnadsindustri,2006,0
bekladnadsindustri,2007,0
bekladnadsindustri,2008,0
bekladnadsindustri,2009,0
bekladnadsindustri,2010,1
bekladnadsindustri,2011,0
bekladnadsindustri,2012,0
bekladnadsindustri,2013,1
bekladnadsindustri,2014,1
bekladnadsindustri,2015,2
bekladnadsindustri,2016,1
bekladnadsindustri,2017,1
bekladnadsindustri,2018,2
bekladnadsindustri,2019,2
bekladnadsindustri,2020,2
bekladnadsindustri,2021,1
bekladnadsindustri,2022,
bekladnadsindustri,2023,
bibliotek_arki,2000,
bibliotek_arki,2001,
bibliotek_arki,2002,
bibliotek_arki,2003,
bibliotek_arki,2004,
bibliotek_arki,2005,
bibliotek_arki,2006,10
bibliotek_arki,2007,11
bibliotek_arki,2008,9
bibliotek_arki,2009,9
bibliotek_arki,2010,9
bibliotek_arki,2011,9
bibliotek_arki,2012,12
bibliotek_arki,2013,12
bibliotek_arki,2014,10
bibliotek_arki,2015,13
bibliotek_arki,2016,10
bibliotek_arki,2017,10
bibliotek_arki,2018,10
bibliotek_arki,2019,9
bibliotek_arki,2020,12
bibliotek_arki,2021,13
bibliotek_arki,2022,
bibliotek_arki,2023,
byggentreprenorer,2000,
byggentreprenorer,2001,
byggentreprenorer,2002,
byggentreprenorer,2003,
byggentreprenorer,2004,
byggentreprenorer,2005,
byggentreprenorer,2006,30
byggentreprenorer,2007,29
byggentreprenorer,2008,27
byggentreprenorer,2009,26
byggentreprenorer,2010,25
byggentreprenorer,2011,34
byggentreprenorer,2012,32
byggentreprenorer,2013,27
byggentreprenorer,2014,33
byggentreprenorer,2015,38
byggentreprenorer,2016,41
byggentreprenorer,2017,47
byggentreprenorer,2018,46
byggentreprenorer,2019,45
byggentreprenorer,2020,43
byggentreprenorer,2021,41
byggentreprenorer,2022,
byggentreprenorer,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,35
offentlig_forv,2007,30
offentlig_forv,2008,31
offentlig_forv,2009,38
offentlig_forv,2010,38
offentlig_forv,2011,38
offentlig_forv,2012,39
offentlig_forv,2013,38
offentlig_forv,2014,39
offentlig_forv,2015,39
offentlig_forv,2016,34
offentlig_forv,2017,36
offentlig_forv,2018,35
offentlig_forv,2019,37
offentlig_forv,2020,36
offentlig_forv,2021,37
offentlig_forv,2022,
offentlig_forv,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,
detaljhandel_ut_mot,2004,
detaljhandel_ut_mot,2005,
detaljhandel_ut_mot,2006,87
detaljhandel_ut_mot,2007,86
detaljhandel_ut_mot,2008,103
detaljhandel_ut_mot,2009,99
detaljhandel_ut_mot,2010,105
detaljhandel_ut_mot,2011,110
detaljhandel_ut_mot,2012,109
detaljhandel_ut_mot,2013,109
detaljhandel_ut_mot,2014,115
detaljhandel_ut_mot,2015,114
detaljhandel_ut_mot,2016,119
detaljhandel_ut_mot,2017,124
detaljhandel_ut_mot,2018,170
detaljhandel_ut_mot,2019,173
detaljhandel_ut_mot,2020,185
detaljhandel_ut_mot,2021,165
detaljhandel_ut_mot,2022,
detaljhandel_ut_mot,2023,
drycker,2000,
drycker,2001,
drycker,2002,
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,3
drycker,2007,3
drycker,2008,3
drycker,2009,3
