sni_id,year,bran_energi
totalt_tota,2007,
totalt_tota,2008,19761
totalt_tota,2009,20226
totalt_tota,2010,20146
totalt_tota,2011,20414
totalt_tota,2012,19906
totalt_tota,2013,19895
totalt_tota,2014,19319
totalt_tota,2015,20356
totalt_tota,2016,23559
totalt_tota,2017,23664
totalt_tota,2018,25270
totalt_tota,2019,26617
totalt_tota,2020,25523
totalt_tota,2021,26543
totalt_tota,2022,23725
totalt_tota,2023,
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,615
jordbruksforetag_serv,2009,630
jordbruksforetag_serv,2010,689
jordbruksforetag_serv,2011,736
jordbruksforetag_serv,2012,750
jordbruksforetag_serv,2013,762
jordbruksforetag_serv,2014,733
jordbruksforetag_serv,2015,774
jordbruksforetag_serv,2016,879
jordbruksforetag_serv,2017,881
jordbruksforetag_serv,2018,918
jordbruksforetag_serv,2019,992
jordbruksforetag_serv,2020,946
jordbruksforetag_serv,2021,961
jordbruksforetag_serv,2022,603
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,698
skogsbruksforetag,2009,709
skogsbruksforetag,2010,699
skogsbruksforetag,2011,764
skogsbruksforetag,2012,767
skogsbruksforetag,2013,762
skogsbruksforetag,2014,751
skogsbruksforetag,2015,789
skogsbruksforetag,2016,892
skogsbruksforetag,2017,892
skogsbruksforetag,2018,932
skogsbruksforetag,2019,1019
skogsbruksforetag,2020,987
skogsbruksforetag,2021,985
skogsbruksforetag,2022,606
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,5
fisk,2009,5
fisk,2010,5
fisk,2011,6
fisk,2012,6
fisk,2013,5
fisk,2014,5
fisk,2015,5
fisk,2016,6
fisk,2017,5
fisk,2018,5
fisk,2019,5
fisk,2020,5
fisk,2021,5
fisk,2022,3
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,31
utvinning_min,2009,24
utvinning_min,2010,29
utvinning_min,2011,59
utvinning_min,2012,65
utvinning_min,2013,61
utvinning_min,2014,77
utvinning_min,2015,94
utvinning_min,2016,235
utvinning_min,2017,264
utvinning_min,2018,311
utvinning_min,2019,308
utvinning_min,2020,508
utvinning_min,2021,626
utvinning_min,2022,562
utvinning_min,2023,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,72
livsmedel_dryck_tob,2009,71
livsmedel_dryck_tob,2010,64
livsmedel_dryck_tob,2011,101
livsmedel_dryck_tob,2012,100
livsmedel_dryck_tob,2013,99
livsmedel_dryck_tob,2014,92
livsmedel_dryck_tob,2015,93
livsmedel_dryck_tob,2016,110
livsmedel_dryck_tob,2017,104
livsmedel_dryck_tob,2018,113
livsmedel_dryck_tob,2019,119
livsmedel_dryck_tob,2020,114
livsmedel_dryck_tob,2021,120
livsmedel_dryck_tob,2022,139
livsmedel_dryck_tob,2023,
textil_bekl,2007,
textil_bekl,2008,13
textil_bekl,2009,13
textil_bekl,2010,12
textil_bekl,2011,15
textil_bekl,2012,14
textil_bekl,2013,13
textil_bekl,2014,12
textil_bekl,2015,13
textil_bekl,2016,15
textil_bekl,2017,15
textil_bekl,2018,15
textil_bekl,2019,15
textil_bekl,2020,14
textil_bekl,2021,15
textil_bekl,2022,13
textil_bekl,2023,
industri_for_tra,2007,
industri_for_tra,2008,86
industri_for_tra,2009,87
industri_for_tra,2010,89
industri_for_tra,2011,96
industri_for_tra,2012,96
industri_for_tra,2013,102
industri_for_tra,2014,102
industri_for_tra,2015,116
industri_for_tra,2016,208
industri_for_tra,2017,226
industri_for_tra,2018,258
industri_for_tra,2019,288
industri_for_tra,2020,284
industri_for_tra,2021,294
industri_for_tra,2022,185
industri_for_tra,2023,
massa_papp,2007,
massa_papp,2008,54
massa_papp,2009,54
massa_papp,2010,56
massa_papp,2011,330
massa_papp,2012,329
massa_papp,2013,345
massa_papp,2014,368
massa_papp,2015,383
massa_papp,2016,458
massa_papp,2017,463
massa_papp,2018,537
massa_papp,2019,595
massa_papp,2020,593
massa_papp,2021,919
massa_papp,2022,1629
massa_papp,2023,
grafisk,2007,
grafisk,2008,15
grafisk,2009,15
grafisk,2010,13
grafisk,2011,13
grafisk,2012,13
grafisk,2013,12
grafisk,2014,11
grafisk,2015,11
grafisk,2016,12
grafisk,2017,13
grafisk,2018,14
grafisk,2019,14
grafisk,2020,13
grafisk,2021,13
grafisk,2022,9
grafisk,2023,
industri_for_sten,2007,
industri_for_sten,2008,2
industri_for_sten,2009,2
industri_for_sten,2010,2
industri_for_sten,2011,7
industri_for_sten,2012,6
industri_for_sten,2013,7
industri_for_sten,2014,7
industri_for_sten,2015,7
industri_for_sten,2016,8
industri_for_sten,2017,10
industri_for_sten,2018,11
industri_for_sten,2019,15
industri_for_sten,2020,13
industri_for_sten,2021,0
industri_for_sten,2022,0
industri_for_sten,2023,
industri_for_bas,2007,
industri_for_bas,2008,19
industri_for_bas,2009,20
industri_for_bas,2010,17
industri_for_bas,2011,67
industri_for_bas,2012,65
industri_for_bas,2013,41
industri_for_bas,2014,37
industri_for_bas,2015,39
industri_for_bas,2016,46
industri_for_bas,2017,53
industri_for_bas,2018,68
industri_for_bas,2019,78
industri_for_bas,2020,80
industri_for_bas,2021,133
industri_for_bas,2022,233
industri_for_bas,2023,
gummi,2007,
gummi,2008,14
gummi,2009,14
gummi,2010,14
gummi,2011,18
gummi,2012,17
gummi,2013,17
gummi,2014,16
gummi,2015,17
gummi,2016,21
gummi,2017,20
gummi,2018,23
gummi,2019,23
gummi,2020,22
gummi,2021,24
gummi,2022,19
gummi,2023,
icke_met_andra,2007,
icke_met_andra,2008,23
icke_met_andra,2009,22
icke_met_andra,2010,22
icke_met_andra,2011,55
icke_met_andra,2012,59
icke_met_andra,2013,52
icke_met_andra,2014,55
icke_met_andra,2015,57
icke_met_andra,2016,68
icke_met_andra,2017,73
icke_met_andra,2018,82
icke_met_andra,2019,80
icke_met_andra,2020,76
icke_met_andra,2021,96
icke_met_andra,2022,150
icke_met_andra,2023,
metaller,2007,
metaller,2008,37
metaller,2009,37
metaller,2010,37
metaller,2011,113
metaller,2012,112
metaller,2013,103
metaller,2014,105
metaller,2015,107
metaller,2016,132
metaller,2017,141
metaller,2018,168
metaller,2019,167
metaller,2020,158
metaller,2021,217
metaller,2022,295
metaller,2023,
industri_for_met,2007,
industri_for_met,2008,83
industri_for_met,2009,82
industri_for_met,2010,81
industri_for_met,2011,89
industri_for_met,2012,91
industri_for_met,2013,92
industri_for_met,2014,87
industri_for_met,2015,91
industri_for_met,2016,107
industri_for_met,2017,111
industri_for_met,2018,121
industri_for_met,2019,128
industri_for_met,2020,121
industri_for_met,2021,125
industri_for_met,2022,89
industri_for_met,2023,
datorer_elek,2007,
datorer_elek,2008,14
datorer_elek,2009,14
datorer_elek,2010,13
datorer_elek,2011,12
datorer_elek,2012,11
datorer_elek,2013,10
datorer_elek,2014,9
datorer_elek,2015,9
datorer_elek,2016,10
datorer_elek,2017,9
datorer_elek,2018,11
datorer_elek,2019,11
datorer_elek,2020,11
datorer_elek,2021,11
datorer_elek,2022,7
datorer_elek,2023,
elapparatur,2007,
elapparatur,2008,11
elapparatur,2009,11
elapparatur,2010,17
elapparatur,2011,12
elapparatur,2012,11
elapparatur,2013,11
elapparatur,2014,11
elapparatur,2015,11
elapparatur,2016,14
elapparatur,2017,15
elapparatur,2018,17
elapparatur,2019,17
elapparatur,2020,16
elapparatur,2021,17
elapparatur,2022,11
elapparatur,2023,
ovrig_mask,2007,
ovrig_mask,2008,53
ovrig_mask,2009,49
ovrig_mask,2010,49
ovrig_mask,2011,51
ovrig_mask,2012,50
ovrig_mask,2013,53
ovrig_mask,2014,52
ovrig_mask,2015,58
ovrig_mask,2016,72
ovrig_mask,2017,74
ovrig_mask,2018,81
ovrig_mask,2019,81
ovrig_mask,2020,75
ovrig_mask,2021,82
ovrig_mask,2022,60
ovrig_mask,2023,
industri_for_mot,2007,
industri_for_mot,2008,57
industri_for_mot,2009,53
industri_for_mot,2010,52
industri_for_mot,2011,61
industri_for_mot,2012,55
industri_for_mot,2013,59
industri_for_mot,2014,60
industri_for_mot,2015,63
industri_for_mot,2016,74
industri_for_mot,2017,77
industri_for_mot,2018,95
industri_for_mot,2019,99
industri_for_mot,2020,78
industri_for_mot,2021,84
industri_for_mot,2022,60
industri_for_mot,2023,
andra_tran,2007,
andra_tran,2008,10
andra_tran,2009,10
andra_tran,2010,10
andra_tran,2011,10
andra_tran,2012,10
andra_tran,2013,10
andra_tran,2014,10
andra_tran,2015,10
andra_tran,2016,13
andra_tran,2017,13
andra_tran,2018,14
andra_tran,2019,15
andra_tran,2020,15
andra_tran,2021,16
andra_tran,2022,10
andra_tran,2023,
tillverkning_mob,2007,
tillverkning_mob,2008,31
tillverkning_mob,2009,30
tillverkning_mob,2010,30
tillverkning_mob,2011,31
tillverkning_mob,2012,31
tillverkning_mob,2013,30
tillverkning_mob,2014,28
tillverkning_mob,2015,30
tillverkning_mob,2016,35
tillverkning_mob,2017,34
tillverkning_mob,2018,37
tillverkning_mob,2019,39
tillverkning_mob,2020,37
tillverkning_mob,2021,38
tillverkning_mob,2022,25
tillverkning_mob,2023,
reparationsverkstader,2007,
reparationsverkstader,2008,41
reparationsverkstader,2009,41
reparationsverkstader,2010,42
reparationsverkstader,2011,46
reparationsverkstader,2012,47
reparationsverkstader,2013,50
reparationsverkstader,2014,47
reparationsverkstader,2015,50
reparationsverkstader,2016,63
reparationsverkstader,2017,64
reparationsverkstader,2018,70
reparationsverkstader,2019,76
reparationsverkstader,2020,77
reparationsverkstader,2021,78
reparationsverkstader,2022,50
reparationsverkstader,2023,
el_gas,2007,
el_gas,2008,15
el_gas,2009,16
el_gas,2010,18
el_gas,2011,255
el_gas,2012,225
el_gas,2013,191
el_gas,2014,142
el_gas,2015,111
el_gas,2016,136
el_gas,2017,106
el_gas,2018,171
el_gas,2019,134
el_gas,2020,104
el_gas,2021,116
el_gas,2022,96
el_gas,2023,
vattenforsorjning_e,2007,
vattenforsorjning_e,2008,6
vattenforsorjning_e,2009,6
vattenforsorjning_e,2010,7
vattenforsorjning_e,2011,7
vattenforsorjning_e,2012,8
vattenforsorjning_e,2013,9
vattenforsorjning_e,2014,10
vattenforsorjning_e,2015,11
vattenforsorjning_e,2016,13
vattenforsorjning_e,2017,13
vattenforsorjning_e,2018,14
vattenforsorjning_e,2019,16
vattenforsorjning_e,2020,17
vattenforsorjning_e,2021,18
vattenforsorjning_e,2022,16
vattenforsorjning_e,2023,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,93
vattenforsorjning_avlo,2009,100
vattenforsorjning_avlo,2010,114
vattenforsorjning_avlo,2011,121
vattenforsorjning_avlo,2012,119
vattenforsorjning_avlo,2013,118
vattenforsorjning_avlo,2014,118
vattenforsorjning_avlo,2015,131
vattenforsorjning_avlo,2016,152
vattenforsorjning_avlo,2017,147
vattenforsorjning_avlo,2018,159
vattenforsorjning_avlo,2019,152
vattenforsorjning_avlo,2020,130
vattenforsorjning_avlo,2021,142
vattenforsorjning_avlo,2022,129
vattenforsorjning_avlo,2023,
bygg,2007,
bygg,2008,1007
bygg,2009,1030
bygg,2010,1088
bygg,2011,1132
bygg,2012,1149
bygg,2013,1216
bygg,2014,1177
bygg,2015,1310
bygg,2016,1609
bygg,2017,1685
bygg,2018,1903
bygg,2019,2126
bygg,2020,2112
bygg,2021,2157
bygg,2022,1955
bygg,2023,
hand_g,2007,
hand_g,2008,1174
hand_g,2009,1118
hand_g,2010,1133
hand_g,2011,1196
hand_g,2012,1098
hand_g,2013,1110
hand_g,2014,1048
hand_g,2015,1127
hand_g,2016,1315
hand_g,2017,1315
hand_g,2018,1486
hand_g,2019,1657
hand_g,2020,1499
hand_g,2021,1501
hand_g,2022,1303
hand_g,2023,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,1659
landtransportforetag_rort,2009,1576
landtransportforetag_rort,2010,1664
landtransportforetag_rort,2011,1728
landtransportforetag_rort,2012,1637
landtransportforetag_rort,2013,1644
landtransportforetag_rort,2014,1566
landtransportforetag_rort,2015,1586
landtransportforetag_rort,2016,1761
landtransportforetag_rort,2017,1747
landtransportforetag_rort,2018,1875
landtransportforetag_rort,2019,1974
landtransportforetag_rort,2020,1802
landtransportforetag_rort,2021,1890
landtransportforetag_rort,2022,1177
landtransportforetag_rort,2023,
rederier,2007,
rederier,2008,32
rederier,2009,33
rederier,2010,35
rederier,2011,48
rederier,2012,52
rederier,2013,53
rederier,2014,52
rederier,2015,57
rederier,2016,70
rederier,2017,71
rederier,2018,85
rederier,2019,87
rederier,2020,89
rederier,2021,98
rederier,2022,89
rederier,2023,
flygbolag,2007,
flygbolag,2008,3
flygbolag,2009,3
flygbolag,2010,3
flygbolag,2011,2
flygbolag,2012,2
flygbolag,2013,1
flygbolag,2014,1
flygbolag,2015,1
flygbolag,2016,1
flygbolag,2017,1
flygbolag,2018,1
flygbolag,2019,1
flygbolag,2020,1
flygbolag,2021,1
flygbolag,2022,2
flygbolag,2023,
magasinering,2007,
magasinering,2008,339
magasinering,2009,377
magasinering,2010,357
magasinering,2011,379
magasinering,2012,370
magasinering,2013,385
magasinering,2014,384
magasinering,2015,422
magasinering,2016,480
magasinering,2017,497
magasinering,2018,544
magasinering,2019,621
magasinering,2020,616
magasinering,2021,660
magasinering,2022,598
magasinering,2023,
hotell_rest_i,2007,
hotell_rest_i,2008,64
hotell_rest_i,2009,68
hotell_rest_i,2010,67
hotell_rest_i,2011,67
hotell_rest_i,2012,67
hotell_rest_i,2013,68
hotell_rest_i,2014,65
hotell_rest_i,2015,70
hotell_rest_i,2016,81
hotell_rest_i,2017,82
hotell_rest_i,2018,87
hotell_rest_i,2019,90
hotell_rest_i,2020,85
hotell_rest_i,2021,87
hotell_rest_i,2022,78
hotell_rest_i,2023,
forlag,2007,
forlag,2008,18
forlag,2009,18
forlag,2010,17
forlag,2011,15
