sni_id,year,and_forb_inv
livsmedel_dryck_tob,2013,0.453271028037383
livsmedel_dryck_tob,2014,
livsmedel_dryck_tob,2015,0.357615894039735
livsmedel_dryck_tob,2016,
livsmedel_dryck_tob,2017,0.78125
livsmedel_dryck_tob,2018,
livsmedel_dryck_tob,2019,0.406626506024096
livsmedel_dryck_tob,2020,
livsmedel_dryck_tob,2021,0.747524752475248
livsmedel_dryck_tob,2022,0.419354838709677
livsmedel_dryck_tob,2023,
massa_papp,2000,
massa_papp,2001,
massa_papp,2002,
massa_papp,2003,
massa_papp,2004,
massa_papp,2005,
massa_papp,2006,
massa_papp,2007,
massa_papp,2008,0.528704939919893
massa_papp,2009,0.43859649122807
massa_papp,2010,0.75
massa_papp,2011,0.531073446327684
massa_papp,2012,
massa_papp,2013,0.135568513119534
massa_papp,2014,
massa_papp,2015,0.363363363363363
massa_papp,2016,0.427826086956522
massa_papp,2017,0.276988636363636
massa_papp,2018,0.338709677419355
massa_papp,2019,0.362934362934363
massa_papp,2020,0.633195020746888
massa_papp,2021,0.850961538461538
massa_papp,2022,
massa_papp,2023,
mobelindustri,2000,
mobelindustri,2001,
mobelindustri,2002,
mobelindustri,2003,
mobelindustri,2004,
mobelindustri,2005,
mobelindustri,2006,
mobelindustri,2007,
mobelindustri,2008,
mobelindustri,2009,0.620689655172414
mobelindustri,2010,
mobelindustri,2011,1
mobelindustri,2012,
mobelindustri,2013,0
mobelindustri,2014,0
mobelindustri,2015,0.727272727272727
mobelindustri,2016,
mobelindustri,2017,0.888888888888889
mobelindustri,2018,
mobelindustri,2019,0.6875
mobelindustri,2020,
mobelindustri,2021,
mobelindustri,2022,
mobelindustri,2023,
reparationsverkstader,2000,
reparationsverkstader,2001,
reparationsverkstader,2002,
reparationsverkstader,2003,
reparationsverkstader,2004,
reparationsverkstader,2005,
reparationsverkstader,2006,
reparationsverkstader,2007,
reparationsverkstader,2008,0.954545454545455
reparationsverkstader,2009,
reparationsverkstader,2010,0.684210526315789
reparationsverkstader,2011,0.333333333333333
reparationsverkstader,2012,0.652173913043478
reparationsverkstader,2013,
reparationsverkstader,2014,
reparationsverkstader,2015,0.6
reparationsverkstader,2016,
reparationsverkstader,2017,0.461538461538462
reparationsverkstader,2018,
reparationsverkstader,2019,0.5
reparationsverkstader,2020,
reparationsverkstader,2021,1
reparationsverkstader,2022,0.923076923076923
reparationsverkstader,2023,
stal_met_c,2000,
stal_met_c,2001,
stal_met_c,2002,
stal_met_c,2003,
stal_met_c,2004,
stal_met_c,2005,
stal_met_c,2006,
stal_met_c,2007,
stal_met_c,2008,0.316981132075472
stal_met_c,2009,0.386111111111111
stal_met_c,2010,
stal_met_c,2011,0.532915360501567
stal_met_c,2012,0.50137741046832
stal_met_c,2013,0.343333333333333
stal_met_c,2014,0.322097378277154
stal_met_c,2015,0.204161248374512
stal_met_c,2016,
stal_met_c,2017,0.294117647058824
stal_met_c,2018,0.235109717868339
stal_met_c,2019,0.266106442577031
stal_met_c,2020,0.295081967213115
stal_met_c,2021,0.310344827586207
stal_met_c,2022,0.365853658536585
stal_met_c,2023,
textil_bekl,2000,
textil_bekl,2001,
textil_bekl,2002,
textil_bekl,2003,
textil_bekl,2004,
textil_bekl,2005,
textil_bekl,2006,
textil_bekl,2007,
textil_bekl,2008,
textil_bekl,2009,
textil_bekl,2010,
textil_bekl,2011,
textil_bekl,2012,
textil_bekl,2013,1
textil_bekl,2014,
textil_bekl,2015,
textil_bekl,2016,
textil_bekl,2017,0.529411764705882
textil_bekl,2018,
textil_bekl,2019,
textil_bekl,2020,0.5
textil_bekl,2021,
textil_bekl,2022,
textil_bekl,2023,
industri_for_sten,2000,
industri_for_sten,2001,
industri_for_sten,2002,
industri_for_sten,2003,
industri_for_sten,2004,
industri_for_sten,2005,
industri_for_sten,2006,
industri_for_sten,2007,
industri_for_sten,2008,
industri_for_sten,2009,
industri_for_sten,2010,
industri_for_sten,2011,
industri_for_sten,2012,
industri_for_sten,2013,
industri_for_sten,2014,0.14070351758794
industri_for_sten,2015,0.212903225806452
industri_for_sten,2016,
industri_for_sten,2017,0.294117647058824
industri_for_sten,2018,
industri_for_sten,2019,
industri_for_sten,2020,
industri_for_sten,2021,
industri_for_sten,2022,
industri_for_sten,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,
totalt_tota,2004,
totalt_tota,2005,
totalt_tota,2006,
totalt_tota,2007,
totalt_tota,2008,0.498993963782696
totalt_tota,2009,0.53365539452496
totalt_tota,2010,0.556641492669924
totalt_tota,2011,0.506454816285998
totalt_tota,2012,0.431473956409309
totalt_tota,2013,0.448911917098446
totalt_tota,2014,0.440853658536585
totalt_tota,2015,0.344616561484031
totalt_tota,2016,0.512078220858896
totalt_tota,2017,0.560468140442133
totalt_tota,2018,0.660731809897659
totalt_tota,2019,0.560059052476178
totalt_tota,2020,0.452926484960365
totalt_tota,2021,0.707390648567119
totalt_tota,2022,0.483818770226537
totalt_tota,2023,
transportmedelsindustri,2000,
transportmedelsindustri,2001,
transportmedelsindustri,2002,
transportmedelsindustri,2003,
transportmedelsindustri,2004,
transportmedelsindustri,2005,
transportmedelsindustri,2006,
transportmedelsindustri,2007,
transportmedelsindustri,2008,0.65891472868217
transportmedelsindustri,2009,
transportmedelsindustri,2010,0.461538461538462
transportmedelsindustri,2011,
transportmedelsindustri,2012,0.557377049180328
transportmedelsindustri,2013,0.360655737704918
transportmedelsindustri,2014,0.344827586206897
transportmedelsindustri,2015,0.179487179487179
transportmedelsindustri,2016,
transportmedelsindustri,2017,0.486111111111111
transportmedelsindustri,2018,
transportmedelsindustri,2019,
transportmedelsindustri,2020,
transportmedelsindustri,2021,0.716186252771619
transportmedelsindustri,2022,0.40650406504065
transportmedelsindustri,2023,
utvinning_malm,2000,
utvinning_malm,2001,
utvinning_malm,2002,
utvinning_malm,2003,
utvinning_malm,2004,
utvinning_malm,2005,
utvinning_malm,2006,
utvinning_malm,2007,
utvinning_malm,2008,
utvinning_malm,2009,
utvinning_malm,2010,
utvinning_malm,2011,
utvinning_malm,2012,
utvinning_malm,2013,0.119521912350598
utvinning_malm,2014,
utvinning_malm,2015,
utvinning_malm,2016,0.280434782608696
utvinning_malm,2017,
utvinning_malm,2018,0.37516339869281
utvinning_malm,2019,0.547776726584674
utvinning_malm,2020,
utvinning_malm,2021,
utvinning_malm,2022,
utvinning_malm,2023,
ovrig_mask,2000,
ovrig_mask,2001,
ovrig_mask,2002,
ovrig_mask,2003,
ovrig_mask,2004,
ovrig_mask,2005,
ovrig_mask,2006,
ovrig_mask,2007,
ovrig_mask,2008,
ovrig_mask,2009,0.567164179104478
ovrig_mask,2010,
ovrig_mask,2011,0.359375
ovrig_mask,2012,0.485714285714286
ovrig_mask,2013,0.297872340425532
ovrig_mask,2014,0.634920634920635
ovrig_mask,2015,0.925
ovrig_mask,2016,0.352941176470588
ovrig_mask,2017,
ovrig_mask,2018,0.719298245614035
ovrig_mask,2019,0.730769230769231
ovrig_mask,2020,0.823529411764706
ovrig_mask,2021,
ovrig_mask,2022,
ovrig_mask,2023,
