sni_id,year,kem_tonne
industri_for_mot,2019,432833
industri_for_mot,2020,406575
andra_tran,2008,46867
andra_tran,2009,20964
andra_tran,2010,30773
andra_tran,2011,41287
andra_tran,2012,59381
andra_tran,2013,45632
andra_tran,2014,52317
andra_tran,2015,72403
andra_tran,2016,58321
andra_tran,2017,57905
andra_tran,2018,105627
andra_tran,2019,90284
andra_tran,2020,58701
tillverkning_mob,2008,131611
tillverkning_mob,2009,103607
tillverkning_mob,2010,169229
tillverkning_mob,2011,172471
tillverkning_mob,2012,160769
tillverkning_mob,2013,138301
tillverkning_mob,2014,162117
tillverkning_mob,2015,220495
tillverkning_mob,2016,233997
tillverkning_mob,2017,220916
tillverkning_mob,2018,210694
tillverkning_mob,2019,208104
tillverkning_mob,2020,221613
reparationsverkstader,2008,23675
reparationsverkstader,2009,16218
reparationsverkstader,2010,19258
reparationsverkstader,2011,13490
reparationsverkstader,2012,13438
reparationsverkstader,2013,12891
reparationsverkstader,2014,14434
reparationsverkstader,2015,18282
reparationsverkstader,2016,19957
reparationsverkstader,2017,20671
reparationsverkstader,2018,19559
reparationsverkstader,2019,24468
reparationsverkstader,2020,25380
el_gas,2008,89789
el_gas,2009,105292
el_gas,2010,168976
el_gas,2011,137793
el_gas,2012,159347
el_gas,2013,155770
el_gas,2014,169903
el_gas,2015,240077
el_gas,2016,249284
el_gas,2017,211603
el_gas,2018,226140
el_gas,2019,253487
el_gas,2020,185720
vattenforsorjning_avlo,2008,636
vattenforsorjning_avlo,2009,-2426
vattenforsorjning_avlo,2010,1569
vattenforsorjning_avlo,2011,664
vattenforsorjning_avlo,2012,-972
vattenforsorjning_avlo,2013,-447
vattenforsorjning_avlo,2014,250
vattenforsorjning_avlo,2015,7581
vattenforsorjning_avlo,2016,2432
vattenforsorjning_avlo,2017,892
vattenforsorjning_avlo,2018,3834
vattenforsorjning_avlo,2019,4434
vattenforsorjning_avlo,2020,6269
bygg,2008,1909556
bygg,2009,1530258
bygg,2010,1835188
bygg,2011,2003228
bygg,2012,1998152
bygg,2013,1831479
bygg,2014,2108982
bygg,2015,3079929
bygg,2016,3485959
bygg,2017,3452194
bygg,2018,3660080
bygg,2019,3524991
bygg,2020,3528883
hand_g,2008,415242
hand_g,2009,370759
hand_g,2010,512167
hand_g,2011,548951
hand_g,2012,623912
hand_g,2013,494712
hand_g,2014,559028
hand_g,2015,1004409
hand_g,2016,1037732
hand_g,2017,914267
hand_g,2018,1014932
hand_g,2019,935246
hand_g,2020,975289
landtransportforetag_rort,2008,70210
landtransportforetag_rort,2009,64695
landtransportforetag_rort,2010,112242
landtransportforetag_rort,2011,114226
landtransportforetag_rort,2012,137100
landtransportforetag_rort,2013,113176
landtransportforetag_rort,2014,107451
landtransportforetag_rort,2015,97757
landtransportforetag_rort,2016,114061
landtransportforetag_rort,2017,115618
landtransportforetag_rort,2018,138631
landtransportforetag_rort,2019,118317
landtransportforetag_rort,2020,129867
rederier,2008,3168
rederier,2009,2368
rederier,2010,5689
rederier,2011,4596
rederier,2012,4836
rederier,2013,3171
rederier,2014,2933
rederier,2015,4055
rederier,2016,4505
rederier,2017,4268
rederier,2018,9295
rederier,2019,4753
rederier,2020,4244
flygbolag,2008,25241
flygbolag,2009,14852
flygbolag,2010,36792
flygbolag,2011,33973
flygbolag,2012,55808
flygbolag,2013,20165
flygbolag,2014,30245
flygbolag,2015,33935
flygbolag,2016,45192
flygbolag,2017,40873
flygbolag,2018,54198
flygbolag,2019,35428
flygbolag,2020,15585
magasinering,2008,57406
magasinering,2009,54642
magasinering,2010,79077
magasinering,2011,73209
magasinering,2012,87388
magasinering,2013,68446
magasinering,2014,67947
magasinering,2015,107201
magasinering,2016,106224
magasinering,2017,99926
magasinering,2018,110764
magasinering,2019,98298
magasinering,2020,115502
hotell_rest_i,2008,94287
hotell_rest_i,2009,87776
hotell_rest_i,2010,130828
hotell_rest_i,2011,135951
