sni_id,year,bidr_egen_fou
forlagsverksamhet_film,2007,
forlagsverksamhet_film,2009,
forlagsverksamhet_film,2011,
forlagsverksamhet_film,2013,
forlagsverksamhet_film,2015,
forlagsverksamhet_film,2017,
forlagsverksamhet_film,2019,63
forlagsverksamhet_film,2021,839
forlagsverksamhet_film,2023,175
information_komm,2007,
information_komm,2009,
information_komm,2011,
information_komm,2013,
information_komm,2015,
information_komm,2017,567
information_komm,2019,681
information_komm,2021,1079
information_komm,2023,616
finans,2007,
finans,2009,
finans,2011,
finans,2013,
finans,2015,
finans,2017,
finans,2019,
finans,2021,47
finans,2023,9
fast_uthyr_rese,2007,
fast_uthyr_rese,2009,
fast_uthyr_rese,2011,
fast_uthyr_rese,2013,
fast_uthyr_rese,2015,
fast_uthyr_rese,2017,
fast_uthyr_rese,2019,0
fast_uthyr_rese,2021,
fast_uthyr_rese,2023,78
juridisk_ek,2007,
juridisk_ek,2009,
juridisk_ek,2011,
juridisk_ek,2013,
juridisk_ek,2015,
juridisk_ek,2017,
juridisk_ek,2019,66
juridisk_ek,2021,80
juridisk_ek,2023,44
arkitekt,2007,
arkitekt,2009,
arkitekt,2011,
arkitekt,2013,
arkitekt,2015,
arkitekt,2017,563
arkitekt,2019,1206
arkitekt,2021,148
arkitekt,2023,934
forsknings,2007,
forsknings,2009,
forsknings,2011,
forsknings,2013,
forsknings,2015,
forsknings,2017,1253
forsknings,2019,1371
forsknings,2021,4541
forsknings,2023,2499
rek_vet_civ_int,2007,
rek_vet_civ_int,2009,
rek_vet_civ_int,2011,
rek_vet_civ_int,2013,
rek_vet_civ_int,2015,
rek_vet_civ_int,2017,48
rek_vet_civ_int,2019,154
rek_vet_civ_int,2021,
rek_vet_civ_int,2023,83
