sni_id,year,ror_egen_fou
marknadsproduktion_varo,2007,52465
marknadsproduktion_varo,2009,57496
marknadsproduktion_varo,2011,56311
marknadsproduktion_varo,2013,59478
marknadsproduktion_varo,2015,64338
marknadsproduktion_varo,2017,58271
marknadsproduktion_varo,2019,58794
marknadsproduktion_varo,2021,63782
marknadsproduktion_varo,2023,89825
skog_gruv,2007,
skog_gruv,2009,319
skog_gruv,2011,356
skog_gruv,2013,275
skog_gruv,2015,320
skog_gruv,2017,365
skog_gruv,2019,376
skog_gruv,2021,579
skog_gruv,2023,701
tillverkningsindustrin_c,2007,51687
tillverkningsindustrin_c,2009,56908
tillverkningsindustrin_c,2011,55709
tillverkningsindustrin_c,2013,58658
tillverkningsindustrin_c,2015,63055
tillverkningsindustrin_c,2017,56935
tillverkningsindustrin_c,2019,57537
tillverkningsindustrin_c,2021,62253
tillverkningsindustrin_c,2023,87878
livsmedel_dryck_tob,2007,353
livsmedel_dryck_tob,2009,312
livsmedel_dryck_tob,2011,410
livsmedel_dryck_tob,2013,377
livsmedel_dryck_tob,2015,347
livsmedel_dryck_tob,2017,
livsmedel_dryck_tob,2019,295
livsmedel_dryck_tob,2021,307
livsmedel_dryck_tob,2023,435
tex_tra_graf,2007,
tex_tra_graf,2009,107
tex_tra_graf,2011,
tex_tra_graf,2013,91
tex_tra_graf,2015,218
tex_tra_graf,2017,164
tex_tra_graf,2019,
tex_tra_graf,2021,202
tex_tra_graf,2023,151
industri_for_tra,2007,
industri_for_tra,2009,27
industri_for_tra,2011,
industri_for_tra,2013,22
industri_for_tra,2015,142
industri_for_tra,2017,52
industri_for_tra,2019,
industri_for_tra,2021,138
industri_for_tra,2023,104
massa_papp,2007,2164
massa_papp,2009,
massa_papp,2011,861
massa_papp,2013,1123
massa_papp,2015,
massa_papp,2017,1279
massa_papp,2019,1466
massa_papp,2021,1514
massa_papp,2023,1562
kol_pet_kem,2007,1733
kol_pet_kem,2009,1805
kol_pet_kem,2011,1584
kol_pet_kem,2013,1937
kol_pet_kem,2015,1330
kol_pet_kem,2017,1697
kol_pet_kem,2019,1917
kol_pet_kem,2021,1343
kol_pet_kem,2023,1132
farmaceutiska_basp,2007,
farmaceutiska_basp,2009,5361
farmaceutiska_basp,2011,6952
farmaceutiska_basp,2013,6764
farmaceutiska_basp,2015,7349
farmaceutiska_basp,2017,
farmaceutiska_basp,2019,
farmaceutiska_basp,2021,
farmaceutiska_basp,2023,12106
gummi,2007,155
gummi,2009,
gummi,2011,210
gummi,2013,207
gummi,2015,301
gummi,2017,637
gummi,2019,235
gummi,2021,171
gummi,2023,236
icke_met_andra,2007,68
icke_met_andra,2009,103
icke_met_andra,2011,
icke_met_andra,2013,132
icke_met_andra,2015,137
icke_met_andra,2017,135
icke_met_andra,2019,133
icke_met_andra,2021,106
icke_met_andra,2023,168
metaller,2007,1256
metaller,2009,1334
metaller,2011,1384
metaller,2013,2022
metaller,2015,1961
metaller,2017,1573
metaller,2019,2047
metaller,2021,
metaller,2023,793
metall_dator_elap,2007,23668
metall_dator_elap,2009,27728
metall_dator_elap,2011,27662
metall_dator_elap,2013,27290
metall_dator_elap,2015,30021
metall_dator_elap,2017,15137
metall_dator_elap,2019,15793
metall_dator_elap,2021,19368
metall_dator_elap,2023,28148
metall_dator_elap_transp,2007,36572
metall_dator_elap_transp,2009,42770
metall_dator_elap_transp,2011,42640
metall_dator_elap_transp,2013,44627
metall_dator_elap_transp,2015,49114
metall_dator_elap_transp,2017,43441
metall_dator_elap_transp,2019,45470
metall_dator_elap_transp,2021,49823
metall_dator_elap_transp,2023,70360
industri_for_met,2007,1268
industri_for_met,2009,1849
industri_for_met,2011,766
industri_for_met,2013,966
industri_for_met,2015,640
industri_for_met,2017,1381
industri_for_met,2019,1804
industri_for_met,2021,2901
industri_for_met,2023,3367
datorer_elek,2007,15793
datorer_elek,2009,18496
datorer_elek,2011,18953
datorer_elek,2013,17442
datorer_elek,2015,19436
datorer_elek,2017,2141
datorer_elek,2019,2374
datorer_elek,2021,3622
datorer_elek,2023,3863
elapparatur,2007,1978
elapparatur,2009,2218
elapparatur,2011,2311
elapparatur,2013,2775
elapparatur,2015,3481
elapparatur,2017,3764
elapparatur,2019,3031
elapparatur,2021,2910
elapparatur,2023,4030
ovrig_mask,2007,4628
ovrig_mask,2009,5164
ovrig_mask,2011,5632
ovrig_mask,2013,6107
ovrig_mask,2015,6464
ovrig_mask,2017,7850
ovrig_mask,2019,8584
ovrig_mask,2021,9935
ovrig_mask,2023,16888
transportmedelsindustri,2007,12904
transportmedelsindustri,2009,15043
transportmedelsindustri,2011,14978
transportmedelsindustri,2013,17336
transportmedelsindustri,2015,19093
transportmedelsindustri,2017,28304
transportmedelsindustri,2019,29676
transportmedelsindustri,2021,30455
transportmedelsindustri,2023,42212
tillverkning_mob,2007,1112
tillverkning_mob,2009,1026
tillverkning_mob,2011,1101
tillverkning_mob,2013,1290
tillverkning_mob,2015,1070
tillverkning_mob,2017,927
tillverkning_mob,2019,885
tillverkning_mob,2021,912
tillverkning_mob,2023,900
reparationsverkstader,2007,572
reparationsverkstader,2009,866
reparationsverkstader,2011,
reparationsverkstader,2013,
reparationsverkstader,2015,
reparationsverkstader,2017,58
reparationsverkstader,2019,
reparationsverkstader,2021,9
reparationsverkstader,2023,33
el_gas_avl,2007,86
el_gas_avl,2009,104
el_gas_avl,2011,93
el_gas_avl,2013,313
el_gas_avl,2015,672
