sni_id,year,utsl_ghg
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,277
fastighetsbolag_g,2009,270
fastighetsbolag_g,2010,308
fastighetsbolag_g,2011,254
fastighetsbolag_g,2012,225
fastighetsbolag_g,2013,203
fastighetsbolag_g,2014,212
fastighetsbolag_g,2015,204
fastighetsbolag_g,2016,200
fastighetsbolag_g,2017,188
fastighetsbolag_g,2018,183
fastighetsbolag_g,2019,182
fastighetsbolag_g,2020,169
fastighetsbolag_g,2021,166
fastighetsbolag_g,2022,152
fastighetsbolag_g,2023,
film_vide_j,2000,
film_vide_j,2001,
film_vide_j,2002,
film_vide_j,2003,
film_vide_j,2004,
film_vide_j,2005,
film_vide_j,2006,
film_vide_j,2007,
film_vide_j,2008,24
film_vide_j,2009,22
film_vide_j,2010,23
film_vide_j,2011,23
film_vide_j,2012,20
film_vide_j,2013,19
film_vide_j,2014,19
film_vide_j,2015,18
film_vide_j,2016,17
film_vide_j,2017,16
film_vide_j,2018,15
film_vide_j,2019,14
film_vide_j,2020,14
film_vide_j,2021,14
film_vide_j,2022,13
film_vide_j,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,
fisk,2007,
fisk,2008,163
fisk,2009,149
fisk,2010,138
fisk,2011,127
fisk,2012,125
fisk,2013,122
fisk,2014,119
fisk,2015,115
fisk,2016,109
fisk,2017,102
fisk,2018,96
fisk,2019,91
fisk,2020,87
fisk,2021,89
fisk,2022,88
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,
flygbolag,2007,
flygbolag,2008,2313
flygbolag,2009,1958
flygbolag,2010,1959
flygbolag,2011,2121
flygbolag,2012,2034
flygbolag,2013,2087
flygbolag,2014,2120
flygbolag,2015,2099
flygbolag,2016,2543
flygbolag,2017,2607
flygbolag,2018,2475
flygbolag,2019,2358
flygbolag,2020,908
flygbolag,2021,1084
flygbolag,2022,1846
flygbolag,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,
forlag,2007,
forlag,2008,19
forlag,2009,19
forlag,2010,19
forlag,2011,17
forlag,2012,16
forlag,2013,15
forlag,2014,13
forlag,2015,12
forlag,2016,11
forlag,2017,10
forlag,2018,10
forlag,2019,9
forlag,2020,8
forlag,2021,7
forlag,2022,6
forlag,2023,
forsakrings,2000,
forsakrings,2001,
forsakrings,2002,
forsakrings,2003,
forsakrings,2004,
forsakrings,2005,
forsakrings,2006,
forsakrings,2007,
forsakrings,2008,13
forsakrings,2009,13
forsakrings,2010,18
forsakrings,2011,11
forsakrings,2012,10
forsakrings,2013,10
forsakrings,2014,10
forsakrings,2015,9
forsakrings,2016,9
forsakrings,2017,9
forsakrings,2018,7
forsakrings,2019,5
forsakrings,2020,5
forsakrings,2021,5
forsakrings,2022,4
forsakrings,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,
grafisk,2007,
grafisk,2008,43
grafisk,2009,34
grafisk,2010,30
grafisk,2011,30
grafisk,2012,28
grafisk,2013,25
grafisk,2014,23
grafisk,2015,21
grafisk,2016,17
grafisk,2017,18
grafisk,2018,17
grafisk,2019,17
grafisk,2020,14
grafisk,2021,13
grafisk,2022,11
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,
gummi,2007,
gummi,2008,127
gummi,2009,119
gummi,2010,137
gummi,2011,112
gummi,2012,98
gummi,2013,93
gummi,2014,90
gummi,2015,89
gummi,2016,87
gummi,2017,79
gummi,2018,76
gummi,2019,76
gummi,2020,79
gummi,2021,63
gummi,2022,59
gummi,2023,
hand_g,2000,
hand_g,2001,
hand_g,2002,
hand_g,2003,
hand_g,2004,
hand_g,2005,
hand_g,2006,
hand_g,2007,
hand_g,2008,2115
hand_g,2009,1925
hand_g,2010,2002
hand_g,2011,2066
hand_g,2012,1871
hand_g,2013,1856
hand_g,2014,1729
hand_g,2015,1728
hand_g,2016,1700
hand_g,2017,1650
hand_g,2018,1647
hand_g,2019,1672
hand_g,2020,1518
hand_g,2021,1481
hand_g,2022,1364
hand_g,2023,
hotell_rest_i,2000,
hotell_rest_i,2001,
hotell_rest_i,2002,
hotell_rest_i,2003,
hotell_rest_i,2004,
hotell_rest_i,2005,
hotell_rest_i,2006,
hotell_rest_i,2007,
hotell_rest_i,2008,87
hotell_rest_i,2009,87
hotell_rest_i,2010,92
hotell_rest_i,2011,86
hotell_rest_i,2012,81
hotell_rest_i,2013,81
hotell_rest_i,2014,79
hotell_rest_i,2015,80
hotell_rest_i,2016,78
hotell_rest_i,2017,77
hotell_rest_i,2018,74
hotell_rest_i,2019,72
