sni_id,year,g_forsk
marknadsproduktion_tjan,2017,3780
marknadsproduktion_tjan,2019,2746
marknadsproduktion_tjan,2021,3054
marknadsproduktion_tjan,2023,1849
service_motor_hotell,2007,
service_motor_hotell,2009,
service_motor_hotell,2011,
service_motor_hotell,2013,236
service_motor_hotell,2015,
service_motor_hotell,2017,
service_motor_hotell,2019,317
service_motor_hotell,2021,
service_motor_hotell,2023,156
detaljhandel_ut_mot,2007,
detaljhandel_ut_mot,2009,
detaljhandel_ut_mot,2011,
detaljhandel_ut_mot,2013,2
detaljhandel_ut_mot,2015,
detaljhandel_ut_mot,2017,
detaljhandel_ut_mot,2019,
detaljhandel_ut_mot,2021,0
detaljhandel_ut_mot,2023,1
transport_mag,2007,
transport_mag,2009,
transport_mag,2011,
transport_mag,2013,
transport_mag,2015,8
transport_mag,2017,
transport_mag,2019,2
transport_mag,2021,6
transport_mag,2023,1
forlagsverksamhet_film,2007,
forlagsverksamhet_film,2009,
forlagsverksamhet_film,2011,
forlagsverksamhet_film,2013,26
forlagsverksamhet_film,2015,
forlagsverksamhet_film,2017,
forlagsverksamhet_film,2019,44
forlagsverksamhet_film,2021,675
forlagsverksamhet_film,2023,56
information_komm,2007,
information_komm,2009,
information_komm,2011,
information_komm,2013,58
information_komm,2015,
information_komm,2017,175
information_komm,2019,160
information_komm,2021,817
information_komm,2023,203
finans,2007,
finans,2009,
finans,2011,
finans,2013,5
finans,2015,11
finans,2017,27
finans,2019,25
finans,2021,
finans,2023,2
fast_uthyr_rese,2007,
fast_uthyr_rese,2009,
fast_uthyr_rese,2011,
fast_uthyr_rese,2013,1
fast_uthyr_rese,2015,
fast_uthyr_rese,2017,9
fast_uthyr_rese,2019,3
fast_uthyr_rese,2021,
fast_uthyr_rese,2023,3
juridisk_ek,2007,
juridisk_ek,2009,
juridisk_ek,2011,
juridisk_ek,2013,5
juridisk_ek,2015,13
juridisk_ek,2017,5
juridisk_ek,2019,33
juridisk_ek,2021,
juridisk_ek,2023,1
arkitekt,2007,
arkitekt,2009,
arkitekt,2011,
arkitekt,2013,106
arkitekt,2015,76
arkitekt,2017,57
arkitekt,2019,171
arkitekt,2021,110
arkitekt,2023,63
forsknings,2007,
forsknings,2009,
forsknings,2011,
forsknings,2013,
forsknings,2015,322
forsknings,2017,2837
forsknings,2019,2021
forsknings,2021,1811
forsknings,2023,1403
rek_vet_civ_int,2007,
rek_vet_civ_int,2009,
rek_vet_civ_int,2011,
rek_vet_civ_int,2013,10
rek_vet_civ_int,2015,10
rek_vet_civ_int,2017,7
rek_vet_civ_int,2019,14
rek_vet_civ_int,2021,20
rek_vet_civ_int,2023,17
