sni_id,year,ton_kem
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,975005
jordbruksforetag_serv,2009,810978
jordbruksforetag_serv,2010,934732
jordbruksforetag_serv,2011,827672
jordbruksforetag_serv,2012,904343
jordbruksforetag_serv,2013,802479
jordbruksforetag_serv,2014,1175924
jordbruksforetag_serv,2015,905204
jordbruksforetag_serv,2016,924493
jordbruksforetag_serv,2017,1004257.94182
jordbruksforetag_serv,2018,835598.995175
jordbruksforetag_serv,2019,961846.901814433
jordbruksforetag_serv,2020,1011431.63327107
jordbruksforetag_serv,2021,954163.021723333
jordbruksforetag_serv,2022,890009.250819933
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,64525
skogsbruksforetag,2009,44056
skogsbruksforetag,2010,36055
skogsbruksforetag,2011,22339
skogsbruksforetag,2012,23348
skogsbruksforetag,2013,15230
skogsbruksforetag,2014,14838
skogsbruksforetag,2015,20139
skogsbruksforetag,2016,16828
skogsbruksforetag,2017,19778.8236
skogsbruksforetag,2018,19577.4193866667
skogsbruksforetag,2019,21634.6800869333
skogsbruksforetag,2020,34358.4884644
skogsbruksforetag,2021,32711.8783436533
skogsbruksforetag,2022,26160.6788408267
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,19
fisk,2009,30
fisk,2010,24
fisk,2011,52
fisk,2012,32
fisk,2013,95
fisk,2014,79
fisk,2015,264
fisk,2016,81
fisk,2017,117.015799999999
fisk,2018,55.192
fisk,2019,74.2509999999997
fisk,2020,52.355
fisk,2021,61.018165
fisk,2022,51.129
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,448556
utvinning_min,2009,377574
utvinning_min,2010,475851
utvinning_min,2011,432431
utvinning_min,2012,457771
utvinning_min,2013,452628
utvinning_min,2014,424908
utvinning_min,2015,424270
utvinning_min,2016,414006
utvinning_min,2017,456000.4894
utvinning_min,2018,370927.969106667
utvinning_min,2019,437892.870526667
utvinning_min,2020,449611.230706667
utvinning_min,2021,531257.4505348
utvinning_min,2022,481830.207262134
utvinning_min,2023,
livsmedel,2007,
livsmedel,2008,214009
livsmedel,2009,215632
livsmedel,2010,236418
livsmedel,2011,249261
livsmedel,2012,250802
livsmedel,2013,236327
livsmedel,2014,202035
livsmedel,2015,205861
livsmedel,2016,230162
livsmedel,2017,245000.9518244
livsmedel,2018,248384.399896733
livsmedel,2019,135236.2356943
livsmedel,2020,219794.777819299
livsmedel,2021,208298.538568386
livsmedel,2022,228705.892402012
livsmedel,2023,
drycker,2007,
drycker,2008,9
drycker,2009,47
drycker,2010,188
drycker,2011,70
drycker,2012,147
drycker,2013,1276
drycker,2014,134
drycker,2015,174
drycker,2016,550
drycker,2017,559.52676
