sni_id,year,vaxthus_utslapp
andra_tran,2008,32
andra_tran,2009,26
andra_tran,2010,27
andra_tran,2011,25
andra_tran,2012,18
andra_tran,2013,18
andra_tran,2014,17
andra_tran,2015,17
andra_tran,2016,19
andra_tran,2017,16
andra_tran,2018,15
andra_tran,2019,16
andra_tran,2020,20
andra_tran,2021,13
andra_tran,2022,11
andra_tran,2023,9
annan_serv,2008,133
annan_serv,2009,128
annan_serv,2010,137
annan_serv,2011,142
annan_serv,2012,125
annan_serv,2013,121
annan_serv,2014,121
annan_serv,2015,101
annan_serv,2016,99
annan_serv,2017,96
annan_serv,2018,91
annan_serv,2019,89
annan_serv,2020,84
annan_serv,2021,82
annan_serv,2022,72
annan_serv,2023,69
arbetsformedling_rese,2008,232
arbetsformedling_rese,2009,226
arbetsformedling_rese,2010,254
arbetsformedling_rese,2011,268
arbetsformedling_rese,2012,250
arbetsformedling_rese,2013,253
arbetsformedling_rese,2014,240
arbetsformedling_rese,2015,241
arbetsformedling_rese,2016,227
arbetsformedling_rese,2017,227
arbetsformedling_rese,2018,223
arbetsformedling_rese,2019,228
arbetsformedling_rese,2020,221
arbetsformedling_rese,2021,224
arbetsformedling_rese,2022,200
arbetsformedling_rese,2023,200
arkitekt_tekn,2008,158
arkitekt_tekn,2009,158
arkitekt_tekn,2010,157
arkitekt_tekn,2011,158
arkitekt_tekn,2012,150
arkitekt_tekn,2013,147
arkitekt_tekn,2014,141
arkitekt_tekn,2015,141
arkitekt_tekn,2016,134
arkitekt_tekn,2017,134
arkitekt_tekn,2018,132
arkitekt_tekn,2019,131
arkitekt_tekn,2020,125
arkitekt_tekn,2021,118
arkitekt_tekn,2022,103
arkitekt_tekn,2023,101
banker,2008,46
banker,2009,39
banker,2010,65
banker,2011,64
banker,2012,72
banker,2013,69
banker,2014,66
banker,2015,69
banker,2016,69
banker,2017,72
banker,2018,69
banker,2019,69
banker,2020,65
banker,2021,92
banker,2022,87
banker,2023,83
bygg,2008,1848
bygg,2009,1845
bygg,2010,1959
bygg,2011,1981
bygg,2012,1920
bygg,2013,1891
bygg,2014,1819
bygg,2015,1870
bygg,2016,1872
bygg,2017,1775
bygg,2018,1750
bygg,2019,1818
bygg,2020,1818
bygg,2021,1897
bygg,2022,1708
bygg,2023,1616
dataprogrammering_data,2008,94
dataprogrammering_data,2009,95
dataprogrammering_data,2010,85
dataprogrammering_data,2011,91
dataprogrammering_data,2012,82
dataprogrammering_data,2013,80
dataprogrammering_data,2014,75
dataprogrammering_data,2015,73
dataprogrammering_data,2016,69
dataprogrammering_data,2017,68
dataprogrammering_data,2018,66
dataprogrammering_data,2019,62
dataprogrammering_data,2020,55
dataprogrammering_data,2021,51
dataprogrammering_data,2022,42
dataprogrammering_data,2023,38
datorer_elek,2008,27
datorer_elek,2009,22
datorer_elek,2010,21
datorer_elek,2011,19
datorer_elek,2012,19
datorer_elek,2013,17
datorer_elek,2014,14
datorer_elek,2015,12
datorer_elek,2016,12
datorer_elek,2017,10
datorer_elek,2018,10
datorer_elek,2019,9
datorer_elek,2020,9
datorer_elek,2021,9
datorer_elek,2022,8
datorer_elek,2023,6
el_gas,2008,7642
el_gas,2009,7976
el_gas,2010,10516
el_gas,2011,8369
el_gas,2012,7813
el_gas,2013,7450
el_gas,2014,6479
el_gas,2015,6306
el_gas,2016,6889
el_gas,2017,6518
el_gas,2018,6745
el_gas,2019,5676
el_gas,2020,5322
el_gas,2021,6013
el_gas,2022,5707
el_gas,2023,5314
elapparatur,2008,48
elapparatur,2009,60
elapparatur,2010,63
elapparatur,2011,40
elapparatur,2012,34
elapparatur,2013,33
elapparatur,2014,29
elapparatur,2015,32
elapparatur,2016,34
elapparatur,2017,27
elapparatur,2018,26
elapparatur,2019,24
elapparatur,2020,18
elapparatur,2021,20
elapparatur,2022,20
elapparatur,2023,17
fastighetsbolag_g,2008,291
fastighetsbolag_g,2009,280
fastighetsbolag_g,2010,322
fastighetsbolag_g,2011,269
fastighetsbolag_g,2012,238
fastighetsbolag_g,2013,214
fastighetsbolag_g,2014,223
fastighetsbolag_g,2015,177
fastighetsbolag_g,2016,183
fastighetsbolag_g,2017,166
fastighetsbolag_g,2018,161
fastighetsbolag_g,2019,154
fastighetsbolag_g,2020,174
fastighetsbolag_g,2021,167
fastighetsbolag_g,2022,148
fastighetsbolag_g,2023,146
film_vide_j,2008,23
film_vide_j,2009,22
film_vide_j,2010,23
film_vide_j,2011,22
film_vide_j,2012,20
film_vide_j,2013,19
film_vide_j,2014,19
film_vide_j,2015,16
film_vide_j,2016,15
film_vide_j,2017,14
film_vide_j,2018,13
film_vide_j,2019,13
film_vide_j,2020,13
film_vide_j,2021,13
film_vide_j,2022,12
film_vide_j,2023,13
fisk,2008,161
fisk,2009,140
fisk,2010,124
fisk,2011,109
fisk,2012,107
fisk,2013,104
fisk,2014,100
fisk,2015,95
fisk,2016,88
fisk,2017,80
fisk,2018,72
fisk,2019,66
fisk,2020,61
fisk,2021,62
fisk,2022,62
fisk,2023,59
flygbolag,2008,2321
flygbolag,2009,1965
flygbolag,2010,1966
flygbolag,2011,2128
flygbolag,2012,2042
flygbolag,2013,2095
flygbolag,2014,2127
flygbolag,2015,2106
flygbolag,2016,2551
flygbolag,2017,2615
flygbolag,2018,2501
flygbolag,2019,2370
flygbolag,2020,864
flygbolag,2021,1050
flygbolag,2022,2237
flygbolag,2023,2570
forlag,2008,20
forlag,2009,19
forlag,2010,19
forlag,2011,17
forlag,2012,16
forlag,2013,15
forlag,2014,13
forlag,2015,12
forlag,2016,11
forlag,2017,10
forlag,2018,10
forlag,2019,9
forlag,2020,8
forlag,2021,7
forlag,2022,6
forlag,2023,6
forsakrings,2008,13
forsakrings,2009,13
forsakrings,2010,18
forsakrings,2011,11
forsakrings,2012,10
forsakrings,2013,10
forsakrings,2014,10
forsakrings,2015,9
forsakrings,2016,9
forsakrings,2017,9
forsakrings,2018,6
forsakrings,2019,5
forsakrings,2020,5
forsakrings,2021,4
forsakrings,2022,4
forsakrings,2023,4
grafisk,2008,32
grafisk,2009,28
grafisk,2010,26
grafisk,2011,25
grafisk,2012,24
grafisk,2013,21
grafisk,2014,20
grafisk,2015,19
grafisk,2016,15
grafisk,2017,15
grafisk,2018,14
grafisk,2019,14
grafisk,2020,12
grafisk,2021,11
grafisk,2022,10
grafisk,2023,8
gummi,2008,126
gummi,2009,118
gummi,2010,136
gummi,2011,111
gummi,2012,98
gummi,2013,93
gummi,2014,89
gummi,2015,88
gummi,2016,86
gummi,2017,78
gummi,2018,75
gummi,2019,75
gummi,2020,78
gummi,2021,62
gummi,2022,59
gummi,2023,49
halso,2008,164
halso,2009,152
halso,2010,163
halso,2011,141
halso,2012,137
halso,2013,121
halso,2014,127
halso,2015,128
halso,2016,116
halso,2017,151
halso,2018,123
halso,2019,117
halso,2020,110
halso,2021,106
halso,2022,97
halso,2023,93
hand_g,2008,2137
hand_g,2009,1942
hand_g,2010,2020
hand_g,2011,2083
hand_g,2012,1889
hand_g,2013,1875
hand_g,2014,1742
hand_g,2015,1683
hand_g,2016,1673
hand_g,2017,1642
hand_g,2018,1620
hand_g,2019,1659
hand_g,2020,1495
hand_g,2021,1466
hand_g,2022,1320
hand_g,2023,1342
hotell_rest_i,2008,89
hotell_rest_i,2009,89
hotell_rest_i,2010,94
hotell_rest_i,2011,89
hotell_rest_i,2012,83
hotell_rest_i,2013,83
hotell_rest_i,2014,81
hotell_rest_i,2015,80
hotell_rest_i,2016,79
hotell_rest_i,2017,79
hotell_rest_i,2018,75
hotell_rest_i,2019,72
hotell_rest_i,2020,67
hotell_rest_i,2021,67
hotell_rest_i,2022,60
hotell_rest_i,2023,60
hushall,2008,23
hushall,2009,22
hushall,2010,23
hushall,2011,22
hushall,2012,22
hushall,2013,21
hushall,2014,21
hushall,2015,21
hushall,2016,20
hushall,2017,19
hushall,2018,18
hushall,2019,18
hushall,2020,17
hushall,2021,16
hushall,2022,14
hushall,2023,14
icke_met_andra,2008,3468
icke_met_andra,2009,2943
icke_met_andra,2010,3340
icke_met_andra,2011,3425
icke_met_andra,2012,3465
