sni_id,year,fordonskatt
icke_met_andra,2007,
icke_met_andra,2008,6
icke_met_andra,2009,7
icke_met_andra,2010,7
icke_met_andra,2011,7
icke_met_andra,2012,8
icke_met_andra,2013,9
icke_met_andra,2014,6
icke_met_andra,2015,8
icke_met_andra,2016,13
icke_met_andra,2017,14
icke_met_andra,2018,13
icke_met_andra,2019,14
icke_met_andra,2020,15
icke_met_andra,2021,16
icke_met_andra,2022,17
icke_met_andra,2023,
metaller,2007,
metaller,2008,4
metaller,2009,5
metaller,2010,1
metaller,2011,3
metaller,2012,3
metaller,2013,3
metaller,2014,2
metaller,2015,3
metaller,2016,5
metaller,2017,4
metaller,2018,4
metaller,2019,5
metaller,2020,6
metaller,2021,6
metaller,2022,6
metaller,2023,
industri_for_met,2007,
industri_for_met,2008,44
industri_for_met,2009,48
industri_for_met,2010,46
industri_for_met,2011,43
industri_for_met,2012,48
industri_for_met,2013,59
industri_for_met,2014,36
industri_for_met,2015,38
industri_for_met,2016,52
industri_for_met,2017,52
industri_for_met,2018,47
industri_for_met,2019,52
industri_for_met,2020,56
industri_for_met,2021,61
industri_for_met,2022,63
industri_for_met,2023,
datorer_elek,2007,
datorer_elek,2008,4
datorer_elek,2009,4
datorer_elek,2010,4
datorer_elek,2011,3
datorer_elek,2012,4
datorer_elek,2013,3
datorer_elek,2014,0
datorer_elek,2015,2
datorer_elek,2016,4
datorer_elek,2017,3
datorer_elek,2018,3
datorer_elek,2019,3
datorer_elek,2020,4
datorer_elek,2021,4
datorer_elek,2022,4
datorer_elek,2023,
elapparatur,2007,
elapparatur,2008,3
elapparatur,2009,3
elapparatur,2010,3
elapparatur,2011,3
elapparatur,2012,2
elapparatur,2013,3
elapparatur,2014,1
elapparatur,2015,3
elapparatur,2016,5
elapparatur,2017,5
elapparatur,2018,4
elapparatur,2019,5
elapparatur,2020,6
elapparatur,2021,6
elapparatur,2022,6
elapparatur,2023,
ovrig_mask,2007,
ovrig_mask,2008,19
ovrig_mask,2009,20
ovrig_mask,2010,19
ovrig_mask,2011,18
ovrig_mask,2012,18
ovrig_mask,2013,20
ovrig_mask,2014,13
ovrig_mask,2015,18
ovrig_mask,2016,28
ovrig_mask,2017,26
ovrig_mask,2018,24
ovrig_mask,2019,27
ovrig_mask,2020,31
ovrig_mask,2021,34
ovrig_mask,2022,37
ovrig_mask,2023,
industri_for_mot,2007,
industri_for_mot,2008,25
industri_for_mot,2009,23
industri_for_mot,2010,23
industri_for_mot,2011,20
industri_for_mot,2012,17
industri_for_mot,2013,17
industri_for_mot,2014,10
industri_for_mot,2015,14
industri_for_mot,2016,23
industri_for_mot,2017,19
industri_for_mot,2018,20
industri_for_mot,2019,27
industri_for_mot,2020,30
industri_for_mot,2021,28
industri_for_mot,2022,26
industri_for_mot,2023,
andra_tran,2007,
andra_tran,2008,4
andra_tran,2009,4
andra_tran,2010,4
andra_tran,2011,4
andra_tran,2012,4
andra_tran,2013,5
andra_tran,2014,3
andra_tran,2015,4
andra_tran,2016,6
andra_tran,2017,5
andra_tran,2018,5
andra_tran,2019,6
andra_tran,2020,7
andra_tran,2021,7
andra_tran,2022,7
andra_tran,2023,
tillverkning_mob,2007,
tillverkning_mob,2008,9
tillverkning_mob,2009,11
tillverkning_mob,2010,11
tillverkning_mob,2011,9
tillverkning_mob,2012,10
tillverkning_mob,2013,10
tillverkning_mob,2014,5
tillverkning_mob,2015,8
tillverkning_mob,2016,12
tillverkning_mob,2017,11
tillverkning_mob,2018,10
tillverkning_mob,2019,11
tillverkning_mob,2020,12
tillverkning_mob,2021,13
tillverkning_mob,2022,14
tillverkning_mob,2023,
reparationsverkstader,2007,
reparationsverkstader,2008,21
reparationsverkstader,2009,23
reparationsverkstader,2010,22
reparationsverkstader,2011,23
reparationsverkstader,2012,28
reparationsverkstader,2013,33
reparationsverkstader,2014,21
reparationsverkstader,2015,22
reparationsverkstader,2016,28
reparationsverkstader,2017,30
reparationsverkstader,2018,27
reparationsverkstader,2019,31
reparationsverkstader,2020,35
reparationsverkstader,2021,39
reparationsverkstader,2022,42
reparationsverkstader,2023,
el_gas,2007,
el_gas,2008,15
el_gas,2009,16
el_gas,2010,16
el_gas,2011,15
el_gas,2012,16
el_gas,2013,17
el_gas,2014,11
el_gas,2015,14
el_gas,2016,20
el_gas,2017,20
el_gas,2018,19
el_gas,2019,21
el_gas,2020,25
el_gas,2021,22
el_gas,2022,21
el_gas,2023,
vattenforsorjning_e,2007,
vattenforsorjning_e,2008,1
vattenforsorjning_e,2009,2
vattenforsorjning_e,2010,2
vattenforsorjning_e,2011,2
vattenforsorjning_e,2012,2
vattenforsorjning_e,2013,2
vattenforsorjning_e,2014,1
vattenforsorjning_e,2015,2
vattenforsorjning_e,2016,2
vattenforsorjning_e,2017,2
vattenforsorjning_e,2018,2
vattenforsorjning_e,2019,3
vattenforsorjning_e,2020,3
vattenforsorjning_e,2021,3
vattenforsorjning_e,2022,3
vattenforsorjning_e,2023,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,23
vattenforsorjning_avlo,2009,27
vattenforsorjning_avlo,2010,26
vattenforsorjning_avlo,2011,25
vattenforsorjning_avlo,2012,28
vattenforsorjning_avlo,2013,35
vattenforsorjning_avlo,2014,22
vattenforsorjning_avlo,2015,24
vattenforsorjning_avlo,2016,30
vattenforsorjning_avlo,2017,32
vattenforsorjning_avlo,2018,31
vattenforsorjning_avlo,2019,35
vattenforsorjning_avlo,2020,37
vattenforsorjning_avlo,2021,40
vattenforsorjning_avlo,2022,36
vattenforsorjning_avlo,2023,
bygg,2007,
bygg,2008,423
bygg,2009,473
bygg,2010,503
bygg,2011,474
bygg,2012,571
bygg,2013,732
bygg,2014,494
bygg,2015,538
bygg,2016,715
bygg,2017,767
bygg,2018,712
bygg,2019,813
bygg,2020,914
bygg,2021,1053
bygg,2022,954
bygg,2023,
hand_g,2007,
hand_g,2008,762
hand_g,2009,734
hand_g,2010,734
hand_g,2011,692
hand_g,2012,658
hand_g,2013,600
hand_g,2014,346
hand_g,2015,387
hand_g,2016,507
hand_g,2017,519
hand_g,2018,508
hand_g,2019,635
hand_g,2020,741
hand_g,2021,778
hand_g,2022,725
hand_g,2023,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,231
landtransportforetag_rort,2009,247
landtransportforetag_rort,2010,262
landtransportforetag_rort,2011,239
landtransportforetag_rort,2012,301
landtransportforetag_rort,2013,401
landtransportforetag_rort,2014,291
landtransportforetag_rort,2015,348
landtransportforetag_rort,2016,545
landtransportforetag_rort,2017,617
landtransportforetag_rort,2018,541
landtransportforetag_rort,2019,580
landtransportforetag_rort,2020,599
landtransportforetag_rort,2021,625
landtransportforetag_rort,2022,654
landtransportforetag_rort,2023,
rederier,2007,
rederier,2008,1
rederier,2009,2
rederier,2010,1
rederier,2011,1
rederier,2012,2
rederier,2013,2
rederier,2014,1
rederier,2015,1
rederier,2016,2
rederier,2017,2
rederier,2018,2
rederier,2019,2
rederier,2020,2
rederier,2021,3
rederier,2022,2
rederier,2023,
flygbolag,2007,
flygbolag,2008,1
flygbolag,2009,1
flygbolag,2010,1
flygbolag,2011,0
flygbolag,2012,2
flygbolag,2013,1
flygbolag,2014,0
flygbolag,2015,1
flygbolag,2016,1
flygbolag,2017,1
flygbolag,2018,1
flygbolag,2019,1
flygbolag,2020,1
flygbolag,2021,1
flygbolag,2022,2
flygbolag,2023,
magasinering,2007,
magasinering,2008,46
magasinering,2009,49
magasinering,2010,49
magasinering,2011,48
magasinering,2012,57
magasinering,2013,69
magasinering,2014,48
magasinering,2015,50
magasinering,2016,68
magasinering,2017,68
magasinering,2018,65
magasinering,2019,75
magasinering,2020,85
magasinering,2021,93
magasinering,2022,84
magasinering,2023,
hotell_rest_i,2007,
hotell_rest_i,2008,31
hotell_rest_i,2009,35
hotell_rest_i,2010,35
hotell_rest_i,2011,31
hotell_rest_i,2012,34
hotell_rest_i,2013,37
