sni_id,year,varuexp
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,
drycker,2007,
drycker,2008,
drycker,2009,
drycker,2010,6635748
drycker,2011,6495786
drycker,2012,6873014
drycker,2013,7007818
drycker,2014,6844132
drycker,2015,7803896
drycker,2016,7865490
drycker,2017,7957956
drycker,2018,8446689
drycker,2019,8930031
drycker,2020,8136355
drycker,2021,8848839
drycker,2022,10258831
drycker,2023,11172104
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,
el_gas,2009,
el_gas,2010,5648828
el_gas,2011,8274967
el_gas,2012,8506457
el_gas,2013,7764067
el_gas,2014,8393933
el_gas,2015,6607345
el_gas,2016,7191199
el_gas,2017,9531179
el_gas,2018,13714003
el_gas,2019,14299933
el_gas,2020,7586647
el_gas,2021,21070728
el_gas,2022,47989391
el_gas,2023,22621074
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,
elapparatur,2007,
elapparatur,2008,
elapparatur,2009,
elapparatur,2010,57962778
elapparatur,2011,61361994
elapparatur,2012,61837556
elapparatur,2013,58260114
elapparatur,2014,60822335
elapparatur,2015,63262679
elapparatur,2016,60178754
elapparatur,2017,66209882
elapparatur,2018,70010587
elapparatur,2019,66323336
elapparatur,2020,73451847
elapparatur,2021,82458551
elapparatur,2022,94903050
elapparatur,2023,108859518
farmaceutiska_basp,2000,
farmaceutiska_basp,2001,
farmaceutiska_basp,2002,
farmaceutiska_basp,2003,
farmaceutiska_basp,2004,
farmaceutiska_basp,2005,
farmaceutiska_basp,2006,
farmaceutiska_basp,2007,
farmaceutiska_basp,2008,
farmaceutiska_basp,2009,
farmaceutiska_basp,2010,66777829
farmaceutiska_basp,2011,58334620
farmaceutiska_basp,2012,57954445
farmaceutiska_basp,2013,56652700
farmaceutiska_basp,2014,59481200
farmaceutiska_basp,2015,71387690
farmaceutiska_basp,2016,69628646
farmaceutiska_basp,2017,74284561
farmaceutiska_basp,2018,82482591
farmaceutiska_basp,2019,105927199
farmaceutiska_basp,2020,115220195
farmaceutiska_basp,2021,101480917
farmaceutiska_basp,2022,140927245
farmaceutiska_basp,2023,154615663
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,
fisk,2007,
fisk,2008,
fisk,2009,
fisk,2010,12958186
fisk,2011,12243894
fisk,2012,13106694
fisk,2013,17145429
fisk,2014,20075510
fisk,2015,23598148
fisk,2016,29918219
fisk,2017,27448547
fisk,2018,33336438
fisk,2019,33083019
fisk,2020,30312963
fisk,2021,31193324
fisk,2022,40755278
fisk,2023,47225128
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,
forlag,2007,
forlag,2008,
forlag,2009,
forlag,2010,5899622
forlag,2011,6181263
forlag,2012,6532366
forlag,2013,4945328
forlag,2014,5208505
forlag,2015,6128885
forlag,2016,5327358
forlag,2017,3018090
forlag,2018,2276896
forlag,2019,2209032
forlag,2020,2218404
forlag,2021,2389741
forlag,2022,2581857
forlag,2023,2496840
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,
grafisk,2007,
grafisk,2008,
grafisk,2009,
grafisk,2010,40368
grafisk,2011,35879
grafisk,2012,32428
grafisk,2013,25737
grafisk,2014,17478
grafisk,2015,19151
grafisk,2016,19938
grafisk,2017,18426
grafisk,2018,16595
grafisk,2019,13571
grafisk,2020,14282
grafisk,2021,12150
grafisk,2022,15108
grafisk,2023,13559
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,
gummi,2007,
gummi,2008,
gummi,2009,
gummi,2010,27086119
gummi,2011,27799437
gummi,2012,27222579
gummi,2013,26914435
gummi,2014,29792943
gummi,2015,30446612
gummi,2016,30352131
gummi,2017,32344426
gummi,2018,35534747
gummi,2019,37287743
gummi,2020,35694958
gummi,2021,39589274
gummi,2022,45189051
gummi,2023,46002635
industrianlaggningar_samt,2000,
industrianlaggningar_samt,2001,
industrianlaggningar_samt,2002,
industrianlaggningar_samt,2003,
industrianlaggningar_samt,2004,
industrianlaggningar_samt,2005,
industrianlaggningar_samt,2006,
industrianlaggningar_samt,2007,
industrianlaggningar_samt,2008,
industrianlaggningar_samt,2009,
industrianlaggningar_samt,2010,251476
industrianlaggningar_samt,2011,353633
industrianlaggningar_samt,2012,559342
industrianlaggningar_samt,2013,952363
industrianlaggningar_samt,2014,823093
industrianlaggningar_samt,2015,855195
industrianlaggningar_samt,2016,1119104
industrianlaggningar_samt,2017,809089
industrianlaggningar_samt,2018,714921
industrianlaggningar_samt,2019,780635
industrianlaggningar_samt,2020,366261
industrianlaggningar_samt,2021,354174
industrianlaggningar_samt,2022,14643646
industrianlaggningar_samt,2023,13240279
jordbruks,2000,
jordbruks,2001,
jordbruks,2002,
jordbruks,2003,
jordbruks,2004,
jordbruks,2005,
jordbruks,2006,
jordbruks,2007,
jordbruks,2008,
jordbruks,2009,
jordbruks,2010,3965499
jordbruks,2011,4189429
jordbruks,2012,4785308
jordbruks,2013,4168485
jordbruks,2014,4870812
jordbruks,2015,5596273
jordbruks,2016,5355188
jordbruks,2017,5282666
jordbruks,2018,4489721
jordbruks,2019,5506484
jordbruks,2020,6449742
jordbruks,2021,5725056
jordbruks,2022,7582561
jordbruks,2023,6471730
kemikalier,2000,
kemikalier,2001,
kemikalier,2002,
kemikalier,2003,
kemikalier,2004,
kemikalier,2005,
kemikalier,2006,
kemikalier,2007,
kemikalier,2008,
kemikalier,2009,
kemikalier,2010,70057614
kemikalier,2011,73507911
kemikalier,2012,74409908
kemikalier,2013,75587294
kemikalier,2014,74875809
kemikalier,2015,79682275
kemikalier,2016,78714686
kemikalier,2017,85513303
