sni_id,year,ghg_utslapp_prod
industri_for_met,2012,542273
industri_for_met,2013,539723
industri_for_met,2014,549038
industri_for_met,2015,487884
industri_for_met,2016,554715
industri_for_met,2017,580632
industri_for_met,2018,557038
industri_for_met,2019,629884
industri_for_met,2020,567184
industri_for_met,2021,647924
industri_for_met,2022,681791
industri_for_met,2023,
datorer_elek,2007,
datorer_elek,2008,660831
datorer_elek,2009,646499
datorer_elek,2010,670156
datorer_elek,2011,642687
datorer_elek,2012,632450
datorer_elek,2013,603829
datorer_elek,2014,543816
datorer_elek,2015,483221
datorer_elek,2016,544066
datorer_elek,2017,608726
datorer_elek,2018,580990
datorer_elek,2019,533420
datorer_elek,2020,529089
datorer_elek,2021,678666
datorer_elek,2022,755400
datorer_elek,2023,
elapparatur,2007,
elapparatur,2008,134698
elapparatur,2009,102202
elapparatur,2010,131542
elapparatur,2011,128731
elapparatur,2012,112852
elapparatur,2013,118892
elapparatur,2014,108434
elapparatur,2015,101541
elapparatur,2016,108011
elapparatur,2017,108448
elapparatur,2018,107937
elapparatur,2019,106806
elapparatur,2020,98085
elapparatur,2021,118819
elapparatur,2022,124320
elapparatur,2023,
ovrig_mask,2007,
ovrig_mask,2008,336534
ovrig_mask,2009,236837
ovrig_mask,2010,289534
ovrig_mask,2011,296784
ovrig_mask,2012,268131
ovrig_mask,2013,266525
ovrig_mask,2014,240644
ovrig_mask,2015,199117
ovrig_mask,2016,218158
ovrig_mask,2017,222999
ovrig_mask,2018,210741
ovrig_mask,2019,205459
ovrig_mask,2020,186142
ovrig_mask,2021,217549
ovrig_mask,2022,234355
ovrig_mask,2023,
industri_for_mot,2007,
industri_for_mot,2008,255434
industri_for_mot,2009,188085
industri_for_mot,2010,271774
industri_for_mot,2011,282409
industri_for_mot,2012,259431
industri_for_mot,2013,274004
industri_for_mot,2014,239446
industri_for_mot,2015,239607
industri_for_mot,2016,265394
industri_for_mot,2017,262652
industri_for_mot,2018,238412
industri_for_mot,2019,220919
industri_for_mot,2020,191422
industri_for_mot,2021,224510
industri_for_mot,2022,239588
industri_for_mot,2023,
andra_tran,2007,
andra_tran,2008,104336
andra_tran,2009,81423
andra_tran,2010,68790
andra_tran,2011,87114
