sni_id,year,tillamp_forsk
transport_mag,2015,81
transport_mag,2017,
transport_mag,2019,18
transport_mag,2021,62
transport_mag,2023,76
forlagsverksamhet_film,2007,
forlagsverksamhet_film,2009,
forlagsverksamhet_film,2011,
forlagsverksamhet_film,2013,210
forlagsverksamhet_film,2015,
forlagsverksamhet_film,2017,
forlagsverksamhet_film,2019,337
forlagsverksamhet_film,2021,813
forlagsverksamhet_film,2023,878
information_komm,2007,
information_komm,2009,
information_komm,2011,
information_komm,2013,326
information_komm,2015,
information_komm,2017,980
information_komm,2019,1835
information_komm,2021,2077
information_komm,2023,2810
finans,2007,
finans,2009,
finans,2011,
finans,2013,23
finans,2015,89
finans,2017,104
finans,2019,202
finans,2021,208
finans,2023,144
fast_uthyr_rese,2007,
fast_uthyr_rese,2009,
fast_uthyr_rese,2011,
fast_uthyr_rese,2013,12
fast_uthyr_rese,2015,
fast_uthyr_rese,2017,7
fast_uthyr_rese,2019,173
fast_uthyr_rese,2021,12
fast_uthyr_rese,2023,152
juridisk_ek,2007,
juridisk_ek,2009,
juridisk_ek,2011,
juridisk_ek,2013,67
juridisk_ek,2015,49
juridisk_ek,2017,58
juridisk_ek,2019,144
juridisk_ek,2021,11
juridisk_ek,2023,36
arkitekt,2007,
arkitekt,2009,
arkitekt,2011,
arkitekt,2013,319
arkitekt,2015,597
arkitekt,2017,661
arkitekt,2019,1411
arkitekt,2021,454
arkitekt,2023,465
forsknings,2007,
forsknings,2009,
forsknings,2011,
forsknings,2013,
forsknings,2015,1950
forsknings,2017,3366
forsknings,2019,3021
forsknings,2021,4470
forsknings,2023,5072
rek_vet_civ_int,2007,
rek_vet_civ_int,2009,
rek_vet_civ_int,2011,
rek_vet_civ_int,2013,243
rek_vet_civ_int,2015,351
rek_vet_civ_int,2017,490
rek_vet_civ_int,2019,236
rek_vet_civ_int,2021,384
rek_vet_civ_int,2023,514
