sni_id,year,trangselskatt
industri_for_met,2010,3
industri_for_met,2011,3
industri_for_met,2012,3
industri_for_met,2013,6
industri_for_met,2014,6
industri_for_met,2015,6
industri_for_met,2016,8
industri_for_met,2017,9
industri_for_met,2018,9
industri_for_met,2019,7
industri_for_met,2020,10
industri_for_met,2021,9
industri_for_met,2022,9
industri_for_met,2023,
datorer_elek,2007,
datorer_elek,2008,1
datorer_elek,2009,1
datorer_elek,2010,1
datorer_elek,2011,1
datorer_elek,2012,1
datorer_elek,2013,1
datorer_elek,2014,1
datorer_elek,2015,1
datorer_elek,2016,1
datorer_elek,2017,2
datorer_elek,2018,2
datorer_elek,2019,2
datorer_elek,2020,2
datorer_elek,2021,2
datorer_elek,2022,1
datorer_elek,2023,
elapparatur,2007,
elapparatur,2008,1
elapparatur,2009,1
elapparatur,2010,1
elapparatur,2011,1
elapparatur,2012,1
elapparatur,2013,1
elapparatur,2014,1
elapparatur,2015,1
elapparatur,2016,1
elapparatur,2017,2
elapparatur,2018,1
elapparatur,2019,1
elapparatur,2020,1
elapparatur,2021,1
elapparatur,2022,1
elapparatur,2023,
ovrig_mask,2007,
ovrig_mask,2008,2
ovrig_mask,2009,3
ovrig_mask,2010,3
ovrig_mask,2011,3
ovrig_mask,2012,3
ovrig_mask,2013,5
ovrig_mask,2014,5
ovrig_mask,2015,5
ovrig_mask,2016,7
ovrig_mask,2017,7
ovrig_mask,2018,7
ovrig_mask,2019,5
ovrig_mask,2020,6
ovrig_mask,2021,5
ovrig_mask,2022,5
ovrig_mask,2023,
industri_for_mot,2007,
industri_for_mot,2008,2
industri_for_mot,2009,3
industri_for_mot,2010,3
industri_for_mot,2011,3
industri_for_mot,2012,3
industri_for_mot,2013,5
industri_for_mot,2014,4
industri_for_mot,2015,5
industri_for_mot,2016,6
industri_for_mot,2017,7
industri_for_mot,2018,6
industri_for_mot,2019,5
industri_for_mot,2020,5
industri_for_mot,2021,4
industri_for_mot,2022,4
industri_for_mot,2023,
andra_tran,2007,
andra_tran,2008,1
andra_tran,2009,1
andra_tran,2010,1
andra_tran,2011,1
andra_tran,2012,1
andra_tran,2013,1
andra_tran,2014,1
andra_tran,2015,1
andra_tran,2016,1
andra_tran,2017,2
andra_tran,2018,1
andra_tran,2019,1
andra_tran,2020,2
andra_tran,2021,2
andra_tran,2022,1
andra_tran,2023,
tillverkning_mob,2007,
tillverkning_mob,2008,1
tillverkning_mob,2009,1
tillverkning_mob,2010,2
tillverkning_mob,2011,2
tillverkning_mob,2012,2
tillverkning_mob,2013,3
tillverkning_mob,2014,2
tillverkning_mob,2015,3
tillverkning_mob,2016,4
tillverkning_mob,2017,4
tillverkning_mob,2018,4
tillverkning_mob,2019,3
tillverkning_mob,2020,5
tillverkning_mob,2021,4
tillverkning_mob,2022,4
tillverkning_mob,2023,
reparationsverkstader,2007,
reparationsverkstader,2008,2
reparationsverkstader,2009,2
reparationsverkstader,2010,2
reparationsverkstader,2011,2
reparationsverkstader,2012,2
reparationsverkstader,2013,4
reparationsverkstader,2014,3
reparationsverkstader,2015,4
reparationsverkstader,2016,5
reparationsverkstader,2017,6
reparationsverkstader,2018,5
reparationsverkstader,2019,4
reparationsverkstader,2020,6
reparationsverkstader,2021,6
reparationsverkstader,2022,5
reparationsverkstader,2023,
el_gas,2007,
el_gas,2008,1
el_gas,2009,1
el_gas,2010,1
el_gas,2011,1
el_gas,2012,1
el_gas,2013,1
el_gas,2014,1
el_gas,2015,1
el_gas,2016,1
el_gas,2017,2
el_gas,2018,2
el_gas,2019,1
el_gas,2020,1
el_gas,2021,1
el_gas,2022,2
el_gas,2023,
vattenforsorjning_e,2007,
vattenforsorjning_e,2008,0
vattenforsorjning_e,2009,0
vattenforsorjning_e,2010,0
vattenforsorjning_e,2011,0
vattenforsorjning_e,2012,0
vattenforsorjning_e,2013,0
vattenforsorjning_e,2014,0
vattenforsorjning_e,2015,0
vattenforsorjning_e,2016,0
vattenforsorjning_e,2017,0
vattenforsorjning_e,2018,1
vattenforsorjning_e,2019,0
vattenforsorjning_e,2020,1
vattenforsorjning_e,2021,1
vattenforsorjning_e,2022,1
vattenforsorjning_e,2023,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,3
vattenforsorjning_avlo,2009,4
vattenforsorjning_avlo,2010,4
vattenforsorjning_avlo,2011,4
vattenforsorjning_avlo,2012,4
vattenforsorjning_avlo,2013,7
vattenforsorjning_avlo,2014,7
vattenforsorjning_avlo,2015,7
vattenforsorjning_avlo,2016,9
vattenforsorjning_avlo,2017,10
vattenforsorjning_avlo,2018,10
vattenforsorjning_avlo,2019,8
vattenforsorjning_avlo,2020,11
vattenforsorjning_avlo,2021,11
vattenforsorjning_avlo,2022,10
vattenforsorjning_avlo,2023,
bygg,2007,
bygg,2008,87
bygg,2009,98
bygg,2010,100
bygg,2011,100
bygg,2012,102
bygg,2013,187
bygg,2014,164
bygg,2015,180
bygg,2016,235
bygg,2017,262
bygg,2018,272
bygg,2019,224
bygg,2020,332
bygg,2021,338
bygg,2022,306
bygg,2023,
hand_g,2007,
hand_g,2008,77
hand_g,2009,86
hand_g,2010,88
hand_g,2011,88
hand_g,2012,89
hand_g,2013,164
hand_g,2014,144
hand_g,2015,158
hand_g,2016,206
hand_g,2017,230
hand_g,2018,228
hand_g,2019,178
hand_g,2020,219
hand_g,2021,207
hand_g,2022,189
hand_g,2023,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,47
landtransportforetag_rort,2009,53
landtransportforetag_rort,2010,54
landtransportforetag_rort,2011,54
landtransportforetag_rort,2012,55
landtransportforetag_rort,2013,101
landtransportforetag_rort,2014,88
landtransportforetag_rort,2015,97
landtransportforetag_rort,2016,126
landtransportforetag_rort,2017,141
landtransportforetag_rort,2018,145
landtransportforetag_rort,2019,120
landtransportforetag_rort,2020,149
landtransportforetag_rort,2021,158
landtransportforetag_rort,2022,149
landtransportforetag_rort,2023,
rederier,2007,
rederier,2008,0
rederier,2009,1
rederier,2010,1
rederier,2011,1
rederier,2012,1
rederier,2013,1
rederier,2014,1
rederier,2015,1
rederier,2016,1
rederier,2017,1
rederier,2018,1
rederier,2019,1
rederier,2020,1
rederier,2021,1
rederier,2022,1
rederier,2023,
flygbolag,2007,
flygbolag,2008,0
flygbolag,2009,0
flygbolag,2010,0
flygbolag,2011,0
flygbolag,2012,0
flygbolag,2013,0
flygbolag,2014,0
flygbolag,2015,0
flygbolag,2016,0
flygbolag,2017,0
flygbolag,2018,0
flygbolag,2019,0
flygbolag,2020,0
flygbolag,2021,0
flygbolag,2022,0
flygbolag,2023,
magasinering,2007,
magasinering,2008,7
magasinering,2009,7
magasinering,2010,8
magasinering,2011,8
magasinering,2012,8
magasinering,2013,14
magasinering,2014,12
magasinering,2015,14
magasinering,2016,18
magasinering,2017,20
magasinering,2018,19
magasinering,2019,15
magasinering,2020,21
magasinering,2021,20
magasinering,2022,18
magasinering,2023,
hotell_rest_i,2007,
hotell_rest_i,2008,5
hotell_rest_i,2009,6
hotell_rest_i,2010,6
hotell_rest_i,2011,6
hotell_rest_i,2012,6
hotell_rest_i,2013,11
hotell_rest_i,2014,9
hotell_rest_i,2015,10
hotell_rest_i,2016,13
hotell_rest_i,2017,15
hotell_rest_i,2018,15
hotell_rest_i,2019,12
hotell_rest_i,2020,17
hotell_rest_i,2021,17
hotell_rest_i,2022,15
hotell_rest_i,2023,
forlag,2007,
forlag,2008,1
forlag,2009,1
forlag,2010,1
forlag,2011,1
forlag,2012,1
forlag,2013,2
forlag,2014,2
forlag,2015,2
forlag,2016,3
forlag,2017,3
forlag,2018,3
forlag,2019,3
forlag,2020,3
forlag,2021,3
forlag,2022,2
forlag,2023,
film_vide_j,2007,
film_vide_j,2008,1
film_vide_j,2009,1
film_vide_j,2010,1
film_vide_j,2011,1
film_vide_j,2012,1
film_vide_j,2013,3
film_vide_j,2014,2
film_vide_j,2015,3
film_vide_j,2016,3
film_vide_j,2017,4
film_vide_j,2018,4
film_vide_j,2019,3
film_vide_j,2020,4
film_vide_j,2021,5
film_vide_j,2022,4
film_vide_j,2023,
telekommunikation_j,2007,
telekommunikation_j,2008,3
telekommunikation_j,2009,3
telekommunikation_j,2010,3
telekommunikation_j,2011,3
telekommunikation_j,2012,3
telekommunikation_j,2013,5
telekommunikation_j,2014,5
telekommunikation_j,2015,5
telekommunikation_j,2016,7
telekommunikation_j,2017,8
telekommunikation_j,2018,8
telekommunikation_j,2019,6
telekommunikation_j,2020,7
telekommunikation_j,2021,6
telekommunikation_j,2022,6
telekommunikation_j,2023,
dataprogrammering_data,2007,
dataprogrammering_data,2008,10
dataprogrammering_data,2009,12
dataprogrammering_data,2010,12
dataprogrammering_data,2011,12
