sni_id,year,sjalvfin_egen_fou
farmaceutiska_basp,2021,
farmaceutiska_basp,2022,
farmaceutiska_basp,2023,12907
gummi,2007,158
gummi,2008,
gummi,2009,208
gummi,2010,
gummi,2011,180
gummi,2012,
gummi,2013,
gummi,2014,
gummi,2015,390
gummi,2016,
gummi,2017,796
gummi,2018,
gummi,2019,210
gummi,2020,
gummi,2021,142
gummi,2022,
gummi,2023,255
icke_met_andra,2007,79
icke_met_andra,2008,
icke_met_andra,2009,87
icke_met_andra,2010,
icke_met_andra,2011,101
icke_met_andra,2012,
icke_met_andra,2013,123
icke_met_andra,2014,
icke_met_andra,2015,
icke_met_andra,2016,
icke_met_andra,2017,138
icke_met_andra,2018,
icke_met_andra,2019,133
icke_met_andra,2020,
icke_met_andra,2021,110
icke_met_andra,2022,
icke_met_andra,2023,168
metaller,2007,1312
metaller,2008,
metaller,2009,1461
metaller,2010,
metaller,2011,1305
metaller,2012,
metaller,2013,1830
metaller,2014,
metaller,2015,1876
metaller,2016,
metaller,2017,1628
metaller,2018,
metaller,2019,2199
metaller,2020,
metaller,2021,429
metaller,2022,
metaller,2023,723
metall_dator_elap,2007,21385
metall_dator_elap,2008,
metall_dator_elap,2009,25190
metall_dator_elap,2010,
metall_dator_elap,2011,26078
metall_dator_elap,2012,
metall_dator_elap,2013,25550
metall_dator_elap,2014,
metall_dator_elap,2015,27715
metall_dator_elap,2016,
metall_dator_elap,2017,13140
metall_dator_elap,2018,
metall_dator_elap,2019,14198
metall_dator_elap,2020,
metall_dator_elap,2021,16726
metall_dator_elap,2022,
metall_dator_elap,2023,21410
metall_dator_elap_transp,2007,29811
metall_dator_elap_transp,2008,
metall_dator_elap_transp,2009,34278
metall_dator_elap_transp,2010,
metall_dator_elap_transp,2011,36640
metall_dator_elap_transp,2012,
metall_dator_elap_transp,2013,36988
metall_dator_elap_transp,2014,
metall_dator_elap_transp,2015,41662
metall_dator_elap_transp,2016,
metall_dator_elap_transp,2017,35035
metall_dator_elap_transp,2018,
metall_dator_elap_transp,2019,37468
metall_dator_elap_transp,2020,
metall_dator_elap_transp,2021,37807
metall_dator_elap_transp,2022,
metall_dator_elap_transp,2023,47853
industri_for_met,2007,439
industri_for_met,2008,
industri_for_met,2009,803
industri_for_met,2010,
industri_for_met,2011,616
industri_for_met,2012,
industri_for_met,2013,620
industri_for_met,2014,
industri_for_met,2015,347
industri_for_met,2016,
industri_for_met,2017,985
industri_for_met,2018,
industri_for_met,2019,1366
industri_for_met,2020,
industri_for_met,2021,3164
industri_for_met,2022,
industri_for_met,2023,2646
datorer_elek,2007,15176
datorer_elek,2008,
datorer_elek,2009,17831
datorer_elek,2010,
datorer_elek,2011,
datorer_elek,2012,
datorer_elek,2013,17023
datorer_elek,2014,
datorer_elek,2015,18759
datorer_elek,2016,
datorer_elek,2017,1557
datorer_elek,2018,
datorer_elek,2019,1831
datorer_elek,2020,
datorer_elek,2021,2355
datorer_elek,2022,
datorer_elek,2023,2467
elapparatur,2007,1592
elapparatur,2008,
elapparatur,2009,1544
elapparatur,2010,
elapparatur,2011,2039
elapparatur,2012,
elapparatur,2013,2312
elapparatur,2014,
elapparatur,2015,2985
elapparatur,2016,
elapparatur,2017,2844
elapparatur,2018,
elapparatur,2019,2432
elapparatur,2020,
elapparatur,2021,1640
elapparatur,2022,
elapparatur,2023,1956
ovrig_mask,2007,4178
ovrig_mask,2008,
ovrig_mask,2009,5011
ovrig_mask,2010,
ovrig_mask,2011,
ovrig_mask,2012,
ovrig_mask,2013,5595
ovrig_mask,2014,
ovrig_mask,2015,5625
ovrig_mask,2016,
ovrig_mask,2017,7755
ovrig_mask,2018,
ovrig_mask,2019,8568
ovrig_mask,2020,
ovrig_mask,2021,9568
ovrig_mask,2022,
ovrig_mask,2023,14341
transportmedelsindustri,2007,8426
transportmedelsindustri,2008,
transportmedelsindustri,2009,9088
transportmedelsindustri,2010,
transportmedelsindustri,2011,10561
transportmedelsindustri,2012,
transportmedelsindustri,2013,11438
transportmedelsindustri,2014,
transportmedelsindustri,2015,13947
transportmedelsindustri,2016,
transportmedelsindustri,2017,21895
transportmedelsindustri,2018,
transportmedelsindustri,2019,23269
transportmedelsindustri,2020,
transportmedelsindustri,2021,21081
transportmedelsindustri,2022,
transportmedelsindustri,2023,26443
tillverkning_mob,2007,1093
tillverkning_mob,2008,
tillverkning_mob,2009,1064
tillverkning_mob,2010,
tillverkning_mob,2011,895
tillverkning_mob,2012,
tillverkning_mob,2013,1012
tillverkning_mob,2014,
tillverkning_mob,2015,866
tillverkning_mob,2016,
tillverkning_mob,2017,980
tillverkning_mob,2018,
tillverkning_mob,2019,859
tillverkning_mob,2020,
tillverkning_mob,2021,
tillverkning_mob,2022,
tillverkning_mob,2023,886
reparationsverkstader,2007,290
reparationsverkstader,2008,
reparationsverkstader,2009,
reparationsverkstader,2010,
reparationsverkstader,2011,256
reparationsverkstader,2012,
reparationsverkstader,2013,
reparationsverkstader,2014,
reparationsverkstader,2015,4
reparationsverkstader,2016,
reparationsverkstader,2017,
reparationsverkstader,2018,
reparationsverkstader,2019,
reparationsverkstader,2020,
reparationsverkstader,2021,10
reparationsverkstader,2022,
reparationsverkstader,2023,38
el_gas_avl,2007,89
el_gas_avl,2008,
el_gas_avl,2009,105
el_gas_avl,2010,
el_gas_avl,2011,81
el_gas_avl,2012,
el_gas_avl,2013,270
el_gas_avl,2014,
el_gas_avl,2015,653
el_gas_avl,2016,
el_gas_avl,2017,587
el_gas_avl,2018,
el_gas_avl,2019,419
el_gas_avl,2020,
el_gas_avl,2021,602
el_gas_avl,2022,
el_gas_avl,2023,697
bygg,2007,194
bygg,2008,
bygg,2009,166
bygg,2010,
bygg,2011,88
bygg,2012,
bygg,2013,167
bygg,2014,
bygg,2015,222
bygg,2016,
bygg,2017,217
bygg,2018,
bygg,2019,211
bygg,2020,
bygg,2021,164
bygg,2022,
bygg,2023,356
service_motor_hotell,2007,1834
service_motor_hotell,2008,
service_motor_hotell,2009,1744
service_motor_hotell,2010,
service_motor_hotell,2011,
service_motor_hotell,2012,
service_motor_hotell,2013,2791
service_motor_hotell,2014,
service_motor_hotell,2015,3051
service_motor_hotell,2016,
service_motor_hotell,2017,3966
service_motor_hotell,2018,
service_motor_hotell,2019,6561
service_motor_hotell,2020,
service_motor_hotell,2021,4646
service_motor_hotell,2022,
service_motor_hotell,2023,5228
detaljhandel_ut_mot,2007,34
detaljhandel_ut_mot,2008,
detaljhandel_ut_mot,2009,19
detaljhandel_ut_mot,2010,
detaljhandel_ut_mot,2011,
detaljhandel_ut_mot,2012,
detaljhandel_ut_mot,2013,228
detaljhandel_ut_mot,2014,
detaljhandel_ut_mot,2015,90
detaljhandel_ut_mot,2016,
detaljhandel_ut_mot,2017,48
detaljhandel_ut_mot,2018,
detaljhandel_ut_mot,2019,
detaljhandel_ut_mot,2020,
detaljhandel_ut_mot,2021,26
detaljhandel_ut_mot,2022,
detaljhandel_ut_mot,2023,104
transport_mag,2007,
transport_mag,2008,
transport_mag,2009,
transport_mag,2010,
transport_mag,2011,
transport_mag,2012,
transport_mag,2013,206
transport_mag,2014,
transport_mag,2015,235
transport_mag,2016,
transport_mag,2017,174
transport_mag,2018,
transport_mag,2019,53
transport_mag,2020,
transport_mag,2021,72
transport_mag,2022,
transport_mag,2023,148
forlagsverksamhet_film,2007,673
forlagsverksamhet_film,2008,
forlagsverksamhet_film,2009,642
forlagsverksamhet_film,2010,
forlagsverksamhet_film,2011,528
forlagsverksamhet_film,2012,
forlagsverksamhet_film,2013,595
forlagsverksamhet_film,2014,
forlagsverksamhet_film,2015,1678
forlagsverksamhet_film,2016,
forlagsverksamhet_film,2017,1793
forlagsverksamhet_film,2018,
forlagsverksamhet_film,2019,1627
forlagsverksamhet_film,2020,
forlagsverksamhet_film,2021,1808
forlagsverksamhet_film,2022,
forlagsverksamhet_film,2023,1769
information_komm,2007,2869
information_komm,2008,
information_komm,2009,3578
information_komm,2010,
information_komm,2011,1992
information_komm,2012,
information_komm,2013,3202
information_komm,2014,
information_komm,2015,4886
information_komm,2016,
information_komm,2017,20824
information_komm,2018,
information_komm,2019,27231
information_komm,2020,
information_komm,2021,27972
information_komm,2022,
information_komm,2023,32894
finans,2007,
finans,2008,
finans,2009,626
finans,2010,
finans,2011,799
finans,2012,
finans,2013,713
finans,2014,
finans,2015,1098
finans,2016,
finans,2017,1212
finans,2018,
finans,2019,1923
finans,2020,
finans,2021,3049
finans,2022,
finans,2023,2689
fast_uthyr_rese,2007,51
fast_uthyr_rese,2008,
fast_uthyr_rese,2009,
fast_uthyr_rese,2010,
fast_uthyr_rese,2011,37
fast_uthyr_rese,2012,
fast_uthyr_rese,2013,388
fast_uthyr_rese,2014,
fast_uthyr_rese,2015,269
fast_uthyr_rese,2016,
fast_uthyr_rese,2017,141
fast_uthyr_rese,2018,
fast_uthyr_rese,2019,262
fast_uthyr_rese,2020,
fast_uthyr_rese,2021,439
fast_uthyr_rese,2022,
fast_uthyr_rese,2023,269
juridisk_ek,2007,342
juridisk_ek,2008,
juridisk_ek,2009,146
juridisk_ek,2010,
juridisk_ek,2011,171
juridisk_ek,2012,
juridisk_ek,2013,349
juridisk_ek,2014,
juridisk_ek,2015,269
juridisk_ek,2016,
juridisk_ek,2017,394
juridisk_ek,2018,
juridisk_ek,2019,224
juridisk_ek,2020,
juridisk_ek,2021,338
juridisk_ek,2022,
juridisk_ek,2023,352
arkitekt,2007,643
arkitekt,2008,
arkitekt,2009,582
arkitekt,2010,
arkitekt,2011,1008
arkitekt,2012,
arkitekt,2013,727
arkitekt,2014,
arkitekt,2015,673
arkitekt,2016,
arkitekt,2017,1167
arkitekt,2018,
arkitekt,2019,1870
arkitekt,2020,
arkitekt,2021,1460
arkitekt,2022,
arkitekt,2023,1344
forsknings,2007,8149
forsknings,2008,
forsknings,2009,6653
forsknings,2010,
forsknings,2011,5846
forsknings,2012,
forsknings,2013,3852
forsknings,2014,
forsknings,2015,1914
forsknings,2016,
forsknings,2017,7704
forsknings,2018,
forsknings,2019,7230
forsknings,2020,
forsknings,2021,4306
forsknings,2022,
forsknings,2023,6988
rek_vet_civ_int,2007,247
rek_vet_civ_int,2008,
rek_vet_civ_int,2009,133
rek_vet_civ_int,2010,
rek_vet_civ_int,2011,
rek_vet_civ_int,2012,
rek_vet_civ_int,2013,188
rek_vet_civ_int,2014,
rek_vet_civ_int,2015,1588
rek_vet_civ_int,2016,
rek_vet_civ_int,2017,2140
rek_vet_civ_int,2018,
rek_vet_civ_int,2019,746
rek_vet_civ_int,2020,
rek_vet_civ_int,2021,868
rek_vet_civ_int,2022,
rek_vet_civ_int,2023,1101
