sni_id,year,utsl_koldi
dataprogrammering_data,2010,83.5718752769742
dataprogrammering_data,2011,88.4830845552062
dataprogrammering_data,2012,79.8281319718061
dataprogrammering_data,2013,76.1555001732712
dataprogrammering_data,2014,71.0464129845974
dataprogrammering_data,2015,69.7829307877471
dataprogrammering_data,2016,65.6943409706465
dataprogrammering_data,2017,64.4035966256151
dataprogrammering_data,2018,63.2452053834831
dataprogrammering_data,2019,59.6070767969124
dataprogrammering_data,2020,52.9946454309872
dataprogrammering_data,2021,48.3116652278328
dataprogrammering_data,2022,40.3133404849922
dataprogrammering_data,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,7455.80134380803
el_gas,2009,7777.30658770069
el_gas,2010,10281.9917357995
el_gas,2011,8079.72584661917
el_gas,2012,7505.02491335594
el_gas,2013,7270.96753758242
el_gas,2014,6391.36164306608
el_gas,2015,6067.3161576274
el_gas,2016,6636.44134760143
el_gas,2017,6226.80817779033
el_gas,2018,6452.39737581482
el_gas,2019,5363.84830072682
el_gas,2020,4952.39591777407
el_gas,2021,5781.48361081327
el_gas,2022,5348.913908157
el_gas,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,272.229170676615
fastighetsbolag_g,2009,265.984197754092
fastighetsbolag_g,2010,304.230631151819
fastighetsbolag_g,2011,249.749044284169
fastighetsbolag_g,2012,220.412271721297
fastighetsbolag_g,2013,199.033473133282
fastighetsbolag_g,2014,207.850943741907
fastighetsbolag_g,2015,200.268072891456
fastighetsbolag_g,2016,196.332204802757
fastighetsbolag_g,2017,183.920501566425
fastighetsbolag_g,2018,179.556475942175
fastighetsbolag_g,2019,179.026404869888
fastighetsbolag_g,2020,166.800437360594
fastighetsbolag_g,2021,164.252243392665
fastighetsbolag_g,2022,150.002438336557
fastighetsbolag_g,2023,
film_vide_j,2000,
film_vide_j,2001,
film_vide_j,2002,
film_vide_j,2003,
film_vide_j,2004,
film_vide_j,2005,
film_vide_j,2006,
film_vide_j,2007,
film_vide_j,2008,23.2342646789834
film_vide_j,2009,21.7915536299656
film_vide_j,2010,22.8072732163513
film_vide_j,2011,22.0445969613283
film_vide_j,2012,19.7843379142596
film_vide_j,2013,18.1796879150585
film_vide_j,2014,18.3209189096101
film_vide_j,2015,17.5809609212615
film_vide_j,2016,16.3118409700051
film_vide_j,2017,15.2634809202798
film_vide_j,2018,14.8062137371906
film_vide_j,2019,14.4559773029335
film_vide_j,2020,14.2099720935933
film_vide_j,2021,14.1287610575067
film_vide_j,2022,12.9466311361281
film_vide_j,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,
fisk,2007,
fisk,2008,160.837646392644
fisk,2009,146.868351513333
fisk,2010,136.257339030836
fisk,2011,124.79456819754
