sni_id,year,fastfaktor
el_gas,2000,1.65470914127424
el_gas,2001,1.44597942073171
el_gas,2002,1.35917128727709
el_gas,2003,1.17428181519805
el_gas,2004,1.13993027859021
el_gas,2005,1.14252567839054
el_gas,2006,0.953262979467972
el_gas,2007,1.06183280761443
el_gas,2008,0.821518148948414
el_gas,2009,0.79918354703455
el_gas,2010,0.745391750542727
el_gas,2011,0.791469098889594
el_gas,2012,0.885088320957465
el_gas,2013,0.841493828329703
el_gas,2014,0.880930340199028
el_gas,2015,0.939058048926477
el_gas,2016,0.895123497317244
el_gas,2017,0.871395192869351
el_gas,2018,0.756225912460559
el_gas,2019,0.751768949092811
el_gas,2020,1
el_gas,2021,0.763127538586515
el_gas,2022,0.50952416200945
el_gas,2023,
el_gas_avl,2000,1.59956123140584
el_gas_avl,2001,1.43713987568622
el_gas_avl,2002,1.36147577762017
el_gas_avl,2003,1.19726862936558
el_gas_avl,2004,1.16747315275818
el_gas_avl,2005,1.16904813246927
el_gas_avl,2006,1.00826455339625
el_gas_avl,2007,1.0952041477641
el_gas_avl,2008,0.891791514541105
el_gas_avl,2009,0.904170818240229
el_gas_avl,2010,0.819588889732365
el_gas_avl,2011,0.854476141523173
el_gas_avl,2012,0.949323557356787
el_gas_avl,2013,0.911466812908091
el_gas_avl,2014,0.932425179543538
el_gas_avl,2015,1.00619796566063
el_gas_avl,2016,0.945598827766401
el_gas_avl,2017,0.880906066035321
el_gas_avl,2018,0.780868637971598
el_gas_avl,2019,0.799862720374833
el_gas_avl,2020,1.04181302403797
el_gas_avl,2021,0.741786204155931
el_gas_avl,2022,0.460755392099529
el_gas_avl,2023,
totalt_tota,2000,1.27085178628749
totalt_tota,2001,1.23857674806119
totalt_tota,2002,1.22001465553339
totalt_tota,2003,1.19523027307419
totalt_tota,2004,1.19321396342442
totalt_tota,2005,1.18245837292334
totalt_tota,2006,1.16450275942221
totalt_tota,2007,1.12999694603886
totalt_tota,2008,1.08900483053279
totalt_tota,2009,1.06132557875736
totalt_tota,2010,1.05101241583722
totalt_tota,2011,1.04418889429854
totalt_tota,2012,1.03581055845364
totalt_tota,2013,1.02542933985164
totalt_tota,2014,1.00479947304225
totalt_tota,2015,0.982192809713482
totalt_tota,2016,0.966872486286053
totalt_tota,2017,0.940921849372143
totalt_tota,2018,0.919108275241876
totalt_tota,2019,0.902945746995962
totalt_tota,2020,0.883715474607912
totalt_tota,2021,0.861607040333849
totalt_tota,2022,0.803114764671619
totalt_tota,2023,
