country,year,forv_mn
jrbk_serv,2003,790
jrbk_serv,2004,801
jrbk_serv,2005,815
jrbk_serv,2006,813
jrbk_serv,2007,959
jrbk_serv,2008,967
jrbk_serv,2009,1060
jrbk_serv,2010,1213
jrbk_serv,2011,1365
jrbk_serv,2012,1373
jrbk_serv,2013,1411
jrbk_serv,2014,1421
jrbk_serv,2015,1505
jrbk_serv,2016,1656
jrbk_serv,2017,1683
jrbk_serv,2018,1685
jrbk_serv,2019,1599
jrbk_serv,2020,1603
jrbk_serv,2021,1676
jrbk_serv,2022,
jrbk_serv,2023,
skgb,2003,2736
skgb,2004,2727
skgb,2005,2816
skgb,2006,2915
skgb,2007,3291
skgb,2008,3866
skgb,2009,4002
skgb,2010,4320
skgb,2011,3750
skgb,2012,3730
skgb,2013,3577
skgb,2014,3859
skgb,2015,4162
skgb,2016,4784
skgb,2017,4302
skgb,2018,4350
skgb,2019,4664
skgb,2020,4496
skgb,2021,4544
skgb,2022,
skgb,2023,
fsk_vatn,2003,2
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,
fsk_vatn,2009,
fsk_vatn,2010,
fsk_vatn,2011,
fsk_vatn,2012,
fsk_vatn,2013,
fsk_vatn,2014,
fsk_vatn,2015,
fsk_vatn,2016,
fsk_vatn,2017,
fsk_vatn,2018,
fsk_vatn,2019,
fsk_vatn,2020,
fsk_vatn,2021,
fsk_vatn,2022,
fsk_vatn,2023,
utv_min,2003,58
utv_min,2004,64
utv_min,2005,62
utv_min,2006,68
utv_min,2007,51
utv_min,2008,45
utv_min,2009,45
utv_min,2010,40
utv_min,2011,39
utv_min,2012,59
utv_min,2013,57
utv_min,2014,56
utv_min,2015,67
utv_min,2016,76
utv_min,2017,66
utv_min,2018,85
utv_min,2019,85
utv_min,2020,73
utv_min,2021,71
utv_min,2022,
utv_min,2023,
livs_dk,2003,29
livs_dk,2004,36
livs_dk,2005,52
livs_dk,2006,53
livs_dk,2007,56
livs_dk,2008,58
livs_dk,2009,74
livs_dk,2010,68
livs_dk,2011,76
livs_dk,2012,64
livs_dk,2013,65
livs_dk,2014,75
livs_dk,2015,89
livs_dk,2016,95
livs_dk,2017,83
livs_dk,2018,83
livs_dk,2019,53
livs_dk,2020,61
livs_dk,2021,62
livs_dk,2022,
livs_dk,2023,
tilv_txtl,2003,68
tilv_txtl,2004,67
tilv_txtl,2005,71
tilv_txtl,2006,66
tilv_txtl,2007,72
tilv_txtl,2008,71
tilv_txtl,2009,67
tilv_txtl,2010,79
tilv_txtl,2011,63
tilv_txtl,2012,58
tilv_txtl,2013,60
tilv_txtl,2014,62
tilv_txtl,2015,55
tilv_txtl,2016,50
tilv_txtl,2017,38
tilv_txtl,2018,38
tilv_txtl,2019,42
tilv_txtl,2020,42
tilv_txtl,2021,43
tilv_txtl,2022,
tilv_txtl,2023,
ind_tra,2003,1160
ind_tra,2004,1193
ind_tra,2005,696
ind_tra,2006,1342
ind_tra,2007,1372
ind_tra,2008,1374
ind_tra,2009,1358
ind_tra,2010,1365
ind_tra,2011,1311
ind_tra,2012,1217
ind_tra,2013,1246
ind_tra,2014,1200
ind_tra,2015,1219
ind_tra,2016,1237
ind_tra,2017,1242
ind_tra,2018,1249
ind_tra,2019,1279
ind_tra,2020,1202
ind_tra,2021,1222
ind_tra,2022,
ind_tra,2023,
msa_ppr,2003,463
msa_ppr,2004,480
msa_ppr,2005,484
msa_ppr,2006,468
msa_ppr,2007,466
msa_ppr,2008,443
msa_ppr,2009,376
