sni_id,year,ant_ans_kon
jord_skog,2004,
jord_skog,2005,
jord_skog,2006,
jord_skog,2007,
jord_skog,2008,
jord_skog,2009,245
jord_skog,2010,212
jord_skog,2011,203
jord_skog,2012,140
jord_skog,2013,228
jord_skog,2014,118
jord_skog,2015,88
jord_skog,2016,108
jord_skog,2017,115
jord_skog,2018,129
jord_skog,2019,172
jord_skog,2020,91
jord_skog,2021,48
jord_skog,2022,87
jord_skog,2023,72
parti_prov,2000,
parti_prov,2001,
parti_prov,2002,
parti_prov,2003,
parti_prov,2004,
parti_prov,2005,
parti_prov,2006,
parti_prov,2007,
parti_prov,2008,
parti_prov,2009,1600
parti_prov,2010,1387
parti_prov,2011,1027
parti_prov,2012,1579
parti_prov,2013,1567
parti_prov,2014,1067
parti_prov,2015,1016
parti_prov,2016,646
parti_prov,2017,840
parti_prov,2018,941
parti_prov,2019,961
parti_prov,2020,1022
parti_prov,2021,401
parti_prov,2022,499
parti_prov,2023,565
restaurang_cate,2000,
restaurang_cate,2001,
restaurang_cate,2002,
restaurang_cate,2003,
restaurang_cate,2004,
restaurang_cate,2005,
restaurang_cate,2006,
restaurang_cate,2007,
restaurang_cate,2008,
restaurang_cate,2009,1521
restaurang_cate,2010,1563
restaurang_cate,2011,1585
restaurang_cate,2012,1322
restaurang_cate,2013,1286
restaurang_cate,2014,1486
restaurang_cate,2015,1343
restaurang_cate,2016,1468
restaurang_cate,2017,1534
restaurang_cate,2018,2021
restaurang_cate,2019,1917
restaurang_cate,2020,2630
restaurang_cate,2021,1049
restaurang_cate,2022,1573
restaurang_cate,2023,2429
tillverkning,2000,
tillverkning,2001,
tillverkning,2002,
tillverkning,2003,
tillverkning,2004,
tillverkning,2005,
tillverkning,2006,
tillverkning,2007,
tillverkning,2008,
tillverkning,2009,6822
tillverkning,2010,4609
tillverkning,2011,7009
tillverkning,2012,4223
tillverkning,2013,4109
tillverkning,2014,2779
tillverkning,2015,2096
tillverkning,2016,2481
tillverkning,2017,1897
tillverkning,2018,2150
tillverkning,2019,2485
tillverkning,2020,1607
tillverkning,2021,861
tillverkning,2022,1252
tillverkning,2023,2253
transport_mag,2000,
transport_mag,2001,
transport_mag,2002,
transport_mag,2003,
transport_mag,2004,
transport_mag,2005,
transport_mag,2006,
transport_mag,2007,
transport_mag,2008,
transport_mag,2009,1995
transport_mag,2010,1834
transport_mag,2011,1376
transport_mag,2012,2510
transport_mag,2013,2350
transport_mag,2014,1425
transport_mag,2015,1272
transport_mag,2016,1628
transport_mag,2017,1495
transport_mag,2018,1747
transport_mag,2019,1550
transport_mag,2020,1893
transport_mag,2021,894
transport_mag,2022,729
transport_mag,2023,1396
utbildning_halso,2000,
utbildning_halso,2001,
utbildning_halso,2002,
utbildning_halso,2003,
utbildning_halso,2004,
utbildning_halso,2005,
utbildning_halso,2006,
utbildning_halso,2007,
utbildning_halso,2008,
utbildning_halso,2009,1662
utbildning_halso,2010,1207
utbildning_halso,2011,1312
utbildning_halso,2012,2168
utbildning_halso,2013,3490
utbildning_halso,2014,1625
utbildning_halso,2015,993
utbildning_halso,2016,1029
utbildning_halso,2017,2085
utbildning_halso,2018,2177
utbildning_halso,2019,2072
utbildning_halso,2020,2187
utbildning_halso,2021,859
utbildning_halso,2022,4171
utbildning_halso,2023,2058
