sni_id,year,bnp_prod_lop
totalt_tota,2000,2141303
totalt_tota,2001,2225561
totalt_tota,2002,2309650
totalt_tota,2003,2396204
totalt_tota,2004,2511055
totalt_tota,2005,2590837
totalt_tota,2006,2763952
totalt_tota,2007,2936599
totalt_tota,2008,3001352
totalt_tota,2009,2930655
totalt_tota,2010,3131192
totalt_tota,2011,3280395
totalt_tota,2012,3302135
totalt_tota,2013,3372741
totalt_tota,2014,3518801
totalt_tota,2015,3756868
totalt_tota,2016,3895309
totalt_tota,2017,4054802
totalt_tota,2018,4239104
totalt_tota,2019,4464679
totalt_tota,2020,4452634
totalt_tota,2021,4849192
totalt_tota,2022,5206989
totalt_tota,2023,
el_gas_avl,2000,55688
el_gas_avl,2001,65552
el_gas_avl,2002,68473
el_gas_avl,2003,73833
el_gas_avl,2004,84814
el_gas_avl,2005,87106
el_gas_avl,2006,90173
el_gas_avl,2007,91375
el_gas_avl,2008,110970
el_gas_avl,2009,107672
el_gas_avl,2010,118428
el_gas_avl,2011,117072
el_gas_avl,2012,120347
el_gas_avl,2013,115979
el_gas_avl,2014,115660
el_gas_avl,2015,114375
el_gas_avl,2016,111792
el_gas_avl,2017,116180
el_gas_avl,2018,116594
el_gas_avl,2019,134657
el_gas_avl,2020,132578
el_gas_avl,2021,153533
el_gas_avl,2022,196704
el_gas_avl,2023,
el_gas,2000,43320
el_gas,2001,52480
el_gas,2002,53384
el_gas,2003,57889
el_gas,2004,67698
el_gas,2005,70682
el_gas,2006,73154
el_gas,2007,72599
el_gas,2008,92099
el_gas,2009,90391
el_gas,2010,101340
el_gas,2011,99333
el_gas,2012,100599
el_gas,2013,95031
el_gas,2014,95062
el_gas,2015,90217
el_gas,2016,88342
el_gas,2017,92446
el_gas,2018,91593
el_gas,2019,108963
el_gas,2020,105342
el_gas,2021,123100
el_gas,2022,162114
el_gas,2023,
